B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Patrice_Luzi	86	0.086
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	116	0.116
Abounding_Grace	Parisara	Illana	Thaye	205	0.205
Abounding_Grace	Parisara	Illana	SUNDOWNS	192	0.192
Abounding_Grace	Parisara	Illana	Jenna_Werdell	153	0.153
Abounding_Grace	Parisara	Illana	Dan_Miracola	63	0.063
Abounding_Grace	Parisara	Illana	Guttierrez	60	0.06
Abounding_Grace	Parisara	Illana	Chabad_rabbi	10	0.01
Abounding_Grace	Parisara	NA	NA	115	0.115
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	201	0.201
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	46	0.046
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	305	0.305
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	144	0.144
Abounding_Grace	Jenna_Werdell	Illana	Thaye	44	0.044
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	96	0.096
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	41	0.041
Abounding_Grace	Jenna_Werdell	Illana	Chabad_rabbi	8	0.008
Abounding_Grace	Jenna_Werdell	NA	NA	115	0.115
Jenna_Werdell	Parisara	SUNDOWNS	Patrice_Luzi	24	0.024
Jenna_Werdell	Parisara	Patrice_Luzi	Trygve_Olson_cartoon	19	0.019
Jenna_Werdell	Parisara	Jenna_Werdell	Thaye	57	0.057
Jenna_Werdell	Parisara	Trygve_Olson_cartoon	Thaye	108	0.108
Jenna_Werdell	Parisara	Thaye	Trygve_Olson_cartoon	33	0.033
Jenna_Werdell	Parisara	Jenna_Werdell	SUNDOWNS	192	0.192
Jenna_Werdell	Parisara	SUNDOWNS	Jenna_Werdell	104	0.104
Jenna_Werdell	Parisara	SUNDOWNS	Trygve_Olson_cartoon	25	0.025
Jenna_Werdell	Parisara	Trygve_Olson_cartoon	Dan_Miracola	10	0.01
Jenna_Werdell	Parisara	SUNDOWNS	Thaye	26	0.026
Jenna_Werdell	Parisara	Trygve_Olson_cartoon	Patrice_Luzi	13	0.013
Jenna_Werdell	Parisara	Dan_Miracola	Guttierrez	37	0.037
Jenna_Werdell	Parisara	Patrice_Luzi	Dan_Miracola	8	0.008
Jenna_Werdell	Parisara	Dan_Miracola	Patrice_Luzi	35	0.035
Jenna_Werdell	Parisara	Dan_Miracola	Trygve_Olson_cartoon	16	0.016
Jenna_Werdell	Parisara	Dan_Miracola	Jenna_Werdell	5	0.005
Jenna_Werdell	Parisara	Trygve_Olson_cartoon	Jenna_Werdell	12	0.012
Jenna_Werdell	Parisara	SUNDOWNS	Dan_Miracola	22	0.022
Jenna_Werdell	Parisara	Jenna_Werdell	Guttierrez	21	0.021
Jenna_Werdell	Parisara	Guttierrez	Trygve_Olson_cartoon	9	0.009
Jenna_Werdell	Parisara	Guttierrez	Chabad_rabbi	1	0.001
Jenna_Werdell	Parisara	Dan_Miracola	Chabad_rabbi	3	0.003
Jenna_Werdell	Parisara	Chabad_rabbi	Thaye	8	0.008
Jenna_Werdell	Parisara	Patrice_Luzi	Jenna_Werdell	11	0.011
Jenna_Werdell	Parisara	Thaye	Jenna_Werdell	7	0.007
Jenna_Werdell	Parisara	Jenna_Werdell	Patrice_Luzi	13	0.013
Jenna_Werdell	Parisara	Jenna_Werdell	Trygve_Olson_cartoon	14	0.014
Jenna_Werdell	Parisara	Guttierrez	Patrice_Luzi	1	0.001
Jenna_Werdell	Parisara	Guttierrez	Jenna_Werdell	14	0.014
Jenna_Werdell	Parisara	Guttierrez	Dan_Miracola	16	0.016
Jenna_Werdell	Parisara	Thaye	Chabad_rabbi	4	0.004
Jenna_Werdell	Parisara	Jenna_Werdell	Dan_Miracola	7	0.007
Jenna_Werdell	Parisara	Patrice_Luzi	Guttierrez	2	0.002
Jenna_Werdell	Parisara	Patrice_Luzi	Thaye	6	0.006
Jenna_Werdell	Parisara	Jenna_Werdell	Chabad_rabbi	1	0.001
Jenna_Werdell	Parisara	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Jenna_Werdell	Parisara	NA	NA	115	0.115
