B_dom	B_cod	A_dom	A_cod	count	probability
Jenna_Werdell	chaplin	Patrice_Luzi	Jenna_Werdell	18	0.018
Jenna_Werdell	chaplin	Guttierrez	SUNDOWNS	22	0.022
Jenna_Werdell	chaplin	Trygve_Olson_cartoon	Chabad_rabbi	100	0.1
Jenna_Werdell	chaplin	SUNDOWNS	Guttierrez	15	0.015
Jenna_Werdell	chaplin	SUNDOWNS	Dan_Miracola	12	0.012
Jenna_Werdell	chaplin	SUNDOWNS	Jenna_Werdell	16	0.016
Jenna_Werdell	chaplin	Jenna_Werdell	Patrice_Luzi	94	0.094
Jenna_Werdell	chaplin	Guttierrez	Trygve_Olson_cartoon	25	0.025
Jenna_Werdell	chaplin	Dan_Miracola	Thaye	24	0.024
Jenna_Werdell	chaplin	Guttierrez	Chabad_rabbi	13	0.013
Jenna_Werdell	chaplin	Patrice_Luzi	Trygve_Olson_cartoon	17	0.017
Jenna_Werdell	chaplin	Chabad_rabbi	Dan_Miracola	3	0.003
Jenna_Werdell	chaplin	Jenna_Werdell	Trygve_Olson_cartoon	15	0.015
Jenna_Werdell	chaplin	Guttierrez	Jenna_Werdell	8	0.008
Jenna_Werdell	chaplin	Jenna_Werdell	SUNDOWNS	18	0.018
Jenna_Werdell	chaplin	Guttierrez	Thaye	13	0.013
Jenna_Werdell	chaplin	SUNDOWNS	Thaye	13	0.013
Jenna_Werdell	chaplin	Patrice_Luzi	Thaye	5	0.005
Jenna_Werdell	chaplin	Dan_Miracola	Trygve_Olson_cartoon	5	0.005
Jenna_Werdell	chaplin	Jenna_Werdell	Chabad_rabbi	30	0.03
Jenna_Werdell	chaplin	Dan_Miracola	Jenna_Werdell	7	0.007
Jenna_Werdell	chaplin	Trygve_Olson_cartoon	Dan_Miracola	8	0.008
Jenna_Werdell	chaplin	Thaye	Chabad_rabbi	23	0.023
Jenna_Werdell	chaplin	Trygve_Olson_cartoon	Jenna_Werdell	8	0.008
Jenna_Werdell	chaplin	SUNDOWNS	Trygve_Olson_cartoon	11	0.011
Jenna_Werdell	chaplin	Jenna_Werdell	Thaye	13	0.013
Jenna_Werdell	chaplin	Trygve_Olson_cartoon	Guttierrez	11	0.011
Jenna_Werdell	chaplin	Dan_Miracola	Chabad_rabbi	42	0.042
Jenna_Werdell	chaplin	Chabad_rabbi	Trygve_Olson_cartoon	8	0.008
Jenna_Werdell	chaplin	Thaye	SUNDOWNS	11	0.011
Jenna_Werdell	chaplin	Thaye	Jenna_Werdell	5	0.005
Jenna_Werdell	chaplin	Thaye	Trygve_Olson_cartoon	9	0.009
Jenna_Werdell	chaplin	Jenna_Werdell	Guttierrez	3	0.003
Jenna_Werdell	chaplin	Thaye	Dan_Miracola	16	0.016
Jenna_Werdell	chaplin	Jenna_Werdell	Dan_Miracola	8	0.008
Jenna_Werdell	chaplin	Dan_Miracola	SUNDOWNS	9	0.009
Jenna_Werdell	chaplin	Patrice_Luzi	Guttierrez	3	0.003
Jenna_Werdell	chaplin	Thaye	Guttierrez	3	0.003
Jenna_Werdell	chaplin	Chabad_rabbi	SUNDOWNS	1	0.001
Jenna_Werdell	chaplin	Patrice_Luzi	Dan_Miracola	1	0.001
Jenna_Werdell	chaplin	Chabad_rabbi	Thaye	3	0.003
Jenna_Werdell	chaplin	NA	NA	331	0.331
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	44	0.044
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	81	0.081
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	127	0.127
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	67	0.067
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	181	0.181
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	87	0.087
Abounding_Grace	Jenna_Werdell	Illana	Chabad_rabbi	15	0.015
Abounding_Grace	Jenna_Werdell	Illana	Thaye	67	0.067
Abounding_Grace	Jenna_Werdell	NA	NA	331	0.331
Abounding_Grace	chaplin	Illana	Jenna_Werdell	62	0.062
Abounding_Grace	chaplin	Illana	SUNDOWNS	61	0.061
Abounding_Grace	chaplin	Illana	Chabad_rabbi	208	0.208
Abounding_Grace	chaplin	Illana	Guttierrez	35	0.035
Abounding_Grace	chaplin	Illana	Dan_Miracola	48	0.048
Abounding_Grace	chaplin	Illana	Patrice_Luzi	94	0.094
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	90	0.09
Abounding_Grace	chaplin	Illana	Thaye	71	0.071
Abounding_Grace	chaplin	NA	NA	331	0.331
