B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	159	0.159
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	90	0.09
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	138	0.138
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	74	0.074
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	150	0.15
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	47	0.047
Abounding_Grace	Oneco_Elementary	Illana	Thaye	27	0.027
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	24	0.024
Abounding_Grace	Oneco_Elementary	NA	NA	291	0.291
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	101	0.101
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	156	0.156
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	155	0.155
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	105	0.105
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	90	0.09
Abounding_Grace	ATWOOD	Illana	Guttierrez	70	0.07
Abounding_Grace	ATWOOD	Illana	Thaye	31	0.031
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	1	0.001
Abounding_Grace	ATWOOD	NA	NA	291	0.291
Oneco_Elementary	ATWOOD	Dan_Miracola	Trygve_Olson_cartoon	26	0.026
Oneco_Elementary	ATWOOD	SUNDOWNS	Jenna_Werdell	50	0.05
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	39	0.039
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	43	0.043
Oneco_Elementary	ATWOOD	Guttierrez	Dan_Miracola	29	0.029
Oneco_Elementary	ATWOOD	Dan_Miracola	Jenna_Werdell	19	0.019
Oneco_Elementary	ATWOOD	Dan_Miracola	Patrice_Luzi	51	0.051
Oneco_Elementary	ATWOOD	Dan_Miracola	SUNDOWNS	22	0.022
Oneco_Elementary	ATWOOD	SUNDOWNS	Trygve_Olson_cartoon	21	0.021
Oneco_Elementary	ATWOOD	Jenna_Werdell	Guttierrez	22	0.022
Oneco_Elementary	ATWOOD	Jenna_Werdell	SUNDOWNS	74	0.074
Oneco_Elementary	ATWOOD	Patrice_Luzi	Dan_Miracola	26	0.026
Oneco_Elementary	ATWOOD	Patrice_Luzi	SUNDOWNS	9	0.009
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	Thaye	17	0.017
Oneco_Elementary	ATWOOD	Guttierrez	Jenna_Werdell	29	0.029
Oneco_Elementary	ATWOOD	Jenna_Werdell	Patrice_Luzi	5	0.005
Oneco_Elementary	ATWOOD	SUNDOWNS	Thaye	1	0.001
Oneco_Elementary	ATWOOD	Dan_Miracola	Guttierrez	38	0.038
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	Guttierrez	4	0.004
Oneco_Elementary	ATWOOD	Thaye	Jenna_Werdell	5	0.005
Oneco_Elementary	ATWOOD	Dan_Miracola	Thaye	3	0.003
Oneco_Elementary	ATWOOD	Jenna_Werdell	Trygve_Olson_cartoon	27	0.027
Oneco_Elementary	ATWOOD	SUNDOWNS	Dan_Miracola	6	0.006
Oneco_Elementary	ATWOOD	Thaye	Patrice_Luzi	1	0.001
Oneco_Elementary	ATWOOD	SUNDOWNS	Patrice_Luzi	10	0.01
Oneco_Elementary	ATWOOD	Patrice_Luzi	Trygve_Olson_cartoon	4	0.004
Oneco_Elementary	ATWOOD	Chabad_rabbi	Patrice_Luzi	2	0.002
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	21	0.021
Oneco_Elementary	ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	14	0.014
Oneco_Elementary	ATWOOD	Guttierrez	SUNDOWNS	6	0.006
Oneco_Elementary	ATWOOD	Jenna_Werdell	Dan_Miracola	18	0.018
Oneco_Elementary	ATWOOD	Chabad_rabbi	Jenna_Werdell	6	0.006
Oneco_Elementary	ATWOOD	Chabad_rabbi	Trygve_Olson_cartoon	5	0.005
Oneco_Elementary	ATWOOD	Thaye	Trygve_Olson_cartoon	15	0.015
Oneco_Elementary	ATWOOD	Guttierrez	Trygve_Olson_cartoon	3	0.003
Oneco_Elementary	ATWOOD	Jenna_Werdell	Thaye	4	0.004
Oneco_Elementary	ATWOOD	Guttierrez	Patrice_Luzi	7	0.007
Oneco_Elementary	ATWOOD	Patrice_Luzi	Jenna_Werdell	4	0.004
Oneco_Elementary	ATWOOD	Chabad_rabbi	Dan_Miracola	3	0.003
Oneco_Elementary	ATWOOD	Chabad_rabbi	Thaye	5	0.005
Oneco_Elementary	ATWOOD	SUNDOWNS	Guttierrez	2	0.002
Oneco_Elementary	ATWOOD	Thaye	SUNDOWNS	3	0.003
Oneco_Elementary	ATWOOD	Chabad_rabbi	Guttierrez	1	0.001
Oneco_Elementary	ATWOOD	Chabad_rabbi	SUNDOWNS	2	0.002
Oneco_Elementary	ATWOOD	Thaye	Dan_Miracola	2	0.002
Oneco_Elementary	ATWOOD	Thaye	Chabad_rabbi	1	0.001
Oneco_Elementary	ATWOOD	Patrice_Luzi	Guttierrez	3	0.003
Oneco_Elementary	ATWOOD	Patrice_Luzi	Thaye	1	0.001
Oneco_Elementary	ATWOOD	NA	NA	291	0.291
