B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Thaye	35	0.035
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	54	0.054
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	172	0.172
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	143	0.143
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	163	0.163
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	63	0.063
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	69	0.069
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	29	0.029
Abounding_Grace	Oneco_Elementary	NA	NA	272	0.272
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	101	0.101
Abounding_Grace	Cruiz	Illana	Dan_Miracola	109	0.109
Abounding_Grace	Cruiz	Illana	SUNDOWNS	160	0.16
Abounding_Grace	Cruiz	Illana	Thaye	40	0.04
Abounding_Grace	Cruiz	Illana	Guttierrez	105	0.105
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	142	0.142
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	3	0.003
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	68	0.068
Abounding_Grace	Cruiz	NA	NA	272	0.272
Oneco_Elementary	Cruiz	Thaye	Patrice_Luzi	2	0.002
Oneco_Elementary	Cruiz	Patrice_Luzi	Dan_Miracola	25	0.025
Oneco_Elementary	Cruiz	Jenna_Werdell	SUNDOWNS	86	0.086
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Thaye	28	0.028
Oneco_Elementary	Cruiz	Dan_Miracola	Guttierrez	59	0.059
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Patrice_Luzi	22	0.022
Oneco_Elementary	Cruiz	Dan_Miracola	Trygve_Olson_cartoon	23	0.023
Oneco_Elementary	Cruiz	Jenna_Werdell	Guttierrez	22	0.022
Oneco_Elementary	Cruiz	Guttierrez	Trygve_Olson_cartoon	13	0.013
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	SUNDOWNS	34	0.034
Oneco_Elementary	Cruiz	Thaye	Chabad_rabbi	1	0.001
Oneco_Elementary	Cruiz	Dan_Miracola	Patrice_Luzi	49	0.049
Oneco_Elementary	Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	42	0.042
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Jenna_Werdell	19	0.019
Oneco_Elementary	Cruiz	SUNDOWNS	Patrice_Luzi	16	0.016
Oneco_Elementary	Cruiz	Chabad_rabbi	Thaye	6	0.006
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Guttierrez	13	0.013
Oneco_Elementary	Cruiz	SUNDOWNS	Jenna_Werdell	29	0.029
Oneco_Elementary	Cruiz	Jenna_Werdell	Patrice_Luzi	5	0.005
Oneco_Elementary	Cruiz	Thaye	SUNDOWNS	3	0.003
Oneco_Elementary	Cruiz	SUNDOWNS	Dan_Miracola	6	0.006
Oneco_Elementary	Cruiz	Patrice_Luzi	Guttierrez	3	0.003
Oneco_Elementary	Cruiz	SUNDOWNS	Thaye	1	0.001
Oneco_Elementary	Cruiz	Patrice_Luzi	Trygve_Olson_cartoon	15	0.015
Oneco_Elementary	Cruiz	Chabad_rabbi	Guttierrez	7	0.007
Oneco_Elementary	Cruiz	Dan_Miracola	SUNDOWNS	26	0.026
Oneco_Elementary	Cruiz	Guttierrez	Dan_Miracola	36	0.036
Oneco_Elementary	Cruiz	Thaye	Trygve_Olson_cartoon	24	0.024
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Dan_Miracola	26	0.026
Oneco_Elementary	Cruiz	Jenna_Werdell	Dan_Miracola	14	0.014
Oneco_Elementary	Cruiz	Patrice_Luzi	SUNDOWNS	10	0.01
Oneco_Elementary	Cruiz	Chabad_rabbi	Trygve_Olson_cartoon	8	0.008
Oneco_Elementary	Cruiz	Guttierrez	SUNDOWNS	1	0.001
Oneco_Elementary	Cruiz	Guttierrez	Jenna_Werdell	7	0.007
Oneco_Elementary	Cruiz	SUNDOWNS	Trygve_Olson_cartoon	17	0.017
Oneco_Elementary	Cruiz	Jenna_Werdell	Thaye	3	0.003
Oneco_Elementary	Cruiz	Dan_Miracola	Jenna_Werdell	4	0.004
Oneco_Elementary	Cruiz	Guttierrez	Thaye	1	0.001
Oneco_Elementary	Cruiz	Dan_Miracola	Chabad_rabbi	1	0.001
Oneco_Elementary	Cruiz	Thaye	Jenna_Werdell	3	0.003
Oneco_Elementary	Cruiz	Thaye	Dan_Miracola	1	0.001
Oneco_Elementary	Cruiz	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Oneco_Elementary	Cruiz	Chabad_rabbi	Jenna_Werdell	5	0.005
Oneco_Elementary	Cruiz	Guttierrez	Patrice_Luzi	5	0.005
Oneco_Elementary	Cruiz	Patrice_Luzi	Jenna_Werdell	1	0.001
Oneco_Elementary	Cruiz	Chabad_rabbi	Patrice_Luzi	2	0.002
Oneco_Elementary	Cruiz	Thaye	Guttierrez	1	0.001
Oneco_Elementary	Cruiz	Dan_Miracola	Thaye	1	0.001
Oneco_Elementary	Cruiz	Chabad_rabbi	Dan_Miracola	1	0.001
Oneco_Elementary	Cruiz	NA	NA	272	0.272
