B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	64	0.064
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	57	0.057
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	110	0.11
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	136	0.136
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	123	0.123
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	68	0.068
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	107	0.107
Abounding_Grace	Oneco_Elementary	Illana	Thaye	43	0.043
Abounding_Grace	Oneco_Elementary	NA	NA	292	0.292
Abounding_Grace	Fishcreek_Road_Stow	Illana	Dan_Miracola	130	0.13
Abounding_Grace	Fishcreek_Road_Stow	Illana	Jenna_Werdell	76	0.076
Abounding_Grace	Fishcreek_Road_Stow	Illana	Trygve_Olson_cartoon	165	0.165
Abounding_Grace	Fishcreek_Road_Stow	Illana	Patrice_Luzi	85	0.085
Abounding_Grace	Fishcreek_Road_Stow	Illana	SUNDOWNS	123	0.123
Abounding_Grace	Fishcreek_Road_Stow	Illana	Thaye	77	0.077
Abounding_Grace	Fishcreek_Road_Stow	Illana	Guttierrez	13	0.013
Abounding_Grace	Fishcreek_Road_Stow	Illana	Chabad_rabbi	39	0.039
Abounding_Grace	Fishcreek_Road_Stow	NA	NA	292	0.292
Oneco_Elementary	Fishcreek_Road_Stow	SUNDOWNS	Dan_Miracola	32	0.032
Oneco_Elementary	Fishcreek_Road_Stow	Chabad_rabbi	Jenna_Werdell	7	0.007
Oneco_Elementary	Fishcreek_Road_Stow	Guttierrez	Trygve_Olson_cartoon	15	0.015
Oneco_Elementary	Fishcreek_Road_Stow	Chabad_rabbi	Trygve_Olson_cartoon	22	0.022
Oneco_Elementary	Fishcreek_Road_Stow	Guttierrez	Dan_Miracola	52	0.052
Oneco_Elementary	Fishcreek_Road_Stow	Dan_Miracola	Patrice_Luzi	20	0.02
Oneco_Elementary	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Jenna_Werdell	13	0.013
Oneco_Elementary	Fishcreek_Road_Stow	Patrice_Luzi	Jenna_Werdell	6	0.006
Oneco_Elementary	Fishcreek_Road_Stow	Jenna_Werdell	SUNDOWNS	41	0.041
Oneco_Elementary	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Thaye	34	0.034
Oneco_Elementary	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	23	0.023
Oneco_Elementary	Fishcreek_Road_Stow	Patrice_Luzi	Trygve_Olson_cartoon	45	0.045
