B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	54	0.054
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	109	0.109
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	174	0.174
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	195	0.195
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	145	0.145
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	27	0.027
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	107	0.107
Abounding_Grace	Oneco_Elementary	Illana	Thaye	30	0.03
Abounding_Grace	Oneco_Elementary	NA	NA	159	0.159
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	208	0.208
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	245	0.245
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	39	0.039
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	76	0.076
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	96	0.096
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	143	0.143
Abounding_Grace	Jenna_Werdell	Illana	Thaye	32	0.032
Abounding_Grace	Jenna_Werdell	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	Jenna_Werdell	NA	NA	159	0.159
Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	SUNDOWNS	15	0.015
Oneco_Elementary	Jenna_Werdell	SUNDOWNS	Jenna_Werdell	109	0.109
Oneco_Elementary	Jenna_Werdell	Dan_Miracola	Guttierrez	28	0.028
Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	Jenna_Werdell	61	0.061
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	Patrice_Luzi	3	0.003
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	Trygve_Olson_cartoon	25	0.025
Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	Dan_Miracola	41	0.041
Oneco_Elementary	Jenna_Werdell	Dan_Miracola	Patrice_Luzi	48	0.048
Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	Thaye	26	0.026
Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	Trygve_Olson_cartoon	11	0.011
Oneco_Elementary	Jenna_Werdell	Dan_Miracola	SUNDOWNS	40	0.04
Oneco_Elementary	Jenna_Werdell	Dan_Miracola	Trygve_Olson_cartoon	34	0.034
Oneco_Elementary	Jenna_Werdell	Dan_Miracola	Jenna_Werdell	24	0.024
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	SUNDOWNS	95	0.095
Oneco_Elementary	Jenna_Werdell	Guttierrez	Dan_Miracola	65	0.065
Oneco_Elementary	Jenna_Werdell	Guttierrez	Jenna_Werdell	35	0.035
Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	SUNDOWNS	52	0.052
Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	Trygve_Olson_cartoon	11	0.011
Oneco_Elementary	Jenna_Werdell	Thaye	Trygve_Olson_cartoon	15	0.015
Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	Dan_Miracola	19	0.019
Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	Dan_Miracola	5	0.005
Oneco_Elementary	Jenna_Werdell	Thaye	SUNDOWNS	6	0.006
Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	Jenna_Werdell	6	0.006
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	Guttierrez	7	0.007
Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	Patrice_Luzi	15	0.015
Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	Jenna_Werdell	6	0.006
Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	Guttierrez	1	0.001
Oneco_Elementary	Jenna_Werdell	Guttierrez	Patrice_Luzi	7	0.007
Oneco_Elementary	Jenna_Werdell	Thaye	Jenna_Werdell	4	0.004
Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	Guttierrez	3	0.003
Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	Thaye	4	0.004
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	Dan_Miracola	13	0.013
Oneco_Elementary	Jenna_Werdell	Jenna_Werdell	Thaye	2	0.002
Oneco_Elementary	Jenna_Werdell	Thaye	Patrice_Luzi	3	0.003
Oneco_Elementary	Jenna_Werdell	Thaye	Chabad_rabbi	2	0.002
Oneco_Elementary	Jenna_Werdell	NA	NA	159	0.159
