B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	118	0.118
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	52	0.052
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	88	0.088
Abounding_Grace	Oneco_Elementary	Illana	Thaye	57	0.057
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	209	0.209
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	57	0.057
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	112	0.112
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	147	0.147
Abounding_Grace	Oneco_Elementary	NA	NA	160	0.16
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	182	0.182
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	89	0.089
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	255	0.255
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	42	0.042
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	127	0.127
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	80	0.08
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	54	0.054
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	11	0.011
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	160	0.16
Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	SUNDOWNS	49	0.049
Oneco_Elementary	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	11	0.011
Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	17	0.017
Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	Jenna_Werdell	19	0.019
Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	33	0.033
Oneco_Elementary	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	57	0.057
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	SUNDOWNS	112	0.112
Oneco_Elementary	Trygve_Olson_cartoon	Chabad_rabbi	Trygve_Olson_cartoon	41	0.041
Oneco_Elementary	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	57	0.057
Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	Dan_Miracola	64	0.064
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	31	0.031
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	61	0.061
Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	Dan_Miracola	48	0.048
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	Thaye	6	0.006
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	4	0.004
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	Guttierrez	33	0.033
Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	Patrice_Luzi	13	0.013
Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	22	0.022
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	Patrice_Luzi	25	0.025
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	Chabad_rabbi	5	0.005
Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	19	0.019
Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	Thaye	11	0.011
Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	28	0.028
Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	Patrice_Luzi	7	0.007
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	21	0.021
Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	Patrice_Luzi	4	0.004
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	15	0.015
Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	Guttierrez	12	0.012
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Guttierrez	9	0.009
Oneco_Elementary	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	6	0.006
Oneco_Elementary	Trygve_Olson_cartoon	NA	NA	160	0.16
