B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Jenna_Werdell	135	0.135
Abounding_Grace	Parisara	Illana	Thaye	208	0.208
Abounding_Grace	Parisara	Illana	Patrice_Luzi	121	0.121
Abounding_Grace	Parisara	Illana	Guttierrez	85	0.085
Abounding_Grace	Parisara	Illana	SUNDOWNS	88	0.088
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	112	0.112
Abounding_Grace	Parisara	Illana	Dan_Miracola	26	0.026
Abounding_Grace	Parisara	Illana	Chabad_rabbi	25	0.025
Abounding_Grace	Parisara	NA	NA	200	0.2
Abounding_Grace	Cruiz	Illana	Guttierrez	277	0.277
Abounding_Grace	Cruiz	Illana	Dan_Miracola	62	0.062
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	101	0.101
Abounding_Grace	Cruiz	Illana	SUNDOWNS	109	0.109
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	96	0.096
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	87	0.087
Abounding_Grace	Cruiz	Illana	Thaye	55	0.055
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	13	0.013
Abounding_Grace	Cruiz	NA	NA	200	0.2
Parisara	Cruiz	Jenna_Werdell	Guttierrez	91	0.091
Parisara	Cruiz	Thaye	Dan_Miracola	29	0.029
Parisara	Cruiz	Patrice_Luzi	Guttierrez	75	0.075
Parisara	Cruiz	Guttierrez	Trygve_Olson_cartoon	20	0.02
Parisara	Cruiz	Thaye	SUNDOWNS	76	0.076
Parisara	Cruiz	Guttierrez	Jenna_Werdell	30	0.03
Parisara	Cruiz	Thaye	Jenna_Werdell	38	0.038
Parisara	Cruiz	SUNDOWNS	Guttierrez	30	0.03
Parisara	Cruiz	SUNDOWNS	Jenna_Werdell	5	0.005
Parisara	Cruiz	Guttierrez	Patrice_Luzi	25	0.025
Parisara	Cruiz	Trygve_Olson_cartoon	Patrice_Luzi	17	0.017
Parisara	Cruiz	Patrice_Luzi	Trygve_Olson_cartoon	23	0.023
Parisara	Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	8	0.008
Parisara	Cruiz	Trygve_Olson_cartoon	Guttierrez	68	0.068
Parisara	Cruiz	Dan_Miracola	Guttierrez	6	0.006
Parisara	Cruiz	SUNDOWNS	Trygve_Olson_cartoon	9	0.009
Parisara	Cruiz	Chabad_rabbi	Trygve_Olson_cartoon	11	0.011
Parisara	Cruiz	Guttierrez	Thaye	2	0.002
Parisara	Cruiz	Jenna_Werdell	Thaye	5	0.005
Parisara	Cruiz	Jenna_Werdell	SUNDOWNS	10	0.01
Parisara	Cruiz	Dan_Miracola	SUNDOWNS	9	0.009
Parisara	Cruiz	Patrice_Luzi	Thaye	5	0.005
Parisara	Cruiz	Trygve_Olson_cartoon	Dan_Miracola	8	0.008
Parisara	Cruiz	SUNDOWNS	Dan_Miracola	13	0.013
Parisara	Cruiz	Patrice_Luzi	Jenna_Werdell	16	0.016
Parisara	Cruiz	Thaye	Patrice_Luzi	24	0.024
Parisara	Cruiz	Dan_Miracola	Trygve_Olson_cartoon	2	0.002
Parisara	Cruiz	Jenna_Werdell	Patrice_Luzi	18	0.018
Parisara	Cruiz	SUNDOWNS	Thaye	28	0.028
Parisara	Cruiz	Dan_Miracola	Thaye	7	0.007
Parisara	Cruiz	Chabad_rabbi	Dan_Miracola	5	0.005
Parisara	Cruiz	Guttierrez	SUNDOWNS	4	0.004
Parisara	Cruiz	Thaye	Trygve_Olson_cartoon	28	0.028
Parisara	Cruiz	Trygve_Olson_cartoon	SUNDOWNS	8	0.008
Parisara	Cruiz	Thaye	Guttierrez	4	0.004
Parisara	Cruiz	Dan_Miracola	Chabad_rabbi	1	0.001
Parisara	Cruiz	Thaye	Chabad_rabbi	9	0.009
Parisara	Cruiz	Chabad_rabbi	Thaye	3	0.003
Parisara	Cruiz	Trygve_Olson_cartoon	Jenna_Werdell	4	0.004
Parisara	Cruiz	Jenna_Werdell	Dan_Miracola	2	0.002
Parisara	Cruiz	Trygve_Olson_cartoon	Thaye	5	0.005
Parisara	Cruiz	Jenna_Werdell	Chabad_rabbi	1	0.001
Parisara	Cruiz	Trygve_Olson_cartoon	Chabad_rabbi	2	0.002
Parisara	Cruiz	SUNDOWNS	Patrice_Luzi	3	0.003
Parisara	Cruiz	Patrice_Luzi	SUNDOWNS	1	0.001
Parisara	Cruiz	Chabad_rabbi	Guttierrez	3	0.003
Parisara	Cruiz	Dan_Miracola	Jenna_Werdell	1	0.001
Parisara	Cruiz	Patrice_Luzi	Dan_Miracola	1	0.001
Parisara	Cruiz	Guttierrez	Dan_Miracola	4	0.004
Parisara	Cruiz	Chabad_rabbi	Jenna_Werdell	2	0.002
Parisara	Cruiz	Chabad_rabbi	SUNDOWNS	1	0.001
Parisara	Cruiz	NA	NA	200	0.2
