B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	SUNDOWNS	94	0.094
Abounding_Grace	Parisara	Illana	Chabad_rabbi	33	0.033
Abounding_Grace	Parisara	Illana	Thaye	228	0.228
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	131	0.131
Abounding_Grace	Parisara	Illana	Patrice_Luzi	94	0.094
Abounding_Grace	Parisara	Illana	Jenna_Werdell	71	0.071
Abounding_Grace	Parisara	Illana	Dan_Miracola	37	0.037
Abounding_Grace	Parisara	Illana	Guttierrez	94	0.094
Abounding_Grace	Parisara	NA	NA	218	0.218
Abounding_Grace	Fishcreek_Road_Stow	Illana	Dan_Miracola	85	0.085
Abounding_Grace	Fishcreek_Road_Stow	Illana	Thaye	78	0.078
Abounding_Grace	Fishcreek_Road_Stow	Illana	Chabad_rabbi	93	0.093
Abounding_Grace	Fishcreek_Road_Stow	Illana	Jenna_Werdell	137	0.137
Abounding_Grace	Fishcreek_Road_Stow	Illana	Patrice_Luzi	114	0.114
Abounding_Grace	Fishcreek_Road_Stow	Illana	SUNDOWNS	104	0.104
Abounding_Grace	Fishcreek_Road_Stow	Illana	Guttierrez	24	0.024
Abounding_Grace	Fishcreek_Road_Stow	Illana	Trygve_Olson_cartoon	147	0.147
Abounding_Grace	Fishcreek_Road_Stow	NA	NA	218	0.218
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Dan_Miracola	40	0.04
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Thaye	10	0.01
Parisara	Fishcreek_Road_Stow	Thaye	Chabad_rabbi	56	0.056
Parisara	Fishcreek_Road_Stow	Thaye	Jenna_Werdell	41	0.041
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	57	0.057
Parisara	Fishcreek_Road_Stow	Thaye	SUNDOWNS	61	0.061
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	SUNDOWNS	9	0.009
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	Guttierrez	7	0.007
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	SUNDOWNS	10	0.01
Parisara	Fishcreek_Road_Stow	Thaye	Dan_Miracola	12	0.012
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	Jenna_Werdell	24	0.024
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Jenna_Werdell	11	0.011
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Dan_Miracola	17	0.017
Parisara	Fishcreek_Road_Stow	Thaye	Trygve_Olson_cartoon	43	0.043
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	Trygve_Olson_cartoon	54	0.054
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Thaye	11	0.011
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Trygve_Olson_cartoon	8	0.008
Parisara	Fishcreek_Road_Stow	Dan_Miracola	SUNDOWNS	13	0.013
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Thaye	31	0.031
Parisara	Fishcreek_Road_Stow	Guttierrez	SUNDOWNS	8	0.008
Parisara	Fishcreek_Road_Stow	Guttierrez	Trygve_Olson_cartoon	22	0.022
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Jenna_Werdell	12	0.012
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Dan_Miracola	7	0.007
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	Thaye	4	0.004
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Patrice_Luzi	22	0.022
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Guttierrez	6	0.006
Parisara	Fishcreek_Road_Stow	Guttierrez	Jenna_Werdell	44	0.044
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Chabad_rabbi	10	0.01
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Trygve_Olson_cartoon	9	0.009
Parisara	Fishcreek_Road_Stow	Thaye	Patrice_Luzi	15	0.015
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Chabad_rabbi	5	0.005
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Thaye	17	0.017
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Chabad_rabbi	18	0.018
Parisara	Fishcreek_Road_Stow	Guttierrez	Patrice_Luzi	13	0.013
Parisara	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Guttierrez	7	0.007
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	SUNDOWNS	3	0.003
Parisara	Fishcreek_Road_Stow	Patrice_Luzi	Dan_Miracola	2	0.002
Parisara	Fishcreek_Road_Stow	Guttierrez	Thaye	1	0.001
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Patrice_Luzi	3	0.003
Parisara	Fishcreek_Road_Stow	Guttierrez	Chabad_rabbi	2	0.002
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Guttierrez	2	0.002
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Trygve_Olson_cartoon	7	0.007
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Trygve_Olson_cartoon	4	0.004
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Jenna_Werdell	3	0.003
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Thaye	4	0.004
Parisara	Fishcreek_Road_Stow	Guttierrez	Dan_Miracola	4	0.004
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Guttierrez	1	0.001
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Patrice_Luzi	2	0.002
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Chabad_rabbi	2	0.002
Parisara	Fishcreek_Road_Stow	SUNDOWNS	Patrice_Luzi	2	0.002
Parisara	Fishcreek_Road_Stow	Jenna_Werdell	Dan_Miracola	3	0.003
Parisara	Fishcreek_Road_Stow	Dan_Miracola	Jenna_Werdell	2	0.002
Parisara	Fishcreek_Road_Stow	Chabad_rabbi	Guttierrez	1	0.001
Parisara	Fishcreek_Road_Stow	NA	NA	218	0.218
