B_dom	B_cod	A_dom	A_cod	count	probability
Parisara	Jenna_Werdell	Patrice_Luzi	Dan_Miracola	13	0.013
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	Thaye	29	0.029
Parisara	Jenna_Werdell	SUNDOWNS	Jenna_Werdell	251	0.251
Parisara	Jenna_Werdell	Thaye	Trygve_Olson_cartoon	105	0.105
Parisara	Jenna_Werdell	Guttierrez	Dan_Miracola	30	0.03
Parisara	Jenna_Werdell	Jenna_Werdell	Trygve_Olson_cartoon	15	0.015
Parisara	Jenna_Werdell	Thaye	Jenna_Werdell	46	0.046
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	Patrice_Luzi	25	0.025
Parisara	Jenna_Werdell	Jenna_Werdell	Thaye	5	0.005
Parisara	Jenna_Werdell	Patrice_Luzi	SUNDOWNS	37	0.037
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	SUNDOWNS	21	0.021
Parisara	Jenna_Werdell	Dan_Miracola	SUNDOWNS	26	0.026
Parisara	Jenna_Werdell	Dan_Miracola	Jenna_Werdell	8	0.008
Parisara	Jenna_Werdell	Chabad_rabbi	Thaye	5	0.005
Parisara	Jenna_Werdell	Guttierrez	Jenna_Werdell	27	0.027
Parisara	Jenna_Werdell	Jenna_Werdell	SUNDOWNS	80	0.08
Parisara	Jenna_Werdell	Jenna_Werdell	Guttierrez	19	0.019
Parisara	Jenna_Werdell	Patrice_Luzi	Trygve_Olson_cartoon	6	0.006
Parisara	Jenna_Werdell	Thaye	Chabad_rabbi	2	0.002
Parisara	Jenna_Werdell	Guttierrez	Patrice_Luzi	6	0.006
Parisara	Jenna_Werdell	Dan_Miracola	Trygve_Olson_cartoon	6	0.006
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	Guttierrez	8	0.008
Parisara	Jenna_Werdell	Dan_Miracola	Patrice_Luzi	5	0.005
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	Jenna_Werdell	11	0.011
Parisara	Jenna_Werdell	Dan_Miracola	Guttierrez	9	0.009
Parisara	Jenna_Werdell	Patrice_Luzi	Guttierrez	5	0.005
Parisara	Jenna_Werdell	Trygve_Olson_cartoon	Dan_Miracola	16	0.016
Parisara	Jenna_Werdell	Thaye	Patrice_Luzi	5	0.005
Parisara	Jenna_Werdell	Patrice_Luzi	Jenna_Werdell	17	0.017
Parisara	Jenna_Werdell	Thaye	SUNDOWNS	16	0.016
Parisara	Jenna_Werdell	Jenna_Werdell	Dan_Miracola	7	0.007
Parisara	Jenna_Werdell	Chabad_rabbi	Trygve_Olson_cartoon	4	0.004
Parisara	Jenna_Werdell	Dan_Miracola	Thaye	2	0.002
Parisara	Jenna_Werdell	Jenna_Werdell	Patrice_Luzi	5	0.005
Parisara	Jenna_Werdell	Chabad_rabbi	Dan_Miracola	5	0.005
Parisara	Jenna_Werdell	Chabad_rabbi	Jenna_Werdell	1	0.001
Parisara	Jenna_Werdell	NA	NA	122	0.122
Abounding_Grace	Parisara	Illana	Patrice_Luzi	78	0.078
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	110	0.11
Abounding_Grace	Parisara	Illana	SUNDOWNS	251	0.251
Abounding_Grace	Parisara	Illana	Thaye	174	0.174
Abounding_Grace	Parisara	Illana	Guttierrez	63	0.063
Abounding_Grace	Parisara	Illana	Jenna_Werdell	131	0.131
Abounding_Grace	Parisara	Illana	Dan_Miracola	56	0.056
Abounding_Grace	Parisara	Illana	Chabad_rabbi	15	0.015
Abounding_Grace	Parisara	NA	NA	122	0.122
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	71	0.071
Abounding_Grace	Jenna_Werdell	Illana	Thaye	41	0.041
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	361	0.361
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	136	0.136
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	46	0.046
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	180	0.18
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	41	0.041
Abounding_Grace	Jenna_Werdell	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	Jenna_Werdell	NA	NA	122	0.122
