B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Thaye	185	0.185
Abounding_Grace	Parisara	Illana	Guttierrez	47	0.047
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	119	0.119
Abounding_Grace	Parisara	Illana	SUNDOWNS	235	0.235
Abounding_Grace	Parisara	Illana	Jenna_Werdell	136	0.136
Abounding_Grace	Parisara	Illana	Patrice_Luzi	90	0.09
Abounding_Grace	Parisara	Illana	Dan_Miracola	50	0.05
Abounding_Grace	Parisara	Illana	Chabad_rabbi	19	0.019
Abounding_Grace	Parisara	NA	NA	119	0.119
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	384	0.384
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	75	0.075
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	65	0.065
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	123	0.123
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	190	0.19
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	37	0.037
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	5	0.005
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	119	0.119
Parisara	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	185	0.185
Parisara	Trygve_Olson_cartoon	Guttierrez	Dan_Miracola	28	0.028
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	14	0.014
Parisara	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	95	0.095
Parisara	Trygve_Olson_cartoon	SUNDOWNS	Patrice_Luzi	28	0.028
Parisara	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	5	0.005
Parisara	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	41	0.041
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	48	0.048
Parisara	Trygve_Olson_cartoon	SUNDOWNS	Jenna_Werdell	112	0.112
Parisara	Trygve_Olson_cartoon	Jenna_Werdell	SUNDOWNS	95	0.095
Parisara	Trygve_Olson_cartoon	Patrice_Luzi	Dan_Miracola	33	0.033
Parisara	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	14	0.014
Parisara	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	23	0.023
Parisara	Trygve_Olson_cartoon	Chabad_rabbi	Trygve_Olson_cartoon	15	0.015
Parisara	Trygve_Olson_cartoon	Dan_Miracola	SUNDOWNS	13	0.013
Parisara	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	4	0.004
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	33	0.033
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Guttierrez	2	0.002
Parisara	Trygve_Olson_cartoon	Guttierrez	Patrice_Luzi	3	0.003
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	14	0.014
Parisara	Trygve_Olson_cartoon	Dan_Miracola	Patrice_Luzi	20	0.02
Parisara	Trygve_Olson_cartoon	Patrice_Luzi	SUNDOWNS	34	0.034
Parisara	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	11	0.011
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	2	0.002
Parisara	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	6	0.006
Parisara	Trygve_Olson_cartoon	Dan_Miracola	Guttierrez	3	0.003
Parisara	Trygve_Olson_cartoon	NA	NA	119	0.119
