B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Guttierrez	30	0.03
Abounding_Grace	Parisara	Illana	SUNDOWNS	183	0.183
Abounding_Grace	Parisara	Illana	Thaye	205	0.205
Abounding_Grace	Parisara	Illana	Jenna_Werdell	145	0.145
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	124	0.124
Abounding_Grace	Parisara	Illana	Patrice_Luzi	103	0.103
Abounding_Grace	Parisara	Illana	Dan_Miracola	63	0.063
Abounding_Grace	Parisara	Illana	Chabad_rabbi	16	0.016
Abounding_Grace	Parisara	NA	NA	131	0.131
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	81	0.081
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	77	0.077
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	388	0.388
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	199	0.199
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	89	0.089
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	22	0.022
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	12	0.012
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	1	0.001
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	131	0.131
Trygve_Olson_cartoon	Parisara	Dan_Miracola	Guttierrez	24	0.024
Trygve_Olson_cartoon	Parisara	Patrice_Luzi	SUNDOWNS	30	0.03
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Thaye	205	0.205
Trygve_Olson_cartoon	Parisara	SUNDOWNS	Jenna_Werdell	91	0.091
Trygve_Olson_cartoon	Parisara	Jenna_Werdell	SUNDOWNS	82	0.082
Trygve_Olson_cartoon	Parisara	Thaye	Trygve_Olson_cartoon	19	0.019
Trygve_Olson_cartoon	Parisara	SUNDOWNS	Patrice_Luzi	43	0.043
Trygve_Olson_cartoon	Parisara	SUNDOWNS	Trygve_Olson_cartoon	61	0.061
Trygve_Olson_cartoon	Parisara	Patrice_Luzi	Trygve_Olson_cartoon	18	0.018
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Dan_Miracola	22	0.022
Trygve_Olson_cartoon	Parisara	Dan_Miracola	Patrice_Luzi	42	0.042
Trygve_Olson_cartoon	Parisara	Patrice_Luzi	Dan_Miracola	28	0.028
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Patrice_Luzi	18	0.018
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	SUNDOWNS	71	0.071
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Jenna_Werdell	54	0.054
Trygve_Olson_cartoon	Parisara	Guttierrez	Dan_Miracola	9	0.009
Trygve_Olson_cartoon	Parisara	Dan_Miracola	Trygve_Olson_cartoon	15	0.015
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Chabad_rabbi	13	0.013
Trygve_Olson_cartoon	Parisara	Jenna_Werdell	Trygve_Olson_cartoon	7	0.007
Trygve_Olson_cartoon	Parisara	SUNDOWNS	Dan_Miracola	4	0.004
Trygve_Olson_cartoon	Parisara	Thaye	Chabad_rabbi	3	0.003
Trygve_Olson_cartoon	Parisara	Guttierrez	Trygve_Olson_cartoon	3	0.003
Trygve_Olson_cartoon	Parisara	Trygve_Olson_cartoon	Guttierrez	5	0.005
Trygve_Olson_cartoon	Parisara	Patrice_Luzi	Guttierrez	1	0.001
Trygve_Olson_cartoon	Parisara	Chabad_rabbi	Trygve_Olson_cartoon	1	0.001
Trygve_Olson_cartoon	Parisara	NA	NA	131	0.131
