B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	112	0.112
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	241	0.241
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	65	0.065
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	57	0.057
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	36	0.036
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	43	0.043
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	50	0.05
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	59	0.059
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	337	0.337
Abounding_Grace	chaplin	Illana	Chabad_rabbi	200	0.2
Abounding_Grace	chaplin	Illana	Guttierrez	54	0.054
Abounding_Grace	chaplin	Illana	SUNDOWNS	57	0.057
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	88	0.088
Abounding_Grace	chaplin	Illana	Dan_Miracola	46	0.046
Abounding_Grace	chaplin	Illana	Patrice_Luzi	55	0.055
Abounding_Grace	chaplin	Illana	Thaye	83	0.083
Abounding_Grace	chaplin	Illana	Jenna_Werdell	80	0.08
Abounding_Grace	chaplin	NA	NA	337	0.337
Trygve_Olson_cartoon	chaplin	Thaye	Chabad_rabbi	54	0.054
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Chabad_rabbi	146	0.146
Trygve_Olson_cartoon	chaplin	SUNDOWNS	Guttierrez	20	0.02
Trygve_Olson_cartoon	chaplin	Dan_Miracola	SUNDOWNS	12	0.012
Trygve_Olson_cartoon	chaplin	Chabad_rabbi	Trygve_Olson_cartoon	12	0.012
Trygve_Olson_cartoon	chaplin	Patrice_Luzi	Dan_Miracola	5	0.005
Trygve_Olson_cartoon	chaplin	Jenna_Werdell	Patrice_Luzi	26	0.026
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Guttierrez	34	0.034
Trygve_Olson_cartoon	chaplin	Dan_Miracola	Thaye	35	0.035
Trygve_Olson_cartoon	chaplin	SUNDOWNS	Dan_Miracola	14	0.014
Trygve_Olson_cartoon	chaplin	Chabad_rabbi	Thaye	15	0.015
Trygve_Olson_cartoon	chaplin	Jenna_Werdell	Trygve_Olson_cartoon	6	0.006
Trygve_Olson_cartoon	chaplin	Thaye	Jenna_Werdell	12	0.012
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Thaye	7	0.007
Trygve_Olson_cartoon	chaplin	SUNDOWNS	Trygve_Olson_cartoon	15	0.015
Trygve_Olson_cartoon	chaplin	Guttierrez	Patrice_Luzi	7	0.007
Trygve_Olson_cartoon	chaplin	Thaye	SUNDOWNS	15	0.015
Trygve_Olson_cartoon	chaplin	Dan_Miracola	Trygve_Olson_cartoon	10	0.01
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Jenna_Werdell	23	0.023
Trygve_Olson_cartoon	chaplin	Thaye	Trygve_Olson_cartoon	15	0.015
Trygve_Olson_cartoon	chaplin	Jenna_Werdell	Thaye	11	0.011
Trygve_Olson_cartoon	chaplin	Guttierrez	Trygve_Olson_cartoon	23	0.023
Trygve_Olson_cartoon	chaplin	Thaye	Patrice_Luzi	7	0.007
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Patrice_Luzi	15	0.015
Trygve_Olson_cartoon	chaplin	Guttierrez	Dan_Miracola	4	0.004
Trygve_Olson_cartoon	chaplin	SUNDOWNS	Thaye	8	0.008
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	Dan_Miracola	12	0.012
Trygve_Olson_cartoon	chaplin	Patrice_Luzi	Jenna_Werdell	23	0.023
Trygve_Olson_cartoon	chaplin	Guttierrez	SUNDOWNS	17	0.017
Trygve_Olson_cartoon	chaplin	Thaye	Dan_Miracola	9	0.009
Trygve_Olson_cartoon	chaplin	Jenna_Werdell	SUNDOWNS	7	0.007
Trygve_Olson_cartoon	chaplin	SUNDOWNS	Jenna_Werdell	8	0.008
Trygve_Olson_cartoon	chaplin	Guttierrez	Jenna_Werdell	7	0.007
Trygve_Olson_cartoon	chaplin	Chabad_rabbi	Dan_Miracola	2	0.002
Trygve_Olson_cartoon	chaplin	Chabad_rabbi	Jenna_Werdell	7	0.007
Trygve_Olson_cartoon	chaplin	Patrice_Luzi	Trygve_Olson_cartoon	7	0.007
Trygve_Olson_cartoon	chaplin	Patrice_Luzi	Thaye	6	0.006
Trygve_Olson_cartoon	chaplin	Patrice_Luzi	SUNDOWNS	2	0.002
Trygve_Olson_cartoon	chaplin	Trygve_Olson_cartoon	SUNDOWNS	4	0.004
Trygve_Olson_cartoon	chaplin	Guttierrez	Thaye	1	0.001
Trygve_Olson_cartoon	chaplin	NA	NA	337	0.337
