B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	46	0.046
Abounding_Grace	ATWOOD	Illana	Guttierrez	90	0.09
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	150	0.15
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	116	0.116
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	76	0.076
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	78	0.078
Abounding_Grace	ATWOOD	Illana	Thaye	39	0.039
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	4	0.004
Abounding_Grace	ATWOOD	NA	NA	401	0.401
Abounding_Grace	chaplin	Illana	SUNDOWNS	51	0.051
Abounding_Grace	chaplin	Illana	Dan_Miracola	62	0.062
Abounding_Grace	chaplin	Illana	Patrice_Luzi	96	0.096
Abounding_Grace	chaplin	Illana	Guttierrez	33	0.033
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	94	0.094
Abounding_Grace	chaplin	Illana	Thaye	73	0.073
Abounding_Grace	chaplin	Illana	Chabad_rabbi	126	0.126
Abounding_Grace	chaplin	Illana	Jenna_Werdell	64	0.064
Abounding_Grace	chaplin	NA	NA	401	0.401
chaplin	ATWOOD	SUNDOWNS	Patrice_Luzi	3	0.003
chaplin	ATWOOD	Dan_Miracola	Patrice_Luzi	2	0.002
chaplin	ATWOOD	Dan_Miracola	Guttierrez	11	0.011
chaplin	ATWOOD	Dan_Miracola	Trygve_Olson_cartoon	9	0.009
chaplin	ATWOOD	Patrice_Luzi	Guttierrez	20	0.02
chaplin	ATWOOD	Patrice_Luzi	Jenna_Werdell	24	0.024
chaplin	ATWOOD	Guttierrez	Trygve_Olson_cartoon	5	0.005
chaplin	ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	10	0.01
chaplin	ATWOOD	Thaye	Trygve_Olson_cartoon	32	0.032
chaplin	ATWOOD	SUNDOWNS	Dan_Miracola	27	0.027
chaplin	ATWOOD	Chabad_rabbi	Trygve_Olson_cartoon	52	0.052
chaplin	ATWOOD	Patrice_Luzi	Trygve_Olson_cartoon	42	0.042
chaplin	ATWOOD	Chabad_rabbi	Guttierrez	12	0.012
chaplin	ATWOOD	Guttierrez	Jenna_Werdell	15	0.015
chaplin	ATWOOD	Trygve_Olson_cartoon	Guttierrez	19	0.019
chaplin	ATWOOD	Trygve_Olson_cartoon	Thaye	15	0.015
chaplin	ATWOOD	Dan_Miracola	SUNDOWNS	29	0.029
chaplin	ATWOOD	Chabad_rabbi	Thaye	19	0.019
chaplin	ATWOOD	Jenna_Werdell	Patrice_Luzi	12	0.012
chaplin	ATWOOD	Dan_Miracola	Jenna_Werdell	9	0.009
chaplin	ATWOOD	Chabad_rabbi	Dan_Miracola	16	0.016
chaplin	ATWOOD	Jenna_Werdell	SUNDOWNS	13	0.013
chaplin	ATWOOD	Thaye	Jenna_Werdell	14	0.014
chaplin	ATWOOD	Thaye	SUNDOWNS	17	0.017
chaplin	ATWOOD	Jenna_Werdell	Trygve_Olson_cartoon	8	0.008
chaplin	ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	11	0.011
chaplin	ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	18	0.018
chaplin	ATWOOD	Jenna_Werdell	Guttierrez	22	0.022
chaplin	ATWOOD	Chabad_rabbi	Jenna_Werdell	23	0.023
chaplin	ATWOOD	Patrice_Luzi	SUNDOWNS	3	0.003
chaplin	ATWOOD	SUNDOWNS	Jenna_Werdell	13	0.013
chaplin	ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	21	0.021
chaplin	ATWOOD	Thaye	Patrice_Luzi	2	0.002
chaplin	ATWOOD	Thaye	Chabad_rabbi	2	0.002
chaplin	ATWOOD	Guttierrez	Patrice_Luzi	4	0.004
chaplin	ATWOOD	Thaye	Dan_Miracola	5	0.005
chaplin	ATWOOD	Jenna_Werdell	Thaye	3	0.003
chaplin	ATWOOD	Jenna_Werdell	Dan_Miracola	6	0.006
chaplin	ATWOOD	Chabad_rabbi	SUNDOWNS	2	0.002
chaplin	ATWOOD	SUNDOWNS	Guttierrez	5	0.005
chaplin	ATWOOD	Guttierrez	Dan_Miracola	7	0.007
chaplin	ATWOOD	Patrice_Luzi	Dan_Miracola	6	0.006
chaplin	ATWOOD	Patrice_Luzi	Thaye	1	0.001
chaplin	ATWOOD	Guttierrez	SUNDOWNS	2	0.002
chaplin	ATWOOD	Dan_Miracola	Chabad_rabbi	2	0.002
chaplin	ATWOOD	SUNDOWNS	Trygve_Olson_cartoon	2	0.002
chaplin	ATWOOD	Thaye	Guttierrez	1	0.001
chaplin	ATWOOD	Chabad_rabbi	Patrice_Luzi	2	0.002
chaplin	ATWOOD	SUNDOWNS	Thaye	1	0.001
chaplin	ATWOOD	NA	NA	401	0.401
