B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	95	0.095
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	34	0.034
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	57	0.057
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	66	0.066
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	96	0.096
Abounding_Grace	Oneco_Elementary	Illana	Thaye	32	0.032
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	100	0.1
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	35	0.035
Abounding_Grace	Oneco_Elementary	NA	NA	485	0.485
Abounding_Grace	chaplin	Illana	Chabad_rabbi	150	0.15
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	82	0.082
Abounding_Grace	chaplin	Illana	Jenna_Werdell	55	0.055
Abounding_Grace	chaplin	Illana	Patrice_Luzi	52	0.052
Abounding_Grace	chaplin	Illana	SUNDOWNS	47	0.047
Abounding_Grace	chaplin	Illana	Thaye	74	0.074
Abounding_Grace	chaplin	Illana	Dan_Miracola	28	0.028
Abounding_Grace	chaplin	Illana	Guttierrez	27	0.027
Abounding_Grace	chaplin	NA	NA	485	0.485
chaplin	Oneco_Elementary	Chabad_rabbi	Trygve_Olson_cartoon	59	0.059
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	8	0.008
chaplin	Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	11	0.011
chaplin	Oneco_Elementary	Jenna_Werdell	Guttierrez	11	0.011
chaplin	Oneco_Elementary	Chabad_rabbi	Jenna_Werdell	18	0.018
chaplin	Oneco_Elementary	Chabad_rabbi	Thaye	17	0.017
chaplin	Oneco_Elementary	Patrice_Luzi	Chabad_rabbi	2	0.002
chaplin	Oneco_Elementary	Chabad_rabbi	Guttierrez	10	0.01
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	11	0.011
chaplin	Oneco_Elementary	SUNDOWNS	Dan_Miracola	12	0.012
chaplin	Oneco_Elementary	Thaye	Jenna_Werdell	19	0.019
chaplin	Oneco_Elementary	Patrice_Luzi	Jenna_Werdell	23	0.023
chaplin	Oneco_Elementary	Chabad_rabbi	Patrice_Luzi	3	0.003
chaplin	Oneco_Elementary	Dan_Miracola	Chabad_rabbi	5	0.005
chaplin	Oneco_Elementary	Chabad_rabbi	Dan_Miracola	40	0.04
chaplin	Oneco_Elementary	Jenna_Werdell	Dan_Miracola	3	0.003
chaplin	Oneco_Elementary	Jenna_Werdell	Thaye	6	0.006
chaplin	Oneco_Elementary	Guttierrez	Patrice_Luzi	4	0.004
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Chabad_rabbi	19	0.019
chaplin	Oneco_Elementary	Thaye	SUNDOWNS	7	0.007
chaplin	Oneco_Elementary	Thaye	Patrice_Luzi	3	0.003
chaplin	Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	8	0.008
chaplin	Oneco_Elementary	Thaye	Dan_Miracola	19	0.019
chaplin	Oneco_Elementary	SUNDOWNS	Jenna_Werdell	13	0.013
chaplin	Oneco_Elementary	Patrice_Luzi	Guttierrez	13	0.013
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	20	0.02
chaplin	Oneco_Elementary	Dan_Miracola	Thaye	4	0.004
chaplin	Oneco_Elementary	SUNDOWNS	Guttierrez	13	0.013
chaplin	Oneco_Elementary	Thaye	Trygve_Olson_cartoon	9	0.009
chaplin	Oneco_Elementary	Thaye	Chabad_rabbi	14	0.014
chaplin	Oneco_Elementary	Patrice_Luzi	Trygve_Olson_cartoon	9	0.009
chaplin	Oneco_Elementary	Dan_Miracola	SUNDOWNS	6	0.006
chaplin	Oneco_Elementary	Guttierrez	Chabad_rabbi	4	0.004
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	13	0.013
chaplin	Oneco_Elementary	Thaye	Guttierrez	3	0.003
chaplin	Oneco_Elementary	Dan_Miracola	Trygve_Olson_cartoon	3	0.003
chaplin	Oneco_Elementary	SUNDOWNS	Thaye	3	0.003
chaplin	Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	13	0.013
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Patrice_Luzi	9	0.009
chaplin	Oneco_Elementary	Patrice_Luzi	SUNDOWNS	2	0.002
chaplin	Oneco_Elementary	Guttierrez	Jenna_Werdell	7	0.007
chaplin	Oneco_Elementary	Guttierrez	Trygve_Olson_cartoon	4	0.004
chaplin	Oneco_Elementary	Patrice_Luzi	Dan_Miracola	3	0.003
chaplin	Oneco_Elementary	Chabad_rabbi	SUNDOWNS	3	0.003
chaplin	Oneco_Elementary	Dan_Miracola	Jenna_Werdell	5	0.005
chaplin	Oneco_Elementary	SUNDOWNS	Patrice_Luzi	1	0.001
chaplin	Oneco_Elementary	Guttierrez	SUNDOWNS	5	0.005
chaplin	Oneco_Elementary	Guttierrez	Dan_Miracola	3	0.003
chaplin	Oneco_Elementary	SUNDOWNS	Chabad_rabbi	2	0.002
chaplin	Oneco_Elementary	Trygve_Olson_cartoon	Thaye	2	0.002
chaplin	Oneco_Elementary	Dan_Miracola	Guttierrez	3	0.003
chaplin	Oneco_Elementary	Dan_Miracola	Patrice_Luzi	2	0.002
chaplin	Oneco_Elementary	Jenna_Werdell	SUNDOWNS	3	0.003
chaplin	Oneco_Elementary	SUNDOWNS	Trygve_Olson_cartoon	3	0.003
chaplin	Oneco_Elementary	NA	NA	485	0.485
