B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	SUNDOWNS	68	0.068
Abounding_Grace	Parisara	Illana	Thaye	215	0.215
Abounding_Grace	Parisara	Illana	Chabad_rabbi	33	0.033
Abounding_Grace	Parisara	Illana	Patrice_Luzi	55	0.055
Abounding_Grace	Parisara	Illana	Jenna_Werdell	71	0.071
Abounding_Grace	Parisara	Illana	Guttierrez	52	0.052
Abounding_Grace	Parisara	Illana	Dan_Miracola	35	0.035
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	77	0.077
Abounding_Grace	Parisara	NA	NA	394	0.394
Abounding_Grace	chaplin	Illana	Dan_Miracola	55	0.055
Abounding_Grace	chaplin	Illana	Jenna_Werdell	74	0.074
Abounding_Grace	chaplin	Illana	Thaye	64	0.064
Abounding_Grace	chaplin	Illana	SUNDOWNS	51	0.051
Abounding_Grace	chaplin	Illana	Chabad_rabbi	188	0.188
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	72	0.072
Abounding_Grace	chaplin	Illana	Guttierrez	42	0.042
Abounding_Grace	chaplin	Illana	Patrice_Luzi	60	0.06
Abounding_Grace	chaplin	NA	NA	394	0.394
chaplin	Parisara	Dan_Miracola	SUNDOWNS	12	0.012
chaplin	Parisara	Jenna_Werdell	Thaye	32	0.032
chaplin	Parisara	Dan_Miracola	Chabad_rabbi	8	0.008
chaplin	Parisara	Thaye	Patrice_Luzi	14	0.014
chaplin	Parisara	SUNDOWNS	Jenna_Werdell	11	0.011
chaplin	Parisara	SUNDOWNS	Thaye	19	0.019
chaplin	Parisara	Jenna_Werdell	SUNDOWNS	12	0.012
chaplin	Parisara	Chabad_rabbi	Jenna_Werdell	12	0.012
chaplin	Parisara	Chabad_rabbi	Patrice_Luzi	9	0.009
chaplin	Parisara	Dan_Miracola	Guttierrez	3	0.003
chaplin	Parisara	Chabad_rabbi	Dan_Miracola	6	0.006
chaplin	Parisara	Jenna_Werdell	Guttierrez	8	0.008
chaplin	Parisara	Chabad_rabbi	Thaye	104	0.104
chaplin	Parisara	Chabad_rabbi	Trygve_Olson_cartoon	47	0.047
chaplin	Parisara	Trygve_Olson_cartoon	SUNDOWNS	10	0.01
chaplin	Parisara	Guttierrez	SUNDOWNS	16	0.016
chaplin	Parisara	Trygve_Olson_cartoon	Thaye	12	0.012
chaplin	Parisara	Guttierrez	Trygve_Olson_cartoon	8	0.008
chaplin	Parisara	Chabad_rabbi	Guttierrez	7	0.007
chaplin	Parisara	SUNDOWNS	Guttierrez	9	0.009
chaplin	Parisara	Trygve_Olson_cartoon	Chabad_rabbi	11	0.011
chaplin	Parisara	Thaye	SUNDOWNS	11	0.011
chaplin	Parisara	Patrice_Luzi	Guttierrez	10	0.01
chaplin	Parisara	Patrice_Luzi	Jenna_Werdell	19	0.019
chaplin	Parisara	Dan_Miracola	Thaye	23	0.023
chaplin	Parisara	SUNDOWNS	Dan_Miracola	9	0.009
chaplin	Parisara	Trygve_Olson_cartoon	Patrice_Luzi	11	0.011
chaplin	Parisara	Patrice_Luzi	Thaye	20	0.02
chaplin	Parisara	Jenna_Werdell	Patrice_Luzi	13	0.013
chaplin	Parisara	Trygve_Olson_cartoon	Guttierrez	14	0.014
chaplin	Parisara	Thaye	Dan_Miracola	12	0.012
chaplin	Parisara	Jenna_Werdell	Dan_Miracola	3	0.003
chaplin	Parisara	Jenna_Werdell	Trygve_Olson_cartoon	5	0.005
chaplin	Parisara	Guttierrez	Thaye	5	0.005
chaplin	Parisara	Patrice_Luzi	Chabad_rabbi	1	0.001
chaplin	Parisara	Dan_Miracola	Trygve_Olson_cartoon	4	0.004
chaplin	Parisara	Dan_Miracola	Patrice_Luzi	1	0.001
chaplin	Parisara	Patrice_Luzi	SUNDOWNS	4	0.004
chaplin	Parisara	Chabad_rabbi	SUNDOWNS	3	0.003
chaplin	Parisara	Thaye	Jenna_Werdell	12	0.012
chaplin	Parisara	Thaye	Trygve_Olson_cartoon	5	0.005
chaplin	Parisara	Trygve_Olson_cartoon	Jenna_Werdell	10	0.01
chaplin	Parisara	Thaye	Chabad_rabbi	9	0.009
chaplin	Parisara	Trygve_Olson_cartoon	Dan_Miracola	4	0.004
chaplin	Parisara	Patrice_Luzi	Trygve_Olson_cartoon	6	0.006
chaplin	Parisara	Guttierrez	Patrice_Luzi	6	0.006
chaplin	Parisara	Guttierrez	Jenna_Werdell	3	0.003
chaplin	Parisara	Guttierrez	Dan_Miracola	1	0.001
chaplin	Parisara	SUNDOWNS	Trygve_Olson_cartoon	2	0.002
chaplin	Parisara	Thaye	Guttierrez	1	0.001
chaplin	Parisara	Guttierrez	Chabad_rabbi	3	0.003
chaplin	Parisara	Dan_Miracola	Jenna_Werdell	4	0.004
chaplin	Parisara	Jenna_Werdell	Chabad_rabbi	1	0.001
chaplin	Parisara	SUNDOWNS	Patrice_Luzi	1	0.001
chaplin	Parisara	NA	NA	394	0.394
