B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	124	0.124
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	55	0.055
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	250	0.25
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	67	0.067
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	58	0.058
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	41	0.041
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	37	0.037
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	49	0.049
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	319	0.319
Abounding_Grace	chaplin	Illana	Jenna_Werdell	61	0.061
Abounding_Grace	chaplin	Illana	SUNDOWNS	64	0.064
Abounding_Grace	chaplin	Illana	Chabad_rabbi	225	0.225
Abounding_Grace	chaplin	Illana	Patrice_Luzi	71	0.071
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	75	0.075
Abounding_Grace	chaplin	Illana	Guttierrez	61	0.061
Abounding_Grace	chaplin	Illana	Thaye	77	0.077
Abounding_Grace	chaplin	Illana	Dan_Miracola	47	0.047
Abounding_Grace	chaplin	NA	NA	319	0.319
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	Thaye	13	0.013
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Dan_Miracola	18	0.018
chaplin	Trygve_Olson_cartoon	Chabad_rabbi	Trygve_Olson_cartoon	154	0.154
chaplin	Trygve_Olson_cartoon	Patrice_Luzi	Thaye	7	0.007
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Guttierrez	26	0.026
chaplin	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	71	0.071
chaplin	Trygve_Olson_cartoon	Guttierrez	SUNDOWNS	26	0.026
chaplin	Trygve_Olson_cartoon	Thaye	Dan_Miracola	28	0.028
chaplin	Trygve_Olson_cartoon	Dan_Miracola	Guttierrez	6	0.006
chaplin	Trygve_Olson_cartoon	Thaye	Patrice_Luzi	9	0.009
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Thaye	12	0.012
chaplin	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	35	0.035
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	Patrice_Luzi	17	0.017
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	7	0.007
chaplin	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	15	0.015
chaplin	Trygve_Olson_cartoon	Thaye	Chabad_rabbi	18	0.018
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	12	0.012
chaplin	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	23	0.023
chaplin	Trygve_Olson_cartoon	Dan_Miracola	Thaye	14	0.014
chaplin	Trygve_Olson_cartoon	Patrice_Luzi	Jenna_Werdell	36	0.036
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Guttierrez	23	0.023
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	3	0.003
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	Chabad_rabbi	4	0.004
chaplin	Trygve_Olson_cartoon	Dan_Miracola	SUNDOWNS	7	0.007
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	9	0.009
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	Guttierrez	7	0.007
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	11	0.011
chaplin	Trygve_Olson_cartoon	Thaye	Jenna_Werdell	8	0.008
chaplin	Trygve_Olson_cartoon	Patrice_Luzi	Guttierrez	5	0.005
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	7	0.007
chaplin	Trygve_Olson_cartoon	Thaye	SUNDOWNS	8	0.008
chaplin	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	6	0.006
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	SUNDOWNS	10	0.01
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Patrice_Luzi	2	0.002
chaplin	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	10	0.01
chaplin	Trygve_Olson_cartoon	Dan_Miracola	Patrice_Luzi	2	0.002
chaplin	Trygve_Olson_cartoon	SUNDOWNS	Jenna_Werdell	2	0.002
chaplin	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	7	0.007
chaplin	Trygve_Olson_cartoon	Dan_Miracola	Chabad_rabbi	3	0.003
chaplin	Trygve_Olson_cartoon	NA	NA	319	0.319
