B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	131	0.131
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	56	0.056
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	100	0.1
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	38	0.038
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	40	0.04
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	22	0.022
huger_strike	BÝA_Istanbul	NA	NA	613	0.613
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	95	0.095
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	65	0.065
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	83	0.083
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	49	0.049
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	59	0.059
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	8	0.008
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	28	0.028
huger_strike	Kilusang_Mayo_Uno	NA	NA	613	0.613
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	Truckers_Protest	49	0.049
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	13	0.013
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	21	0.021
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	27	0.027
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	spincasting	18	0.018
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	19	0.019
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	12	0.012
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	7	0.007
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	12	0.012
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	losers_Hostettler_Santorum	24	0.024
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	17	0.017
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	Elese_Daniel	7	0.007
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	Elese_Daniel	30	0.03
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	19	0.019
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	1	0.001
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	14	0.014
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	spincasting	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	spincasting	7	0.007
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	13	0.013
BÝA_Istanbul	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	6	0.006
BÝA_Istanbul	Kilusang_Mayo_Uno	Elese_Daniel	Lisa_Hurunui	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	6	0.006
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	3	0.003
BÝA_Istanbul	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	5	0.005
BÝA_Istanbul	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	metallic_leggings	3	0.003
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Lisa_Hurunui	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	metallic_leggings	8	0.008
BÝA_Istanbul	Kilusang_Mayo_Uno	Dortmunder_Gold	Lisa_Hurunui	1	0.001
BÝA_Istanbul	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	7	0.007
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	losers_Hostettler_Santorum	6	0.006
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Elese_Daniel	6	0.006
BÝA_Istanbul	Kilusang_Mayo_Uno	Truckers_Protest	Lisa_Hurunui	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	spincasting	2	0.002
BÝA_Istanbul	Kilusang_Mayo_Uno	Lisa_Hurunui	metallic_leggings	1	0.001
BÝA_Istanbul	Kilusang_Mayo_Uno	NA	NA	613	0.613
