B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	36	0.036
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	92	0.092
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	52	0.052
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	85	0.085
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	83	0.083
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	130	0.13
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	85	0.085
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	33	0.033
huger_strike	Polanco_hyperextended	NA	NA	404	0.404
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	65	0.065
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	192	0.192
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	193	0.193
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	44	0.044
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	68	0.068
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	34	0.034
huger_strike	BÝA_Istanbul	NA	NA	404	0.404
BÝA_Istanbul	Polanco_hyperextended	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	Truckers_Protest	38	0.038
BÝA_Istanbul	Polanco_hyperextended	Lisa_Hurunui	Truckers_Protest	37	0.037
BÝA_Istanbul	Polanco_hyperextended	Lisa_Hurunui	losers_Hostettler_Santorum	11	0.011
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	Elese_Daniel	20	0.02
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	losers_Hostettler_Santorum	17	0.017
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	spincasting	10	0.01
BÝA_Istanbul	Polanco_hyperextended	Lisa_Hurunui	metallic_leggings	9	0.009
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	spincasting	13	0.013
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	metallic_leggings	66	0.066
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	Elese_Daniel	55	0.055
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	Lisa_Hurunui	10	0.01
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	11	0.011
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	SCOR.PA_Quote_Profile_Research	7	0.007
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	metallic_leggings	32	0.032
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	Lisa_Hurunui	55	0.055
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	15	0.015
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	spincasting	4	0.004
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	4	0.004
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	metallic_leggings	11	0.011
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	spincasting	54	0.054
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	Dortmunder_Gold	4	0.004
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	Elese_Daniel	3	0.003
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	Dortmunder_Gold	5	0.005
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	Dortmunder_Gold	13	0.013
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	9	0.009
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	losers_Hostettler_Santorum	13	0.013
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	metallic_leggings	9	0.009
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Truckers_Protest	4	0.004
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	Truckers_Protest	7	0.007
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	11	0.011
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	Lisa_Hurunui	4	0.004
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	Truckers_Protest	6	0.006
BÝA_Istanbul	Polanco_hyperextended	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
BÝA_Istanbul	Polanco_hyperextended	Truckers_Protest	SCOR.PA_Quote_Profile_Research	6	0.006
BÝA_Istanbul	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Elese_Daniel	7	0.007
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	metallic_leggings	3	0.003
BÝA_Istanbul	Polanco_hyperextended	losers_Hostettler_Santorum	spincasting	2	0.002
BÝA_Istanbul	Polanco_hyperextended	Dortmunder_Gold	Lisa_Hurunui	1	0.001
BÝA_Istanbul	Polanco_hyperextended	NA	NA	404	0.404
