B_dom	B_cod	A_dom	A_cod	count	probability
BÝA_Istanbul	SUTA	Truckers_Protest	losers_Hostettler_Santorum	20	0.02
BÝA_Istanbul	SUTA	Truckers_Protest	spincasting	24	0.024
BÝA_Istanbul	SUTA	Lisa_Hurunui	losers_Hostettler_Santorum	8	0.008
BÝA_Istanbul	SUTA	Dortmunder_Gold	Lisa_Hurunui	2	0.002
BÝA_Istanbul	SUTA	Dortmunder_Gold	Elese_Daniel	22	0.022
BÝA_Istanbul	SUTA	Elese_Daniel	Truckers_Protest	14	0.014
BÝA_Istanbul	SUTA	Elese_Daniel	SCOR.PA_Quote_Profile_Research	4	0.004
BÝA_Istanbul	SUTA	losers_Hostettler_Santorum	Truckers_Protest	9	0.009
BÝA_Istanbul	SUTA	Dortmunder_Gold	losers_Hostettler_Santorum	14	0.014
BÝA_Istanbul	SUTA	Truckers_Protest	SCOR.PA_Quote_Profile_Research	18	0.018
BÝA_Istanbul	SUTA	Lisa_Hurunui	spincasting	3	0.003
BÝA_Istanbul	SUTA	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	5	0.005
BÝA_Istanbul	SUTA	Lisa_Hurunui	Truckers_Protest	19	0.019
BÝA_Istanbul	SUTA	Lisa_Hurunui	Elese_Daniel	6	0.006
BÝA_Istanbul	SUTA	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	26	0.026
BÝA_Istanbul	SUTA	SCOR.PA_Quote_Profile_Research	Truckers_Protest	10	0.01
BÝA_Istanbul	SUTA	Truckers_Protest	Lisa_Hurunui	16	0.016
BÝA_Istanbul	SUTA	Dortmunder_Gold	Truckers_Protest	31	0.031
BÝA_Istanbul	SUTA	Truckers_Protest	Elese_Daniel	22	0.022
BÝA_Istanbul	SUTA	losers_Hostettler_Santorum	spincasting	4	0.004
BÝA_Istanbul	SUTA	Elese_Daniel	spincasting	5	0.005
BÝA_Istanbul	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
BÝA_Istanbul	SUTA	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	3	0.003
BÝA_Istanbul	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	6	0.006
BÝA_Istanbul	SUTA	Dortmunder_Gold	spincasting	12	0.012
BÝA_Istanbul	SUTA	losers_Hostettler_Santorum	Lisa_Hurunui	7	0.007
BÝA_Istanbul	SUTA	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	5	0.005
BÝA_Istanbul	SUTA	Elese_Daniel	Lisa_Hurunui	3	0.003
BÝA_Istanbul	SUTA	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
BÝA_Istanbul	SUTA	losers_Hostettler_Santorum	Elese_Daniel	3	0.003
BÝA_Istanbul	SUTA	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
BÝA_Istanbul	SUTA	NA	NA	662	0.662
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	50	0.05
huger_strike	SUTA	Storm_Launcher	spincasting	50	0.05
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	31	0.031
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	66	0.066
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	83	0.083
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	58	0.058
huger_strike	SUTA	NA	NA	662	0.662
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	100	0.1
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	41	0.041
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	107	0.107
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	28	0.028
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	28	0.028
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	34	0.034
huger_strike	BÝA_Istanbul	NA	NA	662	0.662
