B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	104	0.104
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	114	0.114
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	66	0.066
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	55	0.055
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	37	0.037
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	20	0.02
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	14	0.014
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	12	0.012
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	578	0.578
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	126	0.126
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	34	0.034
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	43	0.043
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	51	0.051
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	131	0.131
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	37	0.037
huger_strike	BÝA_Istanbul	NA	NA	578	0.578
BÝA_Istanbul	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	28	0.028
BÝA_Istanbul	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	Truckers_Protest	46	0.046
BÝA_Istanbul	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Truckers_Protest	13	0.013
BÝA_Istanbul	Stock_Exchange_PAMP_Pampa	Elese_Daniel	metallic_leggings	5	0.005
