B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	65	0.065
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	29	0.029
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	45	0.045
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	99	0.099
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	6	0.006
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	95	0.095
huger_strike	Syed_Ameer	NA	NA	661	0.661
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	35	0.035
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	25	0.025
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	21	0.021
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	65	0.065
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	62	0.062
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	131	0.131
huger_strike	BÝA_Istanbul	NA	NA	661	0.661
BÝA_Istanbul	Syed_Ameer	losers_Hostettler_Santorum	Truckers_Protest	20	0.02
BÝA_Istanbul	Syed_Ameer	Elese_Daniel	Lisa_Hurunui	7	0.007
BÝA_Istanbul	Syed_Ameer	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	2	0.002
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	losers_Hostettler_Santorum	12	0.012
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	spincasting	2	0.002
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	Elese_Daniel	18	0.018
BÝA_Istanbul	Syed_Ameer	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	9	0.009
BÝA_Istanbul	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Elese_Daniel	22	0.022
BÝA_Istanbul	Syed_Ameer	Truckers_Protest	Elese_Daniel	39	0.039
BÝA_Istanbul	Syed_Ameer	Truckers_Protest	losers_Hostettler_Santorum	59	0.059
BÝA_Istanbul	Syed_Ameer	Truckers_Protest	SCOR.PA_Quote_Profile_Research	25	0.025
BÝA_Istanbul	Syed_Ameer	losers_Hostettler_Santorum	Elese_Daniel	4	0.004
BÝA_Istanbul	Syed_Ameer	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
BÝA_Istanbul	Syed_Ameer	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	20	0.02
BÝA_Istanbul	Syed_Ameer	Lisa_Hurunui	Elese_Daniel	12	0.012
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	Truckers_Protest	19	0.019
BÝA_Istanbul	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Truckers_Protest	15	0.015
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	Lisa_Hurunui	10	0.01
BÝA_Istanbul	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	3	0.003
BÝA_Istanbul	Syed_Ameer	Elese_Daniel	Truckers_Protest	9	0.009
BÝA_Istanbul	Syed_Ameer	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	4	0.004
BÝA_Istanbul	Syed_Ameer	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
BÝA_Istanbul	Syed_Ameer	Truckers_Protest	Lisa_Hurunui	7	0.007
BÝA_Istanbul	Syed_Ameer	Elese_Daniel	SCOR.PA_Quote_Profile_Research	5	0.005
BÝA_Istanbul	Syed_Ameer	Lisa_Hurunui	losers_Hostettler_Santorum	5	0.005
BÝA_Istanbul	Syed_Ameer	Lisa_Hurunui	Truckers_Protest	2	0.002
BÝA_Istanbul	Syed_Ameer	Truckers_Protest	spincasting	1	0.001
BÝA_Istanbul	Syed_Ameer	losers_Hostettler_Santorum	Lisa_Hurunui	2	0.002
BÝA_Istanbul	Syed_Ameer	Elese_Daniel	spincasting	1	0.001
BÝA_Istanbul	Syed_Ameer	NA	NA	661	0.661
