B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	25	0.025
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	96	0.096
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	30	0.03
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	80	0.08
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	44	0.044
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	31	0.031
huger_strike	BÝA_Istanbul	NA	NA	694	0.694
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	72	0.072
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	59	0.059
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	losers_Hostettler_Santorum	18	0.018
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Elese_Daniel	8	0.008
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	8	0.008
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	61	0.061
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	65	0.065
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	15	0.015
huger_strike	Chhatrapati_Shivaji_Maharaj	NA	NA	694	0.694
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	metallic_leggings	losers_Hostettler_Santorum	11	0.011
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Dortmunder_Gold	losers_Hostettler_Santorum	6	0.006
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Dortmunder_Gold	Truckers_Protest	27	0.027
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	metallic_leggings	Elese_Daniel	9	0.009
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	metallic_leggings	Truckers_Protest	17	0.017
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	losers_Hostettler_Santorum	Elese_Daniel	2	0.002
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	losers_Hostettler_Santorum	Dortmunder_Gold	9	0.009
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Elese_Daniel	Truckers_Protest	2	0.002
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	5	0.005
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	28	0.028
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	losers_Hostettler_Santorum	Truckers_Protest	4	0.004
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	15	0.015
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	spincasting	SCOR.PA_Quote_Profile_Research	5	0.005
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	spincasting	Lisa_Hurunui	6	0.006
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	Lisa_Hurunui	Truckers_Protest	7	0.007
Chhatrapati_Shivaji_Maharaj	BÝA_Istanbul	spincasting	Truckers_Protest	28	0.028
