B_dom	B_cod	A_dom	A_cod	count	probability
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	17	0.017
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	13	0.013
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	SCOR.PA_Quote_Profile_Research	13	0.013
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	Elese_Daniel	8	0.008
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	16	0.016
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	spincasting	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	metallic_leggings	Truckers_Protest	24	0.024
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	4	0.004
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	4	0.004
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Elese_Daniel	metallic_leggings	3	0.003
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	Elese_Daniel	18	0.018
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	Truckers_Protest	19	0.019
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	metallic_leggings	Elese_Daniel	16	0.016
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	4	0.004
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	8	0.008
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	Truckers_Protest	26	0.026
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	losers_Hostettler_Santorum	16	0.016
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	12	0.012
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	losers_Hostettler_Santorum	8	0.008
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	9	0.009
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	metallic_leggings	9	0.009
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	spincasting	3	0.003
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	metallic_leggings	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	metallic_leggings	4	0.004
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	3	0.003
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Lisa_Hurunui	losers_Hostettler_Santorum	3	0.003
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	spincasting	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Lisa_Hurunui	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	Lisa_Hurunui	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	metallic_leggings	spincasting	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Elese_Daniel	2	0.002
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	metallic_leggings	SCOR.PA_Quote_Profile_Research	5	0.005
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	metallic_leggings	losers_Hostettler_Santorum	9	0.009
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	spincasting	Lisa_Hurunui	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	Dortmunder_Gold	Lisa_Hurunui	1	0.001
Chhatrapati_Shivaji_Maharaj	Kilusang_Mayo_Uno	NA	NA	682	0.682
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	14	0.014
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	64	0.064
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	53	0.053
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	81	0.081
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	55	0.055
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	12	0.012
