B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	39	0.039
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	33	0.033
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	33	0.033
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	86	0.086
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	59	0.059
huger_strike	SUTA	Storm_Launcher	spincasting	19	0.019
huger_strike	SUTA	NA	NA	731	0.731
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	48	0.048
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	7	0.007
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	54	0.054
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	48	0.048
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	losers_Hostettler_Santorum	22	0.022
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	64	0.064
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	11	0.011
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Elese_Daniel	15	0.015
huger_strike	Chhatrapati_Shivaji_Maharaj	NA	NA	731	0.731
Chhatrapati_Shivaji_Maharaj	SUTA	spincasting	SCOR.PA_Quote_Profile_Research	7	0.007
Chhatrapati_Shivaji_Maharaj	SUTA	Truckers_Protest	Lisa_Hurunui	3	0.003
Chhatrapati_Shivaji_Maharaj	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	6	0.006
Chhatrapati_Shivaji_Maharaj	SUTA	Dortmunder_Gold	Truckers_Protest	5	0.005
Chhatrapati_Shivaji_Maharaj	SUTA	losers_Hostettler_Santorum	Lisa_Hurunui	4	0.004
Chhatrapati_Shivaji_Maharaj	SUTA	Dortmunder_Gold	Elese_Daniel	13	0.013
Chhatrapati_Shivaji_Maharaj	SUTA	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	5	0.005
Chhatrapati_Shivaji_Maharaj	SUTA	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	14	0.014
Chhatrapati_Shivaji_Maharaj	SUTA	spincasting	Truckers_Protest	22	0.022
Chhatrapati_Shivaji_Maharaj	SUTA	losers_Hostettler_Santorum	Truckers_Protest	8	0.008
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	Truckers_Protest	18	0.018
Chhatrapati_Shivaji_Maharaj	SUTA	SCOR.PA_Quote_Profile_Research	Truckers_Protest	24	0.024
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	losers_Hostettler_Santorum	11	0.011
Chhatrapati_Shivaji_Maharaj	SUTA	SCOR.PA_Quote_Profile_Research	spincasting	6	0.006
Chhatrapati_Shivaji_Maharaj	SUTA	Lisa_Hurunui	Truckers_Protest	5	0.005
Chhatrapati_Shivaji_Maharaj	SUTA	Dortmunder_Gold	losers_Hostettler_Santorum	6	0.006
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	Elese_Daniel	17	0.017
Chhatrapati_Shivaji_Maharaj	SUTA	losers_Hostettler_Santorum	spincasting	1	0.001
Chhatrapati_Shivaji_Maharaj	SUTA	Dortmunder_Gold	spincasting	8	0.008
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	Lisa_Hurunui	8	0.008
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	spincasting	1	0.001
Chhatrapati_Shivaji_Maharaj	SUTA	metallic_leggings	SCOR.PA_Quote_Profile_Research	9	0.009
Chhatrapati_Shivaji_Maharaj	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	9	0.009
