B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	86	0.086
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	24	0.024
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	98	0.098
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	39	0.039
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	39	0.039
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	9	0.009
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	10	0.01
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	15	0.015
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	680	0.68
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	76	0.076
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	54	0.054
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	56	0.056
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	55	0.055
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	19	0.019
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Elese_Daniel	16	0.016
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	losers_Hostettler_Santorum	35	0.035
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	9	0.009
huger_strike	Chhatrapati_Shivaji_Maharaj	NA	NA	680	0.68
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	SCOR.PA_Quote_Profile_Research	16	0.016
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	Elese_Daniel	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	Truckers_Protest	39	0.039
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	Truckers_Protest	18	0.018
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	metallic_leggings	15	0.015
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	11	0.011
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	Dortmunder_Gold	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Elese_Daniel	spincasting	2	0.002
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	Truckers_Protest	7	0.007
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Truckers_Protest	12	0.012
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	metallic_leggings	7	0.007
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Elese_Daniel	metallic_leggings	6	0.006
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	29	0.029
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Elese_Daniel	SCOR.PA_Quote_Profile_Research	7	0.007
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	losers_Hostettler_Santorum	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	losers_Hostettler_Santorum	6	0.006
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	metallic_leggings	6	0.006
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	6	0.006
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	Truckers_Protest	10	0.01
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	Lisa_Hurunui	11	0.011
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	Lisa_Hurunui	4	0.004
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	Elese_Daniel	8	0.008
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Elese_Daniel	6	0.006
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	SCOR.PA_Quote_Profile_Research	13	0.013
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	metallic_leggings	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	4	0.004
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	12	0.012
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Truckers_Protest	11	0.011
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	spincasting	5	0.005
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	Dortmunder_Gold	4	0.004
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	Elese_Daniel	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	metallic_leggings	Elese_Daniel	4	0.004
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Lisa_Hurunui	7	0.007
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	metallic_leggings	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Truckers_Protest	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	spincasting	losers_Hostettler_Santorum	2	0.002
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Truckers_Protest	SCOR.PA_Quote_Profile_Research	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Truckers_Protest	metallic_leggings	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Lisa_Hurunui	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	spincasting	2	0.002
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	Lisa_Hurunui	3	0.003
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Dortmunder_Gold	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Truckers_Protest	losers_Hostettler_Santorum	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	spincasting	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	Dortmunder_Gold	losers_Hostettler_Santorum	1	0.001
Chhatrapati_Shivaji_Maharaj	Stock_Exchange_PAMP_Pampa	NA	NA	680	0.68
