B_dom	B_cod	A_dom	A_cod	count	probability
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	SCOR.PA_Quote_Profile_Research	11	0.011
Kilusang_Mayo_Uno	BÝA_Istanbul	Truckers_Protest	Lisa_Hurunui	22	0.022
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	Elese_Daniel	12	0.012
Kilusang_Mayo_Uno	BÝA_Istanbul	losers_Hostettler_Santorum	Lisa_Hurunui	6	0.006
Kilusang_Mayo_Uno	BÝA_Istanbul	losers_Hostettler_Santorum	Dortmunder_Gold	25	0.025
Kilusang_Mayo_Uno	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	13	0.013
Kilusang_Mayo_Uno	BÝA_Istanbul	losers_Hostettler_Santorum	Truckers_Protest	28	0.028
Kilusang_Mayo_Uno	BÝA_Istanbul	Elese_Daniel	Truckers_Protest	30	0.03
Kilusang_Mayo_Uno	BÝA_Istanbul	Elese_Daniel	Dortmunder_Gold	26	0.026
Kilusang_Mayo_Uno	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	46	0.046
Kilusang_Mayo_Uno	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Truckers_Protest	29	0.029
Kilusang_Mayo_Uno	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	4	0.004
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	Truckers_Protest	23	0.023
Kilusang_Mayo_Uno	BÝA_Istanbul	losers_Hostettler_Santorum	Elese_Daniel	6	0.006
Kilusang_Mayo_Uno	BÝA_Istanbul	Elese_Daniel	SCOR.PA_Quote_Profile_Research	7	0.007
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	Truckers_Protest	22	0.022
Kilusang_Mayo_Uno	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Elese_Daniel	9	0.009
Kilusang_Mayo_Uno	BÝA_Istanbul	Truckers_Protest	losers_Hostettler_Santorum	6	0.006
Kilusang_Mayo_Uno	BÝA_Istanbul	Truckers_Protest	Elese_Daniel	11	0.011
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	Dortmunder_Gold	7	0.007
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	Elese_Daniel	1	0.001
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	Dortmunder_Gold	9	0.009
Kilusang_Mayo_Uno	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	8	0.008
Kilusang_Mayo_Uno	BÝA_Istanbul	Lisa_Hurunui	Truckers_Protest	5	0.005
Kilusang_Mayo_Uno	BÝA_Istanbul	Truckers_Protest	SCOR.PA_Quote_Profile_Research	14	0.014
Kilusang_Mayo_Uno	BÝA_Istanbul	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
Kilusang_Mayo_Uno	BÝA_Istanbul	Elese_Daniel	Lisa_Hurunui	9	0.009
Kilusang_Mayo_Uno	BÝA_Istanbul	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	2	0.002
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	Lisa_Hurunui	1	0.001
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	Lisa_Hurunui	1	0.001
Kilusang_Mayo_Uno	BÝA_Istanbul	spincasting	losers_Hostettler_Santorum	1	0.001
Kilusang_Mayo_Uno	BÝA_Istanbul	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	11	0.011
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	losers_Hostettler_Santorum	3	0.003
Kilusang_Mayo_Uno	BÝA_Istanbul	Lisa_Hurunui	Elese_Daniel	1	0.001
Kilusang_Mayo_Uno	BÝA_Istanbul	metallic_leggings	SCOR.PA_Quote_Profile_Research	2	0.002
Kilusang_Mayo_Uno	BÝA_Istanbul	NA	NA	586	0.586
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	47	0.047
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	43	0.043
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	40	0.04
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	126	0.126
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	137	0.137
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	21	0.021
huger_strike	BÝA_Istanbul	NA	NA	586	0.586
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	56	0.056
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	99	0.099
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	76	0.076
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	63	0.063
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	75	0.075
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	37	0.037
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	8	0.008
huger_strike	Kilusang_Mayo_Uno	NA	NA	586	0.586
