B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	50	0.05
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	14	0.014
huger_strike	Pandyan	Storm_Launcher	spincasting	78	0.078
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	35	0.035
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	62	0.062
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	33	0.033
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	9	0.009
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	33	0.033
huger_strike	Pandyan	NA	NA	686	0.686
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	46	0.046
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	34	0.034
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	105	0.105
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	46	0.046
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	56	0.056
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	19	0.019
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	8	0.008
huger_strike	Kilusang_Mayo_Uno	NA	NA	686	0.686
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	16	0.016
Kilusang_Mayo_Uno	Pandyan	spincasting	Truckers_Protest	2	0.002
Kilusang_Mayo_Uno	Pandyan	spincasting	SCOR.PA_Quote_Profile_Research	14	0.014
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	spincasting	26	0.026
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	spincasting	20	0.02
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	metallic_leggings	16	0.016
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	metallic_leggings	6	0.006
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	spincasting	20	0.02
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	Lisa_Hurunui	15	0.015
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	losers_Hostettler_Santorum	13	0.013
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	SCOR.PA_Quote_Profile_Research	11	0.011
Kilusang_Mayo_Uno	Pandyan	spincasting	losers_Hostettler_Santorum	3	0.003
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	1	0.001
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	Elese_Daniel	1	0.001
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	Dortmunder_Gold	3	0.003
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	losers_Hostettler_Santorum	4	0.004
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	5	0.005
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	Truckers_Protest	5	0.005
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	metallic_leggings	7	0.007
Kilusang_Mayo_Uno	Pandyan	spincasting	Lisa_Hurunui	5	0.005
Kilusang_Mayo_Uno	Pandyan	metallic_leggings	spincasting	4	0.004
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	Lisa_Hurunui	26	0.026
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	SCOR.PA_Quote_Profile_Research	8	0.008
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	9	0.009
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	Lisa_Hurunui	7	0.007
Kilusang_Mayo_Uno	Pandyan	Lisa_Hurunui	Elese_Daniel	5	0.005
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	Elese_Daniel	12	0.012
Kilusang_Mayo_Uno	Pandyan	metallic_leggings	losers_Hostettler_Santorum	4	0.004
Kilusang_Mayo_Uno	Pandyan	metallic_leggings	Elese_Daniel	4	0.004
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	spincasting	7	0.007
Kilusang_Mayo_Uno	Pandyan	spincasting	metallic_leggings	3	0.003
Kilusang_Mayo_Uno	Pandyan	Truckers_Protest	Dortmunder_Gold	4	0.004
Kilusang_Mayo_Uno	Pandyan	losers_Hostettler_Santorum	Elese_Daniel	4	0.004
Kilusang_Mayo_Uno	Pandyan	Lisa_Hurunui	spincasting	1	0.001
Kilusang_Mayo_Uno	Pandyan	SCOR.PA_Quote_Profile_Research	Truckers_Protest	3	0.003
Kilusang_Mayo_Uno	Pandyan	Elese_Daniel	Truckers_Protest	1	0.001
Kilusang_Mayo_Uno	Pandyan	metallic_leggings	Truckers_Protest	3	0.003
