B_dom	B_cod	A_dom	A_cod	count	probability
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	Truckers_Protest	36	0.036
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	SCOR.PA_Quote_Profile_Research	20	0.02
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Truckers_Protest	17	0.017
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Elese_Daniel	11	0.011
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Lisa_Hurunui	15	0.015
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	metallic_leggings	15	0.015
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	spincasting	4	0.004
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	17	0.017
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	metallic_leggings	10	0.01
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	metallic_leggings	Truckers_Protest	11	0.011
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	spincasting	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	SCOR.PA_Quote_Profile_Research	35	0.035
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Lisa_Hurunui	6	0.006
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Lisa_Hurunui	28	0.028
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	SCOR.PA_Quote_Profile_Research	30	0.03
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	10	0.01
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	losers_Hostettler_Santorum	8	0.008
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Truckers_Protest	21	0.021
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	metallic_leggings	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	metallic_leggings	Elese_Daniel	4	0.004
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Elese_Daniel	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	spincasting	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	metallic_leggings	SCOR.PA_Quote_Profile_Research	12	0.012
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Truckers_Protest	21	0.021
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Dortmunder_Gold	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	Elese_Daniel	4	0.004
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	spincasting	10	0.01
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	Truckers_Protest	6	0.006
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	losers_Hostettler_Santorum	3	0.003
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	metallic_leggings	19	0.019
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	Lisa_Hurunui	6	0.006
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	metallic_leggings	Lisa_Hurunui	3	0.003
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Dortmunder_Gold	3	0.003
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	losers_Hostettler_Santorum	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	2	0.002
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	metallic_leggings	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Dortmunder_Gold	3	0.003
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	metallic_leggings	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	metallic_leggings	Dortmunder_Gold	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	spincasting	Dortmunder_Gold	1	0.001
Kilusang_Mayo_Uno	Stock_Exchange_PAMP_Pampa	NA	NA	571	0.571
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	112	0.112
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	119	0.119
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	29	0.029
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	68	0.068
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	51	0.051
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	20	0.02
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	19	0.019
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	11	0.011
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	571	0.571
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	71	0.071
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	48	0.048
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	109	0.109
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	72	0.072
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	85	0.085
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	31	0.031
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	13	0.013
huger_strike	Kilusang_Mayo_Uno	NA	NA	571	0.571
