B_dom	B_cod	A_dom	A_cod	count	probability
Pandyan	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Truckers_Protest	18	0.018
Pandyan	BÝA_Istanbul	losers_Hostettler_Santorum	Dortmunder_Gold	18	0.018
Pandyan	BÝA_Istanbul	metallic_leggings	Truckers_Protest	19	0.019
Pandyan	BÝA_Istanbul	Elese_Daniel	SCOR.PA_Quote_Profile_Research	7	0.007
Pandyan	BÝA_Istanbul	Elese_Daniel	Dortmunder_Gold	9	0.009
Pandyan	BÝA_Istanbul	losers_Hostettler_Santorum	Truckers_Protest	17	0.017
Pandyan	BÝA_Istanbul	metallic_leggings	Elese_Daniel	5	0.005
Pandyan	BÝA_Istanbul	Dortmunder_Gold	Truckers_Protest	4	0.004
Pandyan	BÝA_Istanbul	spincasting	Truckers_Protest	25	0.025
Pandyan	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	6	0.006
Pandyan	BÝA_Istanbul	spincasting	Dortmunder_Gold	10	0.01
Pandyan	BÝA_Istanbul	Truckers_Protest	losers_Hostettler_Santorum	3	0.003
Pandyan	BÝA_Istanbul	metallic_leggings	SCOR.PA_Quote_Profile_Research	4	0.004
Pandyan	BÝA_Istanbul	Elese_Daniel	Lisa_Hurunui	4	0.004
Pandyan	BÝA_Istanbul	spincasting	Lisa_Hurunui	5	0.005
Pandyan	BÝA_Istanbul	Lisa_Hurunui	Dortmunder_Gold	24	0.024
Pandyan	BÝA_Istanbul	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
Pandyan	BÝA_Istanbul	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Pandyan	BÝA_Istanbul	Lisa_Hurunui	Truckers_Protest	18	0.018
Pandyan	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	11	0.011
Pandyan	BÝA_Istanbul	metallic_leggings	Dortmunder_Gold	13	0.013
Pandyan	BÝA_Istanbul	losers_Hostettler_Santorum	Lisa_Hurunui	4	0.004
Pandyan	BÝA_Istanbul	spincasting	losers_Hostettler_Santorum	4	0.004
Pandyan	BÝA_Istanbul	Truckers_Protest	Lisa_Hurunui	7	0.007
Pandyan	BÝA_Istanbul	spincasting	SCOR.PA_Quote_Profile_Research	12	0.012
Pandyan	BÝA_Istanbul	Lisa_Hurunui	losers_Hostettler_Santorum	6	0.006
Pandyan	BÝA_Istanbul	spincasting	Elese_Daniel	11	0.011
Pandyan	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Elese_Daniel	3	0.003
Pandyan	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	6	0.006
Pandyan	BÝA_Istanbul	Elese_Daniel	Truckers_Protest	13	0.013
Pandyan	BÝA_Istanbul	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	4	0.004
Pandyan	BÝA_Istanbul	Dortmunder_Gold	losers_Hostettler_Santorum	1	0.001
Pandyan	BÝA_Istanbul	Dortmunder_Gold	Lisa_Hurunui	2	0.002
Pandyan	BÝA_Istanbul	Truckers_Protest	Elese_Daniel	1	0.001
Pandyan	BÝA_Istanbul	metallic_leggings	losers_Hostettler_Santorum	1	0.001
Pandyan	BÝA_Istanbul	losers_Hostettler_Santorum	Elese_Daniel	1	0.001
Pandyan	BÝA_Istanbul	metallic_leggings	Lisa_Hurunui	2	0.002
Pandyan	BÝA_Istanbul	Truckers_Protest	SCOR.PA_Quote_Profile_Research	4	0.004
Pandyan	BÝA_Istanbul	Lisa_Hurunui	Elese_Daniel	1	0.001
Pandyan	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	1	0.001
Pandyan	BÝA_Istanbul	NA	NA	685	0.685
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	114	0.114
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	91	0.091
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	39	0.039
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	22	0.022
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	30	0.03
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	19	0.019
huger_strike	BÝA_Istanbul	NA	NA	685	0.685
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	39	0.039
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	44	0.044
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	44	0.044
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	36	0.036
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	7	0.007
huger_strike	Pandyan	Storm_Launcher	spincasting	67	0.067
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	21	0.021
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	57	0.057
huger_strike	Pandyan	NA	NA	685	0.685
