B_dom	B_cod	A_dom	A_cod	count	probability
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	metallic_leggings	9	0.009
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	spincasting	14	0.014
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	losers_Hostettler_Santorum	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	metallic_leggings	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	spincasting	15	0.015
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Dortmunder_Gold	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	SCOR.PA_Quote_Profile_Research	12	0.012
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	losers_Hostettler_Santorum	5	0.005
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Elese_Daniel	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	Elese_Daniel	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	11	0.011
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	metallic_leggings	7	0.007
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Dortmunder_Gold	14	0.014
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	SCOR.PA_Quote_Profile_Research	8	0.008
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	12	0.012
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	SCOR.PA_Quote_Profile_Research	6	0.006
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Elese_Daniel	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	Dortmunder_Gold	9	0.009
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	metallic_leggings	10	0.01
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Truckers_Protest	2	0.002
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	spincasting	5	0.005
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	Dortmunder_Gold	10	0.01
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Elese_Daniel	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	losers_Hostettler_Santorum	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	Elese_Daniel	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	spincasting	9	0.009
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	spincasting	6	0.006
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	metallic_leggings	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	losers_Hostettler_Santorum	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Lisa_Hurunui	2	0.002
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	Lisa_Hurunui	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	spincasting	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	Dortmunder_Gold	metallic_leggings	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Dortmunder_Gold	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	Dortmunder_Gold	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	SCOR.PA_Quote_Profile_Research	2	0.002
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	Lisa_Hurunui	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	metallic_leggings	losers_Hostettler_Santorum	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	Dortmunder_Gold	Lisa_Hurunui	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Truckers_Protest	2	0.002
Pandyan	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	metallic_leggings	4	0.004
Pandyan	Chhatrapati_Shivaji_Maharaj	Dortmunder_Gold	spincasting	2	0.002
Pandyan	Chhatrapati_Shivaji_Maharaj	spincasting	Elese_Daniel	3	0.003
Pandyan	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	Lisa_Hurunui	1	0.001
Pandyan	Chhatrapati_Shivaji_Maharaj	NA	NA	759	0.759
