B_dom	B_cod	A_dom	A_cod	count	probability
Pandyan	Polanco_hyperextended	Lisa_Hurunui	Elese_Daniel	38	0.038
Pandyan	Polanco_hyperextended	Elese_Daniel	Truckers_Protest	1	0.001
Pandyan	Polanco_hyperextended	Lisa_Hurunui	losers_Hostettler_Santorum	7	0.007
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	9	0.009
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	4	0.004
Pandyan	Polanco_hyperextended	metallic_leggings	Truckers_Protest	23	0.023
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	metallic_leggings	6	0.006
Pandyan	Polanco_hyperextended	Truckers_Protest	Lisa_Hurunui	4	0.004
Pandyan	Polanco_hyperextended	spincasting	Elese_Daniel	48	0.048
Pandyan	Polanco_hyperextended	Elese_Daniel	Dortmunder_Gold	19	0.019
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	Dortmunder_Gold	13	0.013
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Elese_Daniel	44	0.044
Pandyan	Polanco_hyperextended	Truckers_Protest	Dortmunder_Gold	11	0.011
Pandyan	Polanco_hyperextended	metallic_leggings	Elese_Daniel	12	0.012
Pandyan	Polanco_hyperextended	Elese_Daniel	spincasting	17	0.017
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	spincasting	13	0.013
Pandyan	Polanco_hyperextended	Lisa_Hurunui	Truckers_Protest	24	0.024
Pandyan	Polanco_hyperextended	spincasting	Truckers_Protest	20	0.02
Pandyan	Polanco_hyperextended	spincasting	metallic_leggings	3	0.003
Pandyan	Polanco_hyperextended	spincasting	SCOR.PA_Quote_Profile_Research	19	0.019
Pandyan	Polanco_hyperextended	spincasting	Dortmunder_Gold	4	0.004
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	Truckers_Protest	19	0.019
Pandyan	Polanco_hyperextended	Elese_Daniel	SCOR.PA_Quote_Profile_Research	10	0.01
Pandyan	Polanco_hyperextended	Elese_Daniel	losers_Hostettler_Santorum	7	0.007
Pandyan	Polanco_hyperextended	Truckers_Protest	spincasting	7	0.007
Pandyan	Polanco_hyperextended	metallic_leggings	Dortmunder_Gold	4	0.004
Pandyan	Polanco_hyperextended	Elese_Daniel	metallic_leggings	1	0.001
Pandyan	Polanco_hyperextended	Truckers_Protest	Elese_Daniel	5	0.005
Pandyan	Polanco_hyperextended	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	3	0.003
Pandyan	Polanco_hyperextended	Truckers_Protest	losers_Hostettler_Santorum	5	0.005
Pandyan	Polanco_hyperextended	spincasting	Lisa_Hurunui	4	0.004
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	9	0.009
Pandyan	Polanco_hyperextended	Lisa_Hurunui	Dortmunder_Gold	4	0.004
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
Pandyan	Polanco_hyperextended	Elese_Daniel	Lisa_Hurunui	7	0.007
Pandyan	Polanco_hyperextended	Lisa_Hurunui	metallic_leggings	3	0.003
Pandyan	Polanco_hyperextended	metallic_leggings	SCOR.PA_Quote_Profile_Research	2	0.002
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	Lisa_Hurunui	4	0.004
Pandyan	Polanco_hyperextended	Dortmunder_Gold	metallic_leggings	2	0.002
Pandyan	Polanco_hyperextended	spincasting	losers_Hostettler_Santorum	4	0.004
Pandyan	Polanco_hyperextended	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	10	0.01
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	metallic_leggings	4	0.004
Pandyan	Polanco_hyperextended	Truckers_Protest	metallic_leggings	5	0.005
Pandyan	Polanco_hyperextended	Dortmunder_Gold	Elese_Daniel	7	0.007
Pandyan	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Truckers_Protest	3	0.003
Pandyan	Polanco_hyperextended	Truckers_Protest	SCOR.PA_Quote_Profile_Research	1	0.001
Pandyan	Polanco_hyperextended	Dortmunder_Gold	losers_Hostettler_Santorum	1	0.001
Pandyan	Polanco_hyperextended	metallic_leggings	Lisa_Hurunui	4	0.004
Pandyan	Polanco_hyperextended	metallic_leggings	losers_Hostettler_Santorum	1	0.001
Pandyan	Polanco_hyperextended	Lisa_Hurunui	spincasting	1	0.001
Pandyan	Polanco_hyperextended	NA	NA	519	0.519
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	159	0.159
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	90	0.09
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	34	0.034
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	59	0.059
