B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	40	0.04
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	56	0.056
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	90	0.09
huger_strike	SUTA	Storm_Launcher	spincasting	14	0.014
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	25	0.025
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	32	0.032
huger_strike	SUTA	NA	NA	743	0.743
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	38	0.038
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	19	0.019
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	39	0.039
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	33	0.033
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	7	0.007
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	50	0.05
huger_strike	Pandyan	Storm_Launcher	spincasting	62	0.062
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	9	0.009
huger_strike	Pandyan	NA	NA	743	0.743
Pandyan	SUTA	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	10	0.01
Pandyan	SUTA	Elese_Daniel	SCOR.PA_Quote_Profile_Research	6	0.006
Pandyan	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
Pandyan	SUTA	metallic_leggings	Elese_Daniel	11	0.011
Pandyan	SUTA	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	2	0.002
Pandyan	SUTA	Dortmunder_Gold	Truckers_Protest	2	0.002
Pandyan	SUTA	Lisa_Hurunui	Elese_Daniel	8	0.008
Pandyan	SUTA	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	7	0.007
Pandyan	SUTA	Lisa_Hurunui	Truckers_Protest	21	0.021
Pandyan	SUTA	Elese_Daniel	spincasting	3	0.003
Pandyan	SUTA	metallic_leggings	Truckers_Protest	8	0.008
Pandyan	SUTA	spincasting	Truckers_Protest	24	0.024
Pandyan	SUTA	Truckers_Protest	Lisa_Hurunui	1	0.001
Pandyan	SUTA	losers_Hostettler_Santorum	spincasting	1	0.001
Pandyan	SUTA	losers_Hostettler_Santorum	Truckers_Protest	18	0.018
Pandyan	SUTA	spincasting	losers_Hostettler_Santorum	8	0.008
Pandyan	SUTA	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	6	0.006
Pandyan	SUTA	Lisa_Hurunui	losers_Hostettler_Santorum	11	0.011
Pandyan	SUTA	spincasting	SCOR.PA_Quote_Profile_Research	10	0.01
Pandyan	SUTA	spincasting	Elese_Daniel	15	0.015
Pandyan	SUTA	SCOR.PA_Quote_Profile_Research	Truckers_Protest	12	0.012
Pandyan	SUTA	Elese_Daniel	Truckers_Protest	5	0.005
Pandyan	SUTA	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
Pandyan	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	6	0.006
Pandyan	SUTA	Truckers_Protest	SCOR.PA_Quote_Profile_Research	2	0.002
Pandyan	SUTA	metallic_leggings	Lisa_Hurunui	7	0.007
Pandyan	SUTA	spincasting	Lisa_Hurunui	5	0.005
Pandyan	SUTA	Elese_Daniel	Lisa_Hurunui	2	0.002
Pandyan	SUTA	Lisa_Hurunui	spincasting	3	0.003
Pandyan	SUTA	Truckers_Protest	spincasting	2	0.002
Pandyan	SUTA	Truckers_Protest	Elese_Daniel	4	0.004
Pandyan	SUTA	metallic_leggings	losers_Hostettler_Santorum	3	0.003
Pandyan	SUTA	Dortmunder_Gold	spincasting	2	0.002
Pandyan	SUTA	metallic_leggings	SCOR.PA_Quote_Profile_Research	3	0.003
Pandyan	SUTA	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
Pandyan	SUTA	metallic_leggings	spincasting	1	0.001
Pandyan	SUTA	losers_Hostettler_Santorum	Lisa_Hurunui	4	0.004
Pandyan	SUTA	Dortmunder_Gold	losers_Hostettler_Santorum	1	0.001
Pandyan	SUTA	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
Pandyan	SUTA	NA	NA	743	0.743
