B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	62	0.062
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	64	0.064
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	71	0.071
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	50	0.05
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	12	0.012
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	8	0.008
huger_strike	Syed_Ameer	NA	NA	733	0.733
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	37	0.037
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	44	0.044
huger_strike	Pandyan	Storm_Launcher	spincasting	63	0.063
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	34	0.034
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	42	0.042
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	15	0.015
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	25	0.025
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	7	0.007
huger_strike	Pandyan	NA	NA	733	0.733
Pandyan	Syed_Ameer	losers_Hostettler_Santorum	Elese_Daniel	15	0.015
Pandyan	Syed_Ameer	Elese_Daniel	losers_Hostettler_Santorum	22	0.022
Pandyan	Syed_Ameer	spincasting	losers_Hostettler_Santorum	17	0.017
Pandyan	Syed_Ameer	Elese_Daniel	Truckers_Protest	13	0.013
Pandyan	Syed_Ameer	Lisa_Hurunui	Truckers_Protest	7	0.007
Pandyan	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
Pandyan	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Truckers_Protest	22	0.022
Pandyan	Syed_Ameer	spincasting	SCOR.PA_Quote_Profile_Research	18	0.018
Pandyan	Syed_Ameer	Truckers_Protest	Lisa_Hurunui	2	0.002
Pandyan	Syed_Ameer	Lisa_Hurunui	Elese_Daniel	7	0.007
Pandyan	Syed_Ameer	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	11	0.011
Pandyan	Syed_Ameer	metallic_leggings	Truckers_Protest	9	0.009
Pandyan	Syed_Ameer	spincasting	Lisa_Hurunui	3	0.003
Pandyan	Syed_Ameer	Lisa_Hurunui	losers_Hostettler_Santorum	11	0.011
Pandyan	Syed_Ameer	losers_Hostettler_Santorum	Truckers_Protest	9	0.009
Pandyan	Syed_Ameer	Elese_Daniel	SCOR.PA_Quote_Profile_Research	6	0.006
Pandyan	Syed_Ameer	spincasting	Elese_Daniel	15	0.015
Pandyan	Syed_Ameer	Truckers_Protest	Elese_Daniel	5	0.005
Pandyan	Syed_Ameer	losers_Hostettler_Santorum	Lisa_Hurunui	1	0.001
Pandyan	Syed_Ameer	spincasting	Truckers_Protest	10	0.01
Pandyan	Syed_Ameer	Elese_Daniel	Lisa_Hurunui	3	0.003
Pandyan	Syed_Ameer	Truckers_Protest	losers_Hostettler_Santorum	5	0.005
Pandyan	Syed_Ameer	metallic_leggings	Lisa_Hurunui	2	0.002
Pandyan	Syed_Ameer	metallic_leggings	SCOR.PA_Quote_Profile_Research	5	0.005
Pandyan	Syed_Ameer	Lisa_Hurunui	spincasting	2	0.002
Pandyan	Syed_Ameer	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	7	0.007
Pandyan	Syed_Ameer	metallic_leggings	spincasting	3	0.003
Pandyan	Syed_Ameer	metallic_leggings	losers_Hostettler_Santorum	2	0.002
Pandyan	Syed_Ameer	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	6	0.006
Pandyan	Syed_Ameer	metallic_leggings	Elese_Daniel	4	0.004
Pandyan	Syed_Ameer	Dortmunder_Gold	Elese_Daniel	3	0.003
Pandyan	Syed_Ameer	Dortmunder_Gold	Truckers_Protest	1	0.001
Pandyan	Syed_Ameer	Truckers_Protest	SCOR.PA_Quote_Profile_Research	2	0.002
Pandyan	Syed_Ameer	losers_Hostettler_Santorum	spincasting	1	0.001
Pandyan	Syed_Ameer	Dortmunder_Gold	losers_Hostettler_Santorum	1	0.001
Pandyan	Syed_Ameer	SCOR.PA_Quote_Profile_Research	spincasting	1	0.001
Pandyan	Syed_Ameer	Dortmunder_Gold	Lisa_Hurunui	1	0.001
Pandyan	Syed_Ameer	Truckers_Protest	spincasting	1	0.001
Pandyan	Syed_Ameer	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	1	0.001
Pandyan	Syed_Ameer	NA	NA	733	0.733
