B_dom	B_cod	A_dom	A_cod	count	probability
Polanco_hyperextended	Kilusang_Mayo_Uno	Dortmunder_Gold	Truckers_Protest	30	0.03
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	metallic_leggings	8	0.008
Polanco_hyperextended	Kilusang_Mayo_Uno	Lisa_Hurunui	Elese_Daniel	35	0.035
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	16	0.016
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	Lisa_Hurunui	6	0.006
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	76	0.076
Polanco_hyperextended	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	14	0.014
Polanco_hyperextended	Kilusang_Mayo_Uno	spincasting	metallic_leggings	3	0.003
Polanco_hyperextended	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	47	0.047
Polanco_hyperextended	Kilusang_Mayo_Uno	Dortmunder_Gold	Elese_Daniel	11	0.011
Polanco_hyperextended	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	5	0.005
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	45	0.045
Polanco_hyperextended	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	25	0.025
Polanco_hyperextended	Kilusang_Mayo_Uno	spincasting	losers_Hostettler_Santorum	4	0.004
Polanco_hyperextended	Kilusang_Mayo_Uno	Dortmunder_Gold	Lisa_Hurunui	4	0.004
Polanco_hyperextended	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	10	0.01
Polanco_hyperextended	Kilusang_Mayo_Uno	metallic_leggings	Truckers_Protest	20	0.02
Polanco_hyperextended	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	44	0.044
Polanco_hyperextended	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	23	0.023
Polanco_hyperextended	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	43	0.043
