B_dom	B_cod	A_dom	A_cod	count	probability
Polanco_hyperextended	Pandyan	Truckers_Protest	metallic_leggings	17	0.017
Polanco_hyperextended	Pandyan	Dortmunder_Gold	Elese_Daniel	21	0.021
Polanco_hyperextended	Pandyan	Elese_Daniel	Lisa_Hurunui	34	0.034
Polanco_hyperextended	Pandyan	spincasting	Elese_Daniel	10	0.01
Polanco_hyperextended	Pandyan	Elese_Daniel	spincasting	44	0.044
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	8	0.008
Polanco_hyperextended	Pandyan	Dortmunder_Gold	losers_Hostettler_Santorum	17	0.017
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	Lisa_Hurunui	6	0.006
Polanco_hyperextended	Pandyan	Truckers_Protest	Lisa_Hurunui	15	0.015
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	spincasting	5	0.005
Polanco_hyperextended	Pandyan	Truckers_Protest	spincasting	24	0.024
Polanco_hyperextended	Pandyan	Truckers_Protest	losers_Hostettler_Santorum	24	0.024
Polanco_hyperextended	Pandyan	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	5	0.005
Polanco_hyperextended	Pandyan	Dortmunder_Gold	Truckers_Protest	8	0.008
Polanco_hyperextended	Pandyan	Truckers_Protest	Elese_Daniel	6	0.006
Polanco_hyperextended	Pandyan	Lisa_Hurunui	Elese_Daniel	16	0.016
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	metallic_leggings	4	0.004
Polanco_hyperextended	Pandyan	Truckers_Protest	SCOR.PA_Quote_Profile_Research	3	0.003
Polanco_hyperextended	Pandyan	Elese_Daniel	SCOR.PA_Quote_Profile_Research	39	0.039
Polanco_hyperextended	Pandyan	metallic_leggings	spincasting	3	0.003
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	10	0.01
Polanco_hyperextended	Pandyan	Dortmunder_Gold	Lisa_Hurunui	10	0.01
Polanco_hyperextended	Pandyan	Lisa_Hurunui	Dortmunder_Gold	1	0.001
Polanco_hyperextended	Pandyan	metallic_leggings	Truckers_Protest	12	0.012
Polanco_hyperextended	Pandyan	Lisa_Hurunui	losers_Hostettler_Santorum	4	0.004
Polanco_hyperextended	Pandyan	spincasting	SCOR.PA_Quote_Profile_Research	16	0.016
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	spincasting	21	0.021
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	metallic_leggings	4	0.004
Polanco_hyperextended	Pandyan	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Polanco_hyperextended	Pandyan	metallic_leggings	Lisa_Hurunui	8	0.008
Polanco_hyperextended	Pandyan	metallic_leggings	SCOR.PA_Quote_Profile_Research	7	0.007
Polanco_hyperextended	Pandyan	spincasting	Truckers_Protest	5	0.005
Polanco_hyperextended	Pandyan	metallic_leggings	Elese_Daniel	5	0.005
Polanco_hyperextended	Pandyan	spincasting	losers_Hostettler_Santorum	2	0.002
Polanco_hyperextended	Pandyan	Elese_Daniel	Truckers_Protest	3	0.003
Polanco_hyperextended	Pandyan	Dortmunder_Gold	metallic_leggings	1	0.001
Polanco_hyperextended	Pandyan	Lisa_Hurunui	Truckers_Protest	3	0.003
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	Elese_Daniel	6	0.006
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	5	0.005
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	Elese_Daniel	2	0.002
Polanco_hyperextended	Pandyan	Truckers_Protest	Dortmunder_Gold	3	0.003
Polanco_hyperextended	Pandyan	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	Truckers_Protest	2	0.002
Polanco_hyperextended	Pandyan	Elese_Daniel	metallic_leggings	6	0.006
Polanco_hyperextended	Pandyan	Lisa_Hurunui	metallic_leggings	5	0.005
Polanco_hyperextended	Pandyan	spincasting	Lisa_Hurunui	2	0.002
Polanco_hyperextended	Pandyan	Elese_Daniel	Dortmunder_Gold	5	0.005
Polanco_hyperextended	Pandyan	losers_Hostettler_Santorum	Dortmunder_Gold	2	0.002
Polanco_hyperextended	Pandyan	metallic_leggings	Dortmunder_Gold	1	0.001
Polanco_hyperextended	Pandyan	metallic_leggings	losers_Hostettler_Santorum	3	0.003
Polanco_hyperextended	Pandyan	Lisa_Hurunui	spincasting	1	0.001
Polanco_hyperextended	Pandyan	Dortmunder_Gold	spincasting	2	0.002
Polanco_hyperextended	Pandyan	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	1	0.001
Polanco_hyperextended	Pandyan	NA	NA	522	0.522
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	92	0.092
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	64	0.064
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	134	0.134
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	35	0.035
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	45	0.045
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	31	0.031
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	38	0.038
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	39	0.039
huger_strike	Polanco_hyperextended	NA	NA	522	0.522
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	37	0.037
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	66	0.066
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	80	0.08
huger_strike	Pandyan	Storm_Launcher	spincasting	100	0.1
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	61	0.061
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	88	0.088
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	33	0.033
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	13	0.013
huger_strike	Pandyan	NA	NA	522	0.522
