B_dom	B_cod	A_dom	A_cod	count	probability
Polanco_hyperextended	SUTA	Lisa_Hurunui	Elese_Daniel	43	0.043
Polanco_hyperextended	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	13	0.013
Polanco_hyperextended	SUTA	Elese_Daniel	Truckers_Protest	32	0.032
Polanco_hyperextended	SUTA	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Polanco_hyperextended	SUTA	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	3	0.003
Polanco_hyperextended	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
Polanco_hyperextended	SUTA	Dortmunder_Gold	Truckers_Protest	28	0.028
Polanco_hyperextended	SUTA	losers_Hostettler_Santorum	Truckers_Protest	15	0.015
Polanco_hyperextended	SUTA	Dortmunder_Gold	losers_Hostettler_Santorum	12	0.012
Polanco_hyperextended	SUTA	Elese_Daniel	SCOR.PA_Quote_Profile_Research	53	0.053
Polanco_hyperextended	SUTA	metallic_leggings	Truckers_Protest	37	0.037
Polanco_hyperextended	SUTA	Truckers_Protest	losers_Hostettler_Santorum	26	0.026
Polanco_hyperextended	SUTA	Lisa_Hurunui	Truckers_Protest	16	0.016
Polanco_hyperextended	SUTA	Elese_Daniel	spincasting	17	0.017
Polanco_hyperextended	SUTA	SCOR.PA_Quote_Profile_Research	spincasting	8	0.008
Polanco_hyperextended	SUTA	metallic_leggings	losers_Hostettler_Santorum	6	0.006
Polanco_hyperextended	SUTA	spincasting	SCOR.PA_Quote_Profile_Research	16	0.016
Polanco_hyperextended	SUTA	Truckers_Protest	Elese_Daniel	17	0.017
Polanco_hyperextended	SUTA	Lisa_Hurunui	spincasting	3	0.003
Polanco_hyperextended	SUTA	Dortmunder_Gold	Elese_Daniel	21	0.021
Polanco_hyperextended	SUTA	Truckers_Protest	spincasting	8	0.008
Polanco_hyperextended	SUTA	Lisa_Hurunui	losers_Hostettler_Santorum	10	0.01
Polanco_hyperextended	SUTA	spincasting	Elese_Daniel	22	0.022
Polanco_hyperextended	SUTA	Elese_Daniel	Lisa_Hurunui	28	0.028
Polanco_hyperextended	SUTA	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	5	0.005
Polanco_hyperextended	SUTA	metallic_leggings	SCOR.PA_Quote_Profile_Research	5	0.005
Polanco_hyperextended	SUTA	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	10	0.01
Polanco_hyperextended	SUTA	Truckers_Protest	Lisa_Hurunui	13	0.013
Polanco_hyperextended	SUTA	metallic_leggings	Elese_Daniel	5	0.005
Polanco_hyperextended	SUTA	metallic_leggings	Lisa_Hurunui	6	0.006
Polanco_hyperextended	SUTA	metallic_leggings	spincasting	1	0.001
Polanco_hyperextended	SUTA	Truckers_Protest	SCOR.PA_Quote_Profile_Research	5	0.005
Polanco_hyperextended	SUTA	spincasting	Truckers_Protest	9	0.009
Polanco_hyperextended	SUTA	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
Polanco_hyperextended	SUTA	SCOR.PA_Quote_Profile_Research	Truckers_Protest	8	0.008
Polanco_hyperextended	SUTA	losers_Hostettler_Santorum	Lisa_Hurunui	3	0.003
Polanco_hyperextended	SUTA	losers_Hostettler_Santorum	Elese_Daniel	4	0.004
Polanco_hyperextended	SUTA	Dortmunder_Gold	Lisa_Hurunui	7	0.007
Polanco_hyperextended	SUTA	losers_Hostettler_Santorum	spincasting	1	0.001
Polanco_hyperextended	SUTA	NA	NA	460	0.46
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	125	0.125
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	70	0.07
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	145	0.145
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	100	0.1
huger_strike	SUTA	Storm_Launcher	spincasting	38	0.038
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	62	0.062
huger_strike	SUTA	NA	NA	460	0.46
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	80	0.08
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	47	0.047
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	133	0.133
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	71	0.071
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	33	0.033
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	60	0.06
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	69	0.069
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	47	0.047
huger_strike	Polanco_hyperextended	NA	NA	460	0.46
