B_dom	B_cod	A_dom	A_cod	count	probability
Polanco_hyperextended	Syed_Ameer	metallic_leggings	Truckers_Protest	31	0.031
Polanco_hyperextended	Syed_Ameer	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	40	0.04
Polanco_hyperextended	Syed_Ameer	Elese_Daniel	SCOR.PA_Quote_Profile_Research	51	0.051
Polanco_hyperextended	Syed_Ameer	Dortmunder_Gold	Elese_Daniel	20	0.02
Polanco_hyperextended	Syed_Ameer	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	3	0.003
Polanco_hyperextended	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Elese_Daniel	24	0.024
Polanco_hyperextended	Syed_Ameer	Elese_Daniel	Lisa_Hurunui	31	0.031
Polanco_hyperextended	Syed_Ameer	Dortmunder_Gold	Truckers_Protest	25	0.025
Polanco_hyperextended	Syed_Ameer	Truckers_Protest	losers_Hostettler_Santorum	83	0.083
Polanco_hyperextended	Syed_Ameer	Elese_Daniel	Truckers_Protest	37	0.037
Polanco_hyperextended	Syed_Ameer	Elese_Daniel	losers_Hostettler_Santorum	14	0.014
Polanco_hyperextended	Syed_Ameer	Truckers_Protest	spincasting	8	0.008
Polanco_hyperextended	Syed_Ameer	Lisa_Hurunui	losers_Hostettler_Santorum	7	0.007
Polanco_hyperextended	Syed_Ameer	losers_Hostettler_Santorum	Truckers_Protest	16	0.016
Polanco_hyperextended	Syed_Ameer	losers_Hostettler_Santorum	Lisa_Hurunui	5	0.005
Polanco_hyperextended	Syed_Ameer	Truckers_Protest	Lisa_Hurunui	7	0.007
Polanco_hyperextended	Syed_Ameer	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	26	0.026
Polanco_hyperextended	Syed_Ameer	Dortmunder_Gold	losers_Hostettler_Santorum	15	0.015
Polanco_hyperextended	Syed_Ameer	Truckers_Protest	SCOR.PA_Quote_Profile_Research	4	0.004
Polanco_hyperextended	Syed_Ameer	Lisa_Hurunui	Elese_Daniel	32	0.032
Polanco_hyperextended	Syed_Ameer	spincasting	SCOR.PA_Quote_Profile_Research	15	0.015
Polanco_hyperextended	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Truckers_Protest	3	0.003
Polanco_hyperextended	Syed_Ameer	spincasting	Elese_Daniel	15	0.015
Polanco_hyperextended	Syed_Ameer	spincasting	Truckers_Protest	5	0.005
Polanco_hyperextended	Syed_Ameer	Elese_Daniel	spincasting	10	0.01
Polanco_hyperextended	Syed_Ameer	metallic_leggings	Elese_Daniel	4	0.004
Polanco_hyperextended	Syed_Ameer	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
Polanco_hyperextended	Syed_Ameer	metallic_leggings	losers_Hostettler_Santorum	5	0.005
Polanco_hyperextended	Syed_Ameer	metallic_leggings	Lisa_Hurunui	3	0.003
Polanco_hyperextended	Syed_Ameer	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	4	0.004
Polanco_hyperextended	Syed_Ameer	spincasting	losers_Hostettler_Santorum	4	0.004
Polanco_hyperextended	Syed_Ameer	losers_Hostettler_Santorum	spincasting	1	0.001
Polanco_hyperextended	Syed_Ameer	Dortmunder_Gold	Lisa_Hurunui	5	0.005
Polanco_hyperextended	Syed_Ameer	metallic_leggings	SCOR.PA_Quote_Profile_Research	3	0.003
Polanco_hyperextended	Syed_Ameer	Lisa_Hurunui	Truckers_Protest	5	0.005
Polanco_hyperextended	Syed_Ameer	Truckers_Protest	Elese_Daniel	9	0.009
Polanco_hyperextended	Syed_Ameer	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
Polanco_hyperextended	Syed_Ameer	NA	NA	423	0.423
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	122	0.122
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	168	0.168
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	106	0.106
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	109	0.109
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	51	0.051
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	21	0.021
huger_strike	Syed_Ameer	NA	NA	423	0.423
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	46	0.046
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	69	0.069
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	143	0.143
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	68	0.068
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	111	0.111
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	48	0.048
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	53	0.053
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	39	0.039
huger_strike	Polanco_hyperextended	NA	NA	423	0.423
