B_dom	B_cod	A_dom	A_cod	count	probability
SUTA	BÝA_Istanbul	losers_Hostettler_Santorum	Lisa_Hurunui	9	0.009
SUTA	BÝA_Istanbul	Truckers_Protest	losers_Hostettler_Santorum	12	0.012
SUTA	BÝA_Istanbul	Elese_Daniel	Truckers_Protest	16	0.016
SUTA	BÝA_Istanbul	Elese_Daniel	Dortmunder_Gold	25	0.025
SUTA	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	5	0.005
SUTA	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Truckers_Protest	25	0.025
SUTA	BÝA_Istanbul	Lisa_Hurunui	Truckers_Protest	25	0.025
SUTA	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	11	0.011
SUTA	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Elese_Daniel	14	0.014
SUTA	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	25	0.025
SUTA	BÝA_Istanbul	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	4	0.004
SUTA	BÝA_Istanbul	losers_Hostettler_Santorum	Truckers_Protest	16	0.016
SUTA	BÝA_Istanbul	losers_Hostettler_Santorum	Dortmunder_Gold	15	0.015
SUTA	BÝA_Istanbul	Lisa_Hurunui	losers_Hostettler_Santorum	13	0.013
SUTA	BÝA_Istanbul	Truckers_Protest	SCOR.PA_Quote_Profile_Research	11	0.011
SUTA	BÝA_Istanbul	spincasting	Truckers_Protest	17	0.017
SUTA	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	16	0.016
SUTA	BÝA_Istanbul	spincasting	Lisa_Hurunui	3	0.003
SUTA	BÝA_Istanbul	Truckers_Protest	Lisa_Hurunui	18	0.018
SUTA	BÝA_Istanbul	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	6	0.006
SUTA	BÝA_Istanbul	spincasting	SCOR.PA_Quote_Profile_Research	4	0.004
SUTA	BÝA_Istanbul	spincasting	Dortmunder_Gold	10	0.01
SUTA	BÝA_Istanbul	spincasting	Elese_Daniel	2	0.002
SUTA	BÝA_Istanbul	Elese_Daniel	Lisa_Hurunui	2	0.002
SUTA	BÝA_Istanbul	losers_Hostettler_Santorum	Elese_Daniel	1	0.001
SUTA	BÝA_Istanbul	Elese_Daniel	SCOR.PA_Quote_Profile_Research	6	0.006
SUTA	BÝA_Istanbul	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
SUTA	BÝA_Istanbul	Lisa_Hurunui	Dortmunder_Gold	5	0.005
SUTA	BÝA_Istanbul	Truckers_Protest	Elese_Daniel	10	0.01
SUTA	BÝA_Istanbul	Lisa_Hurunui	Elese_Daniel	3	0.003
SUTA	BÝA_Istanbul	spincasting	losers_Hostettler_Santorum	1	0.001
SUTA	BÝA_Istanbul	NA	NA	668	0.668
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	45	0.045
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	67	0.067
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	51	0.051
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	80	0.08
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	52	0.052
huger_strike	SUTA	Storm_Launcher	spincasting	37	0.037
huger_strike	SUTA	NA	NA	668	0.668
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	37	0.037
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	39	0.039
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	99	0.099
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	96	0.096
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	30	0.03
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	31	0.031
huger_strike	BÝA_Istanbul	NA	NA	668	0.668
