B_dom	B_cod	A_dom	A_cod	count	probability
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Dortmunder_Gold	19	0.019
SUTA	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	Dortmunder_Gold	9	0.009
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Elese_Daniel	4	0.004
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	metallic_leggings	24	0.024
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	9	0.009
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	7	0.007
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	losers_Hostettler_Santorum	12	0.012
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Dortmunder_Gold	14	0.014
SUTA	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	metallic_leggings	10	0.01
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	SCOR.PA_Quote_Profile_Research	13	0.013
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	spincasting	30	0.03
SUTA	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	7	0.007
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	spincasting	9	0.009
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	metallic_leggings	13	0.013
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	metallic_leggings	8	0.008
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	spincasting	5	0.005
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	metallic_leggings	18	0.018
SUTA	Chhatrapati_Shivaji_Maharaj	spincasting	SCOR.PA_Quote_Profile_Research	6	0.006
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	7	0.007
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Lisa_Hurunui	12	0.012
SUTA	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	spincasting	6	0.006
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	losers_Hostettler_Santorum	5	0.005
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	spincasting	6	0.006
SUTA	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	Truckers_Protest	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	SCOR.PA_Quote_Profile_Research	14	0.014
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Elese_Daniel	3	0.003
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Dortmunder_Gold	5	0.005
SUTA	Chhatrapati_Shivaji_Maharaj	spincasting	Lisa_Hurunui	3	0.003
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Lisa_Hurunui	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	spincasting	Dortmunder_Gold	2	0.002
SUTA	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Elese_Daniel	3	0.003
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	losers_Hostettler_Santorum	4	0.004
SUTA	Chhatrapati_Shivaji_Maharaj	spincasting	Elese_Daniel	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	Elese_Daniel	Truckers_Protest	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Truckers_Protest	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Truckers_Protest	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	1	0.001
SUTA	Chhatrapati_Shivaji_Maharaj	NA	NA	706	0.706
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	66	0.066
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	33	0.033
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	41	0.041
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	108	0.108
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	34	0.034
huger_strike	SUTA	Storm_Launcher	spincasting	12	0.012
huger_strike	SUTA	NA	NA	706	0.706
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	58	0.058
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Elese_Daniel	11	0.011
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	73	0.073
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	47	0.047
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	losers_Hostettler_Santorum	28	0.028
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	56	0.056
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	17	0.017
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	4	0.004
huger_strike	Chhatrapati_Shivaji_Maharaj	NA	NA	706	0.706
