B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	59	0.059
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	48	0.048
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	66	0.066
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	44	0.044
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	93	0.093
huger_strike	SUTA	Storm_Launcher	spincasting	26	0.026
huger_strike	SUTA	NA	NA	664	0.664
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	56	0.056
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	88	0.088
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	40	0.04
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	59	0.059
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	7	0.007
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	34	0.034
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	52	0.052
huger_strike	Kilusang_Mayo_Uno	NA	NA	664	0.664
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	20	0.02
SUTA	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	24	0.024
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	18	0.018
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	12	0.012
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	25	0.025
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	1	0.001
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	26	0.026
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	17	0.017
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	16	0.016
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	23	0.023
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	spincasting	12	0.012
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	13	0.013
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	2	0.002
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
SUTA	Kilusang_Mayo_Uno	spincasting	Elese_Daniel	7	0.007
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	metallic_leggings	2	0.002
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	7	0.007
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	18	0.018
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	10	0.01
SUTA	Kilusang_Mayo_Uno	spincasting	Truckers_Protest	7	0.007
SUTA	Kilusang_Mayo_Uno	Lisa_Hurunui	Elese_Daniel	8	0.008
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	15	0.015
SUTA	Kilusang_Mayo_Uno	spincasting	losers_Hostettler_Santorum	7	0.007
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	metallic_leggings	4	0.004
SUTA	Kilusang_Mayo_Uno	Truckers_Protest	Lisa_Hurunui	3	0.003
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Lisa_Hurunui	1	0.001
SUTA	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	9	0.009
SUTA	Kilusang_Mayo_Uno	Elese_Daniel	Lisa_Hurunui	2	0.002
SUTA	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
SUTA	Kilusang_Mayo_Uno	Lisa_Hurunui	losers_Hostettler_Santorum	7	0.007
SUTA	Kilusang_Mayo_Uno	spincasting	metallic_leggings	2	0.002
SUTA	Kilusang_Mayo_Uno	spincasting	SCOR.PA_Quote_Profile_Research	3	0.003
SUTA	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	spincasting	1	0.001
SUTA	Kilusang_Mayo_Uno	Lisa_Hurunui	metallic_leggings	1	0.001
SUTA	Kilusang_Mayo_Uno	NA	NA	664	0.664
