B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	99	0.099
huger_strike	SUTA	Storm_Launcher	spincasting	22	0.022
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	35	0.035
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	49	0.049
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	32	0.032
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	47	0.047
huger_strike	SUTA	NA	NA	716	0.716
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	49	0.049
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	42	0.042
huger_strike	Pandyan	Storm_Launcher	spincasting	61	0.061
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	36	0.036
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	39	0.039
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	37	0.037
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	15	0.015
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	5	0.005
huger_strike	Pandyan	NA	NA	716	0.716
SUTA	Pandyan	Truckers_Protest	Lisa_Hurunui	21	0.021
SUTA	Pandyan	spincasting	SCOR.PA_Quote_Profile_Research	5	0.005
SUTA	Pandyan	losers_Hostettler_Santorum	spincasting	7	0.007
SUTA	Pandyan	Truckers_Protest	Elese_Daniel	13	0.013
SUTA	Pandyan	spincasting	losers_Hostettler_Santorum	5	0.005
SUTA	Pandyan	Elese_Daniel	spincasting	20	0.02
SUTA	Pandyan	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	11	0.011
SUTA	Pandyan	Truckers_Protest	spincasting	25	0.025
SUTA	Pandyan	losers_Hostettler_Santorum	metallic_leggings	4	0.004
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	12	0.012
SUTA	Pandyan	losers_Hostettler_Santorum	Lisa_Hurunui	9	0.009
SUTA	Pandyan	Elese_Daniel	SCOR.PA_Quote_Profile_Research	10	0.01
SUTA	Pandyan	Truckers_Protest	metallic_leggings	10	0.01
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	8	0.008
SUTA	Pandyan	Truckers_Protest	losers_Hostettler_Santorum	18	0.018
SUTA	Pandyan	losers_Hostettler_Santorum	Elese_Daniel	4	0.004
SUTA	Pandyan	spincasting	Truckers_Protest	1	0.001
SUTA	Pandyan	Truckers_Protest	SCOR.PA_Quote_Profile_Research	10	0.01
SUTA	Pandyan	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
SUTA	Pandyan	spincasting	Elese_Daniel	8	0.008
SUTA	Pandyan	Lisa_Hurunui	Truckers_Protest	4	0.004
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	Elese_Daniel	9	0.009
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	spincasting	6	0.006
SUTA	Pandyan	Elese_Daniel	Truckers_Protest	3	0.003
SUTA	Pandyan	Lisa_Hurunui	losers_Hostettler_Santorum	5	0.005
SUTA	Pandyan	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	6	0.006
SUTA	Pandyan	Elese_Daniel	metallic_leggings	8	0.008
SUTA	Pandyan	losers_Hostettler_Santorum	Truckers_Protest	5	0.005
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	Truckers_Protest	2	0.002
SUTA	Pandyan	Lisa_Hurunui	Dortmunder_Gold	2	0.002
SUTA	Pandyan	Truckers_Protest	Dortmunder_Gold	2	0.002
SUTA	Pandyan	Lisa_Hurunui	spincasting	3	0.003
SUTA	Pandyan	spincasting	Lisa_Hurunui	2	0.002
SUTA	Pandyan	Elese_Daniel	Lisa_Hurunui	5	0.005
SUTA	Pandyan	Lisa_Hurunui	metallic_leggings	5	0.005
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	metallic_leggings	9	0.009
SUTA	Pandyan	spincasting	metallic_leggings	1	0.001
SUTA	Pandyan	Lisa_Hurunui	Elese_Daniel	2	0.002
SUTA	Pandyan	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	1	0.001
SUTA	Pandyan	NA	NA	716	0.716
