B_dom	B_cod	A_dom	A_cod	count	probability
SUTA	Syed_Ameer	Elese_Daniel	losers_Hostettler_Santorum	13	0.013
SUTA	Syed_Ameer	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	25	0.025
SUTA	Syed_Ameer	Truckers_Protest	losers_Hostettler_Santorum	47	0.047
SUTA	Syed_Ameer	Truckers_Protest	Elese_Daniel	28	0.028
SUTA	Syed_Ameer	Elese_Daniel	Truckers_Protest	25	0.025
SUTA	Syed_Ameer	Elese_Daniel	SCOR.PA_Quote_Profile_Research	29	0.029
SUTA	Syed_Ameer	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
SUTA	Syed_Ameer	spincasting	losers_Hostettler_Santorum	4	0.004
SUTA	Syed_Ameer	Truckers_Protest	SCOR.PA_Quote_Profile_Research	11	0.011
SUTA	Syed_Ameer	Elese_Daniel	Lisa_Hurunui	7	0.007
SUTA	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Elese_Daniel	20	0.02
SUTA	Syed_Ameer	Lisa_Hurunui	Elese_Daniel	17	0.017
SUTA	Syed_Ameer	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	16	0.016
SUTA	Syed_Ameer	losers_Hostettler_Santorum	Truckers_Protest	16	0.016
SUTA	Syed_Ameer	Truckers_Protest	Lisa_Hurunui	3	0.003
SUTA	Syed_Ameer	Lisa_Hurunui	losers_Hostettler_Santorum	7	0.007
SUTA	Syed_Ameer	spincasting	SCOR.PA_Quote_Profile_Research	3	0.003
SUTA	Syed_Ameer	Truckers_Protest	spincasting	3	0.003
SUTA	Syed_Ameer	Lisa_Hurunui	Truckers_Protest	5	0.005
SUTA	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Truckers_Protest	7	0.007
SUTA	Syed_Ameer	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	5	0.005
SUTA	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	3	0.003
SUTA	Syed_Ameer	Elese_Daniel	spincasting	5	0.005
SUTA	Syed_Ameer	losers_Hostettler_Santorum	Elese_Daniel	7	0.007
SUTA	Syed_Ameer	spincasting	Elese_Daniel	4	0.004
SUTA	Syed_Ameer	Lisa_Hurunui	spincasting	1	0.001
SUTA	Syed_Ameer	losers_Hostettler_Santorum	Lisa_Hurunui	1	0.001
SUTA	Syed_Ameer	spincasting	Truckers_Protest	1	0.001
SUTA	Syed_Ameer	NA	NA	685	0.685
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	96	0.096
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	76	0.076
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	54	0.054
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	64	0.064
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	11	0.011
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	14	0.014
huger_strike	Syed_Ameer	NA	NA	685	0.685
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	79	0.079
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	57	0.057
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	92	0.092
huger_strike	SUTA	Storm_Launcher	spincasting	12	0.012
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	35	0.035
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	40	0.04
huger_strike	SUTA	NA	NA	685	0.685
