B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	101	0.101
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	19	0.019
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	93	0.093
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	52	0.052
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	60	0.06
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	15	0.015
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	17	0.017
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	28	0.028
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	615	0.615
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	42	0.042
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	100	0.1
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	51	0.051
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	50	0.05
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	61	0.061
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	71	0.071
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	10	0.01
huger_strike	Kilusang_Mayo_Uno	NA	NA	615	0.615
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	15	0.015
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	spincasting	Truckers_Protest	8	0.008
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	14	0.014
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Truckers_Protest	spincasting	24	0.024
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	27	0.027
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	18	0.018
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	metallic_leggings	Truckers_Protest	15	0.015
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	metallic_leggings	SCOR.PA_Quote_Profile_Research	14	0.014
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	23	0.023
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Dortmunder_Gold	Truckers_Protest	7	0.007
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	20	0.02
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	spincasting	SCOR.PA_Quote_Profile_Research	7	0.007
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	5	0.005
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Elese_Daniel	metallic_leggings	8	0.008
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	14	0.014
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Lisa_Hurunui	losers_Hostettler_Santorum	9	0.009
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	13	0.013
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	18	0.018
Stock_Exchange_PAMP_Pampa	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	22	0.022
