B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	27	0.027
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	62	0.062
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	198	0.198
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	76	0.076
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	166	0.166
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	24	0.024
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	59	0.059
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	19	0.019
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	369	0.369
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	137	0.137
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	72	0.072
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	98	0.098
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	27	0.027
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	37	0.037
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	93	0.093
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	67	0.067
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	100	0.1
huger_strike	Polanco_hyperextended	NA	NA	369	0.369
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Dortmunder_Gold	Elese_Daniel	19	0.019
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	Lisa_Hurunui	10	0.01
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	Elese_Daniel	16	0.016
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	Elese_Daniel	22	0.022
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	spincasting	53	0.053
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	21	0.021
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	SCOR.PA_Quote_Profile_Research	11	0.011
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	spincasting	Elese_Daniel	12	0.012
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Elese_Daniel	51	0.051
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	13	0.013
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	Truckers_Protest	40	0.04
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	Elese_Daniel	17	0.017
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Dortmunder_Gold	Truckers_Protest	4	0.004
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	12	0.012
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	metallic_leggings	78	0.078
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	Dortmunder_Gold	5	0.005
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	spincasting	25	0.025
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Truckers_Protest	8	0.008
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	Lisa_Hurunui	35	0.035
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	spincasting	16	0.016
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	losers_Hostettler_Santorum	6	0.006
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	Truckers_Protest	27	0.027
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	metallic_leggings	8	0.008
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	Dortmunder_Gold	13	0.013
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	Dortmunder_Gold	4	0.004
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	Dortmunder_Gold	26	0.026
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	2	0.002
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	losers_Hostettler_Santorum	11	0.011
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	losers_Hostettler_Santorum	Truckers_Protest	5	0.005
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	metallic_leggings	6	0.006
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	losers_Hostettler_Santorum	2	0.002
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	spincasting	SCOR.PA_Quote_Profile_Research	4	0.004
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	losers_Hostettler_Santorum	Dortmunder_Gold	5	0.005
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Dortmunder_Gold	losers_Hostettler_Santorum	3	0.003
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	spincasting	Truckers_Protest	5	0.005
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Elese_Daniel	Truckers_Protest	4	0.004
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Truckers_Protest	SCOR.PA_Quote_Profile_Research	7	0.007
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	metallic_leggings	5	0.005
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	spincasting	Dortmunder_Gold	2	0.002
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	Lisa_Hurunui	1	0.001
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	Lisa_Hurunui	spincasting	1	0.001
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	metallic_leggings	spincasting	2	0.002
Stock_Exchange_PAMP_Pampa	Polanco_hyperextended	losers_Hostettler_Santorum	metallic_leggings	2	0.002
