B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	52	0.052
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	48	0.048
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	85	0.085
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	31	0.031
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	96	0.096
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	19	0.019
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	11	0.011
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	15	0.015
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	643	0.643
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	55	0.055
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	60	0.06
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	60	0.06
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	53	0.053
huger_strike	SUTA	Storm_Launcher	spincasting	38	0.038
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	91	0.091
huger_strike	SUTA	NA	NA	643	0.643
Stock_Exchange_PAMP_Pampa	SUTA	metallic_leggings	SCOR.PA_Quote_Profile_Research	8	0.008
Stock_Exchange_PAMP_Pampa	SUTA	Lisa_Hurunui	Elese_Daniel	4	0.004
Stock_Exchange_PAMP_Pampa	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	21	0.021
Stock_Exchange_PAMP_Pampa	SUTA	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	20	0.02
Stock_Exchange_PAMP_Pampa	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	12	0.012
Stock_Exchange_PAMP_Pampa	SUTA	Elese_Daniel	SCOR.PA_Quote_Profile_Research	8	0.008
Stock_Exchange_PAMP_Pampa	SUTA	Lisa_Hurunui	spincasting	6	0.006
Stock_Exchange_PAMP_Pampa	SUTA	Truckers_Protest	Elese_Daniel	15	0.015
Stock_Exchange_PAMP_Pampa	SUTA	Truckers_Protest	losers_Hostettler_Santorum	17	0.017
Stock_Exchange_PAMP_Pampa	SUTA	Elese_Daniel	spincasting	8	0.008
Stock_Exchange_PAMP_Pampa	SUTA	Truckers_Protest	Lisa_Hurunui	27	0.027
Stock_Exchange_PAMP_Pampa	SUTA	Truckers_Protest	SCOR.PA_Quote_Profile_Research	21	0.021
Stock_Exchange_PAMP_Pampa	SUTA	Lisa_Hurunui	Truckers_Protest	20	0.02
