B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	26	0.026
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	49	0.049
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	25	0.025
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	53	0.053
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	105	0.105
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	86	0.086
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	16	0.016
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	7	0.007
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	633	0.633
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	116	0.116
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	21	0.021
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	88	0.088
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	49	0.049
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	61	0.061
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	32	0.032
huger_strike	Syed_Ameer	NA	NA	633	0.633
Stock_Exchange_PAMP_Pampa	Syed_Ameer	spincasting	losers_Hostettler_Santorum	11	0.011
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Lisa_Hurunui	spincasting	1	0.001
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Elese_Daniel	losers_Hostettler_Santorum	6	0.006
Stock_Exchange_PAMP_Pampa	Syed_Ameer	metallic_leggings	Elese_Daniel	7	0.007
Stock_Exchange_PAMP_Pampa	Syed_Ameer	SCOR.PA_Quote_Profile_Research	Elese_Daniel	37	0.037
Stock_Exchange_PAMP_Pampa	Syed_Ameer	metallic_leggings	Truckers_Protest	7	0.007
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Lisa_Hurunui	Elese_Daniel	11	0.011
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Truckers_Protest	losers_Hostettler_Santorum	27	0.027
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Truckers_Protest	Elese_Daniel	21	0.021
Stock_Exchange_PAMP_Pampa	Syed_Ameer	Lisa_Hurunui	losers_Hostettler_Santorum	23	0.023
