B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	110	0.11
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	54	0.054
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	78	0.078
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	17	0.017
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	69	0.069
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	6	0.006
huger_strike	Syed_Ameer	NA	NA	666	0.666
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	118	0.118
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	77	0.077
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	37	0.037
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	23	0.023
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	26	0.026
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	53	0.053
huger_strike	BÝA_Istanbul	NA	NA	666	0.666
Syed_Ameer	BÝA_Istanbul	losers_Hostettler_Santorum	Truckers_Protest	57	0.057
Syed_Ameer	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	8	0.008
Syed_Ameer	BÝA_Istanbul	losers_Hostettler_Santorum	Elese_Daniel	8	0.008
Syed_Ameer	BÝA_Istanbul	Elese_Daniel	Truckers_Protest	34	0.034
Syed_Ameer	BÝA_Istanbul	losers_Hostettler_Santorum	Lisa_Hurunui	9	0.009
Syed_Ameer	BÝA_Istanbul	Lisa_Hurunui	Dortmunder_Gold	9	0.009
Syed_Ameer	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Elese_Daniel	14	0.014
Syed_Ameer	BÝA_Istanbul	Truckers_Protest	losers_Hostettler_Santorum	16	0.016
Syed_Ameer	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Truckers_Protest	22	0.022
Syed_Ameer	BÝA_Istanbul	Truckers_Protest	Elese_Daniel	11	0.011
Syed_Ameer	BÝA_Istanbul	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	3	0.003
Syed_Ameer	BÝA_Istanbul	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	17	0.017
Syed_Ameer	BÝA_Istanbul	Elese_Daniel	SCOR.PA_Quote_Profile_Research	20	0.02
Syed_Ameer	BÝA_Istanbul	Truckers_Protest	SCOR.PA_Quote_Profile_Research	12	0.012
Syed_Ameer	BÝA_Istanbul	losers_Hostettler_Santorum	Dortmunder_Gold	19	0.019
Syed_Ameer	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	25	0.025
Syed_Ameer	BÝA_Istanbul	Lisa_Hurunui	Truckers_Protest	3	0.003
Syed_Ameer	BÝA_Istanbul	spincasting	Truckers_Protest	2	0.002
Syed_Ameer	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	7	0.007
Syed_Ameer	BÝA_Istanbul	Elese_Daniel	Dortmunder_Gold	16	0.016
Syed_Ameer	BÝA_Istanbul	Elese_Daniel	Lisa_Hurunui	6	0.006
Syed_Ameer	BÝA_Istanbul	spincasting	Elese_Daniel	3	0.003
Syed_Ameer	BÝA_Istanbul	spincasting	SCOR.PA_Quote_Profile_Research	1	0.001
Syed_Ameer	BÝA_Istanbul	Truckers_Protest	Lisa_Hurunui	5	0.005
Syed_Ameer	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	3	0.003
Syed_Ameer	BÝA_Istanbul	Elese_Daniel	losers_Hostettler_Santorum	2	0.002
Syed_Ameer	BÝA_Istanbul	Lisa_Hurunui	losers_Hostettler_Santorum	1	0.001
Syed_Ameer	BÝA_Istanbul	Lisa_Hurunui	Elese_Daniel	1	0.001
Syed_Ameer	BÝA_Istanbul	NA	NA	666	0.666
