B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	65	0.065
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	77	0.077
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	85	0.085
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	76	0.076
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	17	0.017
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	38	0.038
huger_strike	Syed_Ameer	NA	NA	642	0.642
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Truckers_Protest	86	0.086
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	SCOR.PA_Quote_Profile_Research	61	0.061
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	spincasting	59	0.059
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Elese_Daniel	48	0.048
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	losers_Hostettler_Santorum	62	0.062
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	metallic_leggings	24	0.024
huger_strike	Kilusang_Mayo_Uno	Storm_Launcher	Lisa_Hurunui	18	0.018
huger_strike	Kilusang_Mayo_Uno	NA	NA	642	0.642
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Truckers_Protest	7	0.007
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	12	0.012
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	24	0.024
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	33	0.033
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	18	0.018
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	20	0.02
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	20	0.02
Syed_Ameer	Kilusang_Mayo_Uno	spincasting	SCOR.PA_Quote_Profile_Research	4	0.004
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	spincasting	2	0.002
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	18	0.018
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	19	0.019
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	15	0.015
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	5	0.005
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	15	0.015
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	Lisa_Hurunui	3	0.003
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	Elese_Daniel	4	0.004
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	21	0.021
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Lisa_Hurunui	6	0.006
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	metallic_leggings	1	0.001
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	spincasting	15	0.015
Syed_Ameer	Kilusang_Mayo_Uno	spincasting	Lisa_Hurunui	2	0.002
Syed_Ameer	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	22	0.022
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	metallic_leggings	11	0.011
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	spincasting	5	0.005
Syed_Ameer	Kilusang_Mayo_Uno	Truckers_Protest	Lisa_Hurunui	4	0.004
Syed_Ameer	Kilusang_Mayo_Uno	spincasting	Elese_Daniel	3	0.003
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	metallic_leggings	4	0.004
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	13	0.013
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Elese_Daniel	8	0.008
Syed_Ameer	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	3	0.003
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	4	0.004
Syed_Ameer	Kilusang_Mayo_Uno	spincasting	Truckers_Protest	6	0.006
Syed_Ameer	Kilusang_Mayo_Uno	Lisa_Hurunui	losers_Hostettler_Santorum	6	0.006
Syed_Ameer	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	metallic_leggings	3	0.003
Syed_Ameer	Kilusang_Mayo_Uno	spincasting	losers_Hostettler_Santorum	2	0.002
Syed_Ameer	Kilusang_Mayo_Uno	NA	NA	642	0.642
