B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	124	0.124
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	47	0.047
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	157	0.157
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	98	0.098
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	127	0.127
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	35	0.035
huger_strike	Syed_Ameer	NA	NA	412	0.412
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	150	0.15
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	107	0.107
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	39	0.039
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	94	0.094
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	55	0.055
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	38	0.038
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	44	0.044
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	61	0.061
huger_strike	Polanco_hyperextended	NA	NA	412	0.412
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Elese_Daniel	69	0.069
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	Truckers_Protest	8	0.008
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	Truckers_Protest	75	0.075
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	Elese_Daniel	26	0.026
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	spincasting	12	0.012
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	41	0.041
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	Lisa_Hurunui	36	0.036
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	SCOR.PA_Quote_Profile_Research	40	0.04
Syed_Ameer	Polanco_hyperextended	spincasting	Truckers_Protest	7	0.007
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	metallic_leggings	28	0.028
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	Elese_Daniel	10	0.01
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	3	0.003
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	losers_Hostettler_Santorum	13	0.013
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	Lisa_Hurunui	11	0.011
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	spincasting	20	0.02
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	21	0.021
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	Dortmunder_Gold	25	0.025
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	metallic_leggings	6	0.006
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Truckers_Protest	8	0.008
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	Dortmunder_Gold	17	0.017
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	spincasting	4	0.004
Syed_Ameer	Polanco_hyperextended	losers_Hostettler_Santorum	Dortmunder_Gold	10	0.01
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	Lisa_Hurunui	6	0.006
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	Truckers_Protest	9	0.009
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	Elese_Daniel	26	0.026
Syed_Ameer	Polanco_hyperextended	spincasting	SCOR.PA_Quote_Profile_Research	5	0.005
Syed_Ameer	Polanco_hyperextended	spincasting	Elese_Daniel	19	0.019
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	2	0.002
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	metallic_leggings	2	0.002
Syed_Ameer	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	4	0.004
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	metallic_leggings	1	0.001
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	losers_Hostettler_Santorum	4	0.004
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	SCOR.PA_Quote_Profile_Research	5	0.005
Syed_Ameer	Polanco_hyperextended	Elese_Daniel	losers_Hostettler_Santorum	4	0.004
Syed_Ameer	Polanco_hyperextended	Truckers_Protest	spincasting	3	0.003
Syed_Ameer	Polanco_hyperextended	spincasting	Dortmunder_Gold	1	0.001
Syed_Ameer	Polanco_hyperextended	Lisa_Hurunui	Dortmunder_Gold	4	0.004
Syed_Ameer	Polanco_hyperextended	spincasting	losers_Hostettler_Santorum	2	0.002
Syed_Ameer	Polanco_hyperextended	spincasting	metallic_leggings	1	0.001
Syed_Ameer	Polanco_hyperextended	NA	NA	412	0.412
