B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	63	0.063
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	58	0.058
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	99	0.099
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	17	0.017
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	52	0.052
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	9	0.009
huger_strike	Syed_Ameer	NA	NA	702	0.702
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	71	0.071
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	36	0.036
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	31	0.031
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	90	0.09
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	58	0.058
huger_strike	SUTA	Storm_Launcher	spincasting	12	0.012
huger_strike	SUTA	NA	NA	702	0.702
Syed_Ameer	SUTA	Elese_Daniel	SCOR.PA_Quote_Profile_Research	22	0.022
Syed_Ameer	SUTA	Truckers_Protest	losers_Hostettler_Santorum	16	0.016
Syed_Ameer	SUTA	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	31	0.031
Syed_Ameer	SUTA	losers_Hostettler_Santorum	Lisa_Hurunui	6	0.006
Syed_Ameer	SUTA	losers_Hostettler_Santorum	Truckers_Protest	48	0.048
Syed_Ameer	SUTA	Lisa_Hurunui	Truckers_Protest	6	0.006
Syed_Ameer	SUTA	Truckers_Protest	Elese_Daniel	17	0.017
Syed_Ameer	SUTA	Truckers_Protest	SCOR.PA_Quote_Profile_Research	15	0.015
Syed_Ameer	SUTA	SCOR.PA_Quote_Profile_Research	Elese_Daniel	18	0.018
Syed_Ameer	SUTA	Elese_Daniel	Lisa_Hurunui	14	0.014
Syed_Ameer	SUTA	Lisa_Hurunui	Elese_Daniel	9	0.009
Syed_Ameer	SUTA	Elese_Daniel	spincasting	3	0.003
Syed_Ameer	SUTA	Truckers_Protest	spincasting	3	0.003
Syed_Ameer	SUTA	SCOR.PA_Quote_Profile_Research	Truckers_Protest	13	0.013
Syed_Ameer	SUTA	losers_Hostettler_Santorum	Elese_Daniel	12	0.012
Syed_Ameer	SUTA	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	4	0.004
Syed_Ameer	SUTA	losers_Hostettler_Santorum	spincasting	2	0.002
Syed_Ameer	SUTA	Elese_Daniel	losers_Hostettler_Santorum	5	0.005
Syed_Ameer	SUTA	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	13	0.013
Syed_Ameer	SUTA	Elese_Daniel	Truckers_Protest	19	0.019
Syed_Ameer	SUTA	SCOR.PA_Quote_Profile_Research	spincasting	4	0.004
Syed_Ameer	SUTA	spincasting	SCOR.PA_Quote_Profile_Research	2	0.002
Syed_Ameer	SUTA	Truckers_Protest	Lisa_Hurunui	7	0.007
Syed_Ameer	SUTA	spincasting	Truckers_Protest	4	0.004
Syed_Ameer	SUTA	spincasting	Elese_Daniel	2	0.002
Syed_Ameer	SUTA	Lisa_Hurunui	losers_Hostettler_Santorum	1	0.001
Syed_Ameer	SUTA	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	1	0.001
Syed_Ameer	SUTA	spincasting	losers_Hostettler_Santorum	1	0.001
Syed_Ameer	SUTA	NA	NA	702	0.702
