B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Syed_Ameer	Storm_Launcher	Truckers_Protest	74	0.074
huger_strike	Syed_Ameer	Storm_Launcher	spincasting	24	0.024
huger_strike	Syed_Ameer	Storm_Launcher	Lisa_Hurunui	26	0.026
huger_strike	Syed_Ameer	Storm_Launcher	losers_Hostettler_Santorum	111	0.111
huger_strike	Syed_Ameer	Storm_Launcher	Elese_Daniel	91	0.091
huger_strike	Syed_Ameer	Storm_Launcher	SCOR.PA_Quote_Profile_Research	58	0.058
huger_strike	Syed_Ameer	NA	NA	616	0.616
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	50	0.05
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	21	0.021
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	108	0.108
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	90	0.09
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	53	0.053
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	31	0.031
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	17	0.017
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	14	0.014
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	616	0.616
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Lisa_Hurunui	15	0.015
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	Elese_Daniel	2	0.002
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	7	0.007
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Truckers_Protest	34	0.034
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	SCOR.PA_Quote_Profile_Research	7	0.007
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Truckers_Protest	20	0.02
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	metallic_leggings	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	metallic_leggings	22	0.022
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	Truckers_Protest	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	SCOR.PA_Quote_Profile_Research	40	0.04
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	spincasting	4	0.004
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	8	0.008
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Dortmunder_Gold	5	0.005
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	29	0.029
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	Elese_Daniel	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	SCOR.PA_Quote_Profile_Research	25	0.025
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Lisa_Hurunui	14	0.014
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	Lisa_Hurunui	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	metallic_leggings	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	losers_Hostettler_Santorum	3	0.003
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	spincasting	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Truckers_Protest	19	0.019
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	Truckers_Protest	8	0.008
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	spincasting	2	0.002
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Truckers_Protest	spincasting	11	0.011
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	spincasting	5	0.005
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	Dortmunder_Gold	1	0.001
Syed_Ameer	Stock_Exchange_PAMP_Pampa	losers_Hostettler_Santorum	Dortmunder_Gold	2	0.002
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	8	0.008
Syed_Ameer	Stock_Exchange_PAMP_Pampa	SCOR.PA_Quote_Profile_Research	Elese_Daniel	9	0.009
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Elese_Daniel	metallic_leggings	10	0.01
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	Lisa_Hurunui	4	0.004
Syed_Ameer	Stock_Exchange_PAMP_Pampa	spincasting	metallic_leggings	1	0.001
Syed_Ameer	Stock_Exchange_PAMP_Pampa	Lisa_Hurunui	losers_Hostettler_Santorum	3	0.003
