B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	orchid	150	0.15
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	57	0.057
dancer	Hildegard_Behrens	butterfly	fritillary	77	0.077
dancer	Hildegard_Behrens	butterfly	magenta_flowers	76	0.076
dancer	Hildegard_Behrens	butterfly	floral	87	0.087
dancer	Hildegard_Behrens	butterfly	dragonfly	64	0.064
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	52	0.052
dancer	Hildegard_Behrens	butterfly	zebra_longwing	30	0.03
dancer	Hildegard_Behrens	NA	NA	407	0.407
dancer	classically_trained_dancer	butterfly	dragonfly	85	0.085
dancer	classically_trained_dancer	butterfly	gulf_fritillary	94	0.094
dancer	classically_trained_dancer	butterfly	zebra_longwing	126	0.126
dancer	classically_trained_dancer	butterfly	orchid	80	0.08
dancer	classically_trained_dancer	butterfly	giant_swallowtail	85	0.085
dancer	classically_trained_dancer	butterfly	floral	64	0.064
dancer	classically_trained_dancer	butterfly	fritillary	25	0.025
dancer	classically_trained_dancer	butterfly	magenta_flowers	34	0.034
dancer	classically_trained_dancer	NA	NA	407	0.407
Hildegard_Behrens	classically_trained_dancer	orchid	dragonfly	14	0.014
Hildegard_Behrens	classically_trained_dancer	giant_swallowtail	dragonfly	11	0.011
Hildegard_Behrens	classically_trained_dancer	fritillary	gulf_fritillary	4	0.004
Hildegard_Behrens	classically_trained_dancer	magenta_flowers	zebra_longwing	22	0.022
Hildegard_Behrens	classically_trained_dancer	floral	dragonfly	9	0.009
Hildegard_Behrens	classically_trained_dancer	magenta_flowers	orchid	6	0.006
Hildegard_Behrens	classically_trained_dancer	dragonfly	giant_swallowtail	16	0.016
Hildegard_Behrens	classically_trained_dancer	floral	zebra_longwing	22	0.022
Hildegard_Behrens	classically_trained_dancer	fritillary	floral	22	0.022
Hildegard_Behrens	classically_trained_dancer	gulf_fritillary	dragonfly	12	0.012
Hildegard_Behrens	classically_trained_dancer	orchid	zebra_longwing	53	0.053
