B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	fritillary	70	0.07
dancer	Hildegard_Behrens	butterfly	floral	93	0.093
dancer	Hildegard_Behrens	butterfly	zebra_longwing	29	0.029
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	66	0.066
dancer	Hildegard_Behrens	butterfly	orchid	111	0.111
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	79	0.079
dancer	Hildegard_Behrens	butterfly	dragonfly	80	0.08
dancer	Hildegard_Behrens	butterfly	magenta_flowers	61	0.061
dancer	Hildegard_Behrens	NA	NA	411	0.411
dancer	dance	butterfly	floral	110	0.11
dancer	dance	butterfly	dragonfly	104	0.104
dancer	dance	butterfly	gulf_fritillary	64	0.064
dancer	dance	butterfly	orchid	84	0.084
dancer	dance	butterfly	giant_swallowtail	94	0.094
dancer	dance	butterfly	magenta_flowers	40	0.04
dancer	dance	butterfly	zebra_longwing	77	0.077
dancer	dance	butterfly	fritillary	16	0.016
dancer	dance	NA	NA	411	0.411
Hildegard_Behrens	dance	fritillary	floral	35	0.035
Hildegard_Behrens	dance	floral	dragonfly	32	0.032
Hildegard_Behrens	dance	zebra_longwing	gulf_fritillary	4	0.004
Hildegard_Behrens	dance	gulf_fritillary	dragonfly	10	0.01
Hildegard_Behrens	dance	orchid	floral	9	0.009
Hildegard_Behrens	dance	gulf_fritillary	orchid	26	0.026
Hildegard_Behrens	dance	orchid	giant_swallowtail	27	0.027
Hildegard_Behrens	dance	floral	magenta_flowers	7	0.007
Hildegard_Behrens	dance	giant_swallowtail	floral	19	0.019
Hildegard_Behrens	dance	dragonfly	zebra_longwing	12	0.012
Hildegard_Behrens	dance	dragonfly	gulf_fritillary	9	0.009
Hildegard_Behrens	dance	orchid	dragonfly	10	0.01
Hildegard_Behrens	dance	dragonfly	orchid	7	0.007
Hildegard_Behrens	dance	giant_swallowtail	orchid	27	0.027
Hildegard_Behrens	dance	floral	gulf_fritillary	10	0.01
Hildegard_Behrens	dance	fritillary	orchid	3	0.003
Hildegard_Behrens	dance	magenta_flowers	orchid	8	0.008
Hildegard_Behrens	dance	zebra_longwing	orchid	7	0.007
Hildegard_Behrens	dance	giant_swallowtail	magenta_flowers	6	0.006
Hildegard_Behrens	dance	floral	zebra_longwing	13	0.013
Hildegard_Behrens	dance	giant_swallowtail	dragonfly	17	0.017
Hildegard_Behrens	dance	magenta_flowers	zebra_longwing	13	0.013
Hildegard_Behrens	dance	gulf_fritillary	floral	16	0.016
Hildegard_Behrens	dance	dragonfly	giant_swallowtail	20	0.02
Hildegard_Behrens	dance	fritillary	gulf_fritillary	3	0.003
Hildegard_Behrens	dance	giant_swallowtail	fritillary	2	0.002
Hildegard_Behrens	dance	floral	giant_swallowtail	21	0.021
Hildegard_Behrens	dance	giant_swallowtail	gulf_fritillary	2	0.002
Hildegard_Behrens	dance	gulf_fritillary	giant_swallowtail	7	0.007
Hildegard_Behrens	dance	floral	fritillary	4	0.004
Hildegard_Behrens	dance	fritillary	dragonfly	11	0.011
Hildegard_Behrens	dance	dragonfly	magenta_flowers	8	0.008
Hildegard_Behrens	dance	zebra_longwing	dragonfly	7	0.007
Hildegard_Behrens	dance	fritillary	zebra_longwing	5	0.005
Hildegard_Behrens	dance	orchid	gulf_fritillary	30	0.03
Hildegard_Behrens	dance	fritillary	giant_swallowtail	8	0.008
Hildegard_Behrens	dance	magenta_flowers	floral	6	0.006
Hildegard_Behrens	dance	dragonfly	floral	22	0.022
Hildegard_Behrens	dance	dragonfly	fritillary	2	0.002
Hildegard_Behrens	dance	magenta_flowers	giant_swallowtail	9	0.009
Hildegard_Behrens	dance	floral	orchid	6	0.006
Hildegard_Behrens	dance	magenta_flowers	gulf_fritillary	6	0.006
Hildegard_Behrens	dance	zebra_longwing	magenta_flowers	5	0.005
Hildegard_Behrens	dance	orchid	zebra_longwing	24	0.024
Hildegard_Behrens	dance	gulf_fritillary	zebra_longwing	4	0.004
Hildegard_Behrens	dance	magenta_flowers	dragonfly	17	0.017
Hildegard_Behrens	dance	orchid	fritillary	3	0.003
Hildegard_Behrens	dance	orchid	magenta_flowers	8	0.008
Hildegard_Behrens	dance	fritillary	magenta_flowers	5	0.005
Hildegard_Behrens	dance	zebra_longwing	giant_swallowtail	2	0.002
Hildegard_Behrens	dance	magenta_flowers	fritillary	2	0.002
Hildegard_Behrens	dance	zebra_longwing	fritillary	1	0.001
Hildegard_Behrens	dance	gulf_fritillary	fritillary	2	0.002
Hildegard_Behrens	dance	giant_swallowtail	zebra_longwing	6	0.006
Hildegard_Behrens	dance	zebra_longwing	floral	3	0.003
Hildegard_Behrens	dance	gulf_fritillary	magenta_flowers	1	0.001
Hildegard_Behrens	dance	NA	NA	411	0.411
