B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	39	0.039
dancer	Hildegard_Behrens	butterfly	floral	45	0.045
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	35	0.035
dancer	Hildegard_Behrens	butterfly	dragonfly	29	0.029
dancer	Hildegard_Behrens	butterfly	fritillary	36	0.036
dancer	Hildegard_Behrens	butterfly	magenta_flowers	46	0.046
dancer	Hildegard_Behrens	butterfly	orchid	53	0.053
dancer	Hildegard_Behrens	butterfly	zebra_longwing	12	0.012
dancer	Hildegard_Behrens	NA	NA	705	0.705
dancer	musician	butterfly	orchid	82	0.082
dancer	musician	butterfly	zebra_longwing	37	0.037
dancer	musician	butterfly	fritillary	41	0.041
dancer	musician	butterfly	floral	28	0.028
dancer	musician	butterfly	dragonfly	40	0.04
dancer	musician	butterfly	giant_swallowtail	28	0.028
dancer	musician	butterfly	gulf_fritillary	26	0.026
dancer	musician	butterfly	magenta_flowers	13	0.013
dancer	musician	NA	NA	705	0.705
Hildegard_Behrens	musician	giant_swallowtail	orchid	23	0.023
Hildegard_Behrens	musician	floral	zebra_longwing	7	0.007
Hildegard_Behrens	musician	gulf_fritillary	fritillary	2	0.002
Hildegard_Behrens	musician	dragonfly	orchid	5	0.005
Hildegard_Behrens	musician	fritillary	floral	7	0.007
Hildegard_Behrens	musician	magenta_flowers	fritillary	1	0.001
Hildegard_Behrens	musician	gulf_fritillary	dragonfly	3	0.003
Hildegard_Behrens	musician	gulf_fritillary	orchid	17	0.017
Hildegard_Behrens	musician	magenta_flowers	dragonfly	16	0.016
Hildegard_Behrens	musician	magenta_flowers	giant_swallowtail	5	0.005
Hildegard_Behrens	musician	orchid	gulf_fritillary	7	0.007
Hildegard_Behrens	musician	giant_swallowtail	dragonfly	3	0.003
Hildegard_Behrens	musician	orchid	fritillary	13	0.013
Hildegard_Behrens	musician	orchid	giant_swallowtail	12	0.012
Hildegard_Behrens	musician	zebra_longwing	orchid	4	0.004
Hildegard_Behrens	musician	fritillary	dragonfly	3	0.003
Hildegard_Behrens	musician	magenta_flowers	orchid	11	0.011
Hildegard_Behrens	musician	floral	gulf_fritillary	6	0.006
Hildegard_Behrens	musician	floral	fritillary	12	0.012
Hildegard_Behrens	musician	floral	giant_swallowtail	7	0.007
Hildegard_Behrens	musician	gulf_fritillary	floral	10	0.01
Hildegard_Behrens	musician	magenta_flowers	gulf_fritillary	4	0.004
Hildegard_Behrens	musician	giant_swallowtail	zebra_longwing	5	0.005
Hildegard_Behrens	musician	zebra_longwing	floral	3	0.003
Hildegard_Behrens	musician	giant_swallowtail	fritillary	5	0.005
Hildegard_Behrens	musician	orchid	floral	1	0.001
Hildegard_Behrens	musician	fritillary	magenta_flowers	3	0.003
Hildegard_Behrens	musician	orchid	dragonfly	8	0.008
Hildegard_Behrens	musician	fritillary	zebra_longwing	4	0.004
Hildegard_Behrens	musician	fritillary	orchid	15	0.015
Hildegard_Behrens	musician	floral	dragonfly	4	0.004
Hildegard_Behrens	musician	dragonfly	gulf_fritillary	5	0.005
Hildegard_Behrens	musician	magenta_flowers	floral	4	0.004
Hildegard_Behrens	musician	dragonfly	fritillary	8	0.008
Hildegard_Behrens	musician	orchid	zebra_longwing	8	0.008
Hildegard_Behrens	musician	zebra_longwing	dragonfly	3	0.003
Hildegard_Behrens	musician	dragonfly	floral	2	0.002
Hildegard_Behrens	musician	fritillary	gulf_fritillary	2	0.002
Hildegard_Behrens	musician	dragonfly	zebra_longwing	5	0.005
Hildegard_Behrens	musician	floral	orchid	7	0.007
Hildegard_Behrens	musician	giant_swallowtail	floral	1	0.001
Hildegard_Behrens	musician	orchid	magenta_flowers	4	0.004
Hildegard_Behrens	musician	dragonfly	magenta_flowers	2	0.002
Hildegard_Behrens	musician	magenta_flowers	zebra_longwing	5	0.005
Hildegard_Behrens	musician	dragonfly	giant_swallowtail	2	0.002
Hildegard_Behrens	musician	floral	magenta_flowers	2	0.002
Hildegard_Behrens	musician	zebra_longwing	gulf_fritillary	2	0.002
Hildegard_Behrens	musician	gulf_fritillary	zebra_longwing	3	0.003
Hildegard_Behrens	musician	giant_swallowtail	magenta_flowers	2	0.002
Hildegard_Behrens	musician	fritillary	giant_swallowtail	2	0.002
Hildegard_Behrens	musician	NA	NA	705	0.705
