B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	magenta_flowers	31	0.031
dancer	Hildegard_Behrens	butterfly	dragonfly	30	0.03
dancer	Hildegard_Behrens	butterfly	fritillary	33	0.033
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	43	0.043
dancer	Hildegard_Behrens	butterfly	orchid	63	0.063
dancer	Hildegard_Behrens	butterfly	zebra_longwing	24	0.024
dancer	Hildegard_Behrens	butterfly	floral	46	0.046
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	34	0.034
dancer	Hildegard_Behrens	NA	NA	696	0.696
dancer	singer	butterfly	dragonfly	20	0.02
dancer	singer	butterfly	zebra_longwing	31	0.031
dancer	singer	butterfly	orchid	50	0.05
dancer	singer	butterfly	floral	33	0.033
dancer	singer	butterfly	magenta_flowers	51	0.051
dancer	singer	butterfly	gulf_fritillary	32	0.032
dancer	singer	butterfly	fritillary	44	0.044
dancer	singer	butterfly	giant_swallowtail	43	0.043
dancer	singer	NA	NA	696	0.696
Hildegard_Behrens	singer	magenta_flowers	dragonfly	3	0.003
Hildegard_Behrens	singer	dragonfly	zebra_longwing	2	0.002
Hildegard_Behrens	singer	fritillary	orchid	10	0.01
Hildegard_Behrens	singer	fritillary	floral	8	0.008
Hildegard_Behrens	singer	giant_swallowtail	magenta_flowers	9	0.009
Hildegard_Behrens	singer	orchid	gulf_fritillary	10	0.01
Hildegard_Behrens	singer	dragonfly	magenta_flowers	13	0.013
Hildegard_Behrens	singer	magenta_flowers	orchid	7	0.007
Hildegard_Behrens	singer	magenta_flowers	fritillary	6	0.006
Hildegard_Behrens	singer	zebra_longwing	floral	7	0.007
Hildegard_Behrens	singer	magenta_flowers	gulf_fritillary	8	0.008
Hildegard_Behrens	singer	floral	fritillary	10	0.01
Hildegard_Behrens	singer	floral	giant_swallowtail	16	0.016
Hildegard_Behrens	singer	floral	orchid	4	0.004
Hildegard_Behrens	singer	fritillary	giant_swallowtail	3	0.003
Hildegard_Behrens	singer	magenta_flowers	floral	1	0.001
Hildegard_Behrens	singer	giant_swallowtail	orchid	14	0.014
Hildegard_Behrens	singer	orchid	zebra_longwing	6	0.006
Hildegard_Behrens	singer	gulf_fritillary	floral	8	0.008
Hildegard_Behrens	singer	giant_swallowtail	fritillary	5	0.005
Hildegard_Behrens	singer	zebra_longwing	fritillary	6	0.006
Hildegard_Behrens	singer	magenta_flowers	zebra_longwing	4	0.004
Hildegard_Behrens	singer	gulf_fritillary	orchid	11	0.011
Hildegard_Behrens	singer	floral	magenta_flowers	3	0.003
Hildegard_Behrens	singer	dragonfly	giant_swallowtail	3	0.003
Hildegard_Behrens	singer	giant_swallowtail	floral	4	0.004
Hildegard_Behrens	singer	fritillary	gulf_fritillary	3	0.003
Hildegard_Behrens	singer	dragonfly	fritillary	3	0.003
Hildegard_Behrens	singer	zebra_longwing	orchid	1	0.001
Hildegard_Behrens	singer	orchid	dragonfly	6	0.006
Hildegard_Behrens	singer	orchid	magenta_flowers	15	0.015
Hildegard_Behrens	singer	floral	zebra_longwing	5	0.005
Hildegard_Behrens	singer	orchid	giant_swallowtail	14	0.014
Hildegard_Behrens	singer	dragonfly	gulf_fritillary	2	0.002
Hildegard_Behrens	singer	giant_swallowtail	dragonfly	5	0.005
Hildegard_Behrens	singer	orchid	fritillary	11	0.011
Hildegard_Behrens	singer	giant_swallowtail	zebra_longwing	5	0.005
Hildegard_Behrens	singer	gulf_fritillary	giant_swallowtail	4	0.004
Hildegard_Behrens	singer	floral	dragonfly	3	0.003
Hildegard_Behrens	singer	fritillary	magenta_flowers	4	0.004
Hildegard_Behrens	singer	zebra_longwing	dragonfly	2	0.002
Hildegard_Behrens	singer	dragonfly	floral	4	0.004
Hildegard_Behrens	singer	floral	gulf_fritillary	5	0.005
Hildegard_Behrens	singer	zebra_longwing	magenta_flowers	4	0.004
Hildegard_Behrens	singer	gulf_fritillary	fritillary	3	0.003
Hildegard_Behrens	singer	gulf_fritillary	zebra_longwing	5	0.005
Hildegard_Behrens	singer	fritillary	zebra_longwing	4	0.004
Hildegard_Behrens	singer	magenta_flowers	giant_swallowtail	2	0.002
Hildegard_Behrens	singer	dragonfly	orchid	3	0.003
Hildegard_Behrens	singer	giant_swallowtail	gulf_fritillary	1	0.001
Hildegard_Behrens	singer	gulf_fritillary	magenta_flowers	3	0.003
Hildegard_Behrens	singer	zebra_longwing	gulf_fritillary	3	0.003
Hildegard_Behrens	singer	fritillary	dragonfly	1	0.001
Hildegard_Behrens	singer	zebra_longwing	giant_swallowtail	1	0.001
Hildegard_Behrens	singer	orchid	floral	1	0.001
Hildegard_Behrens	singer	NA	NA	696	0.696
