B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	magenta_flowers	64	0.064
dancer	Hildegard_Behrens	butterfly	zebra_longwing	29	0.029
dancer	Hildegard_Behrens	butterfly	orchid	127	0.127
dancer	Hildegard_Behrens	butterfly	dragonfly	78	0.078
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	33	0.033
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	52	0.052
dancer	Hildegard_Behrens	butterfly	fritillary	66	0.066
dancer	Hildegard_Behrens	butterfly	floral	74	0.074
dancer	Hildegard_Behrens	NA	NA	477	0.477
dancer	singers	butterfly	zebra_longwing	68	0.068
dancer	singers	butterfly	giant_swallowtail	110	0.11
dancer	singers	butterfly	floral	64	0.064
dancer	singers	butterfly	magenta_flowers	52	0.052
dancer	singers	butterfly	fritillary	71	0.071
dancer	singers	butterfly	gulf_fritillary	49	0.049
dancer	singers	butterfly	dragonfly	38	0.038
dancer	singers	butterfly	orchid	71	0.071
dancer	singers	NA	NA	477	0.477
Hildegard_Behrens	singers	magenta_flowers	zebra_longwing	10	0.01
Hildegard_Behrens	singers	zebra_longwing	giant_swallowtail	8	0.008
Hildegard_Behrens	singers	orchid	floral	11	0.011
Hildegard_Behrens	singers	dragonfly	magenta_flowers	7	0.007
Hildegard_Behrens	singers	dragonfly	zebra_longwing	8	0.008
Hildegard_Behrens	singers	orchid	fritillary	20	0.02
Hildegard_Behrens	singers	gulf_fritillary	floral	2	0.002
Hildegard_Behrens	singers	orchid	giant_swallowtail	30	0.03
Hildegard_Behrens	singers	giant_swallowtail	gulf_fritillary	5	0.005
Hildegard_Behrens	singers	dragonfly	fritillary	10	0.01
Hildegard_Behrens	singers	orchid	gulf_fritillary	16	0.016
Hildegard_Behrens	singers	fritillary	zebra_longwing	5	0.005
Hildegard_Behrens	singers	magenta_flowers	dragonfly	3	0.003
Hildegard_Behrens	singers	dragonfly	orchid	15	0.015
Hildegard_Behrens	singers	orchid	magenta_flowers	17	0.017
Hildegard_Behrens	singers	floral	gulf_fritillary	13	0.013
Hildegard_Behrens	singers	giant_swallowtail	orchid	13	0.013
Hildegard_Behrens	singers	magenta_flowers	giant_swallowtail	11	0.011
Hildegard_Behrens	singers	gulf_fritillary	dragonfly	7	0.007
Hildegard_Behrens	singers	giant_swallowtail	zebra_longwing	7	0.007
Hildegard_Behrens	singers	floral	magenta_flowers	12	0.012
Hildegard_Behrens	singers	orchid	zebra_longwing	24	0.024
Hildegard_Behrens	singers	magenta_flowers	fritillary	12	0.012
Hildegard_Behrens	singers	orchid	dragonfly	9	0.009
Hildegard_Behrens	singers	floral	giant_swallowtail	14	0.014
Hildegard_Behrens	singers	zebra_longwing	magenta_flowers	5	0.005
Hildegard_Behrens	singers	magenta_flowers	floral	16	0.016
Hildegard_Behrens	singers	gulf_fritillary	giant_swallowtail	5	0.005
Hildegard_Behrens	singers	gulf_fritillary	fritillary	5	0.005
Hildegard_Behrens	singers	fritillary	orchid	15	0.015
Hildegard_Behrens	singers	giant_swallowtail	floral	11	0.011
Hildegard_Behrens	singers	fritillary	floral	16	0.016
Hildegard_Behrens	singers	floral	fritillary	14	0.014
Hildegard_Behrens	singers	giant_swallowtail	fritillary	7	0.007
Hildegard_Behrens	singers	dragonfly	floral	5	0.005
Hildegard_Behrens	singers	dragonfly	giant_swallowtail	27	0.027
Hildegard_Behrens	singers	zebra_longwing	fritillary	3	0.003
Hildegard_Behrens	singers	magenta_flowers	orchid	8	0.008
Hildegard_Behrens	singers	floral	orchid	7	0.007
Hildegard_Behrens	singers	zebra_longwing	orchid	5	0.005
Hildegard_Behrens	singers	gulf_fritillary	orchid	8	0.008
Hildegard_Behrens	singers	floral	zebra_longwing	12	0.012
Hildegard_Behrens	singers	zebra_longwing	gulf_fritillary	3	0.003
Hildegard_Behrens	singers	fritillary	magenta_flowers	4	0.004
Hildegard_Behrens	singers	fritillary	dragonfly	9	0.009
Hildegard_Behrens	singers	giant_swallowtail	magenta_flowers	3	0.003
Hildegard_Behrens	singers	magenta_flowers	gulf_fritillary	4	0.004
Hildegard_Behrens	singers	fritillary	gulf_fritillary	2	0.002
Hildegard_Behrens	singers	fritillary	giant_swallowtail	15	0.015
Hildegard_Behrens	singers	floral	dragonfly	2	0.002
Hildegard_Behrens	singers	zebra_longwing	floral	3	0.003
Hildegard_Behrens	singers	giant_swallowtail	dragonfly	6	0.006
Hildegard_Behrens	singers	gulf_fritillary	magenta_flowers	4	0.004
Hildegard_Behrens	singers	zebra_longwing	dragonfly	2	0.002
Hildegard_Behrens	singers	dragonfly	gulf_fritillary	6	0.006
Hildegard_Behrens	singers	gulf_fritillary	zebra_longwing	2	0.002
Hildegard_Behrens	singers	NA	NA	477	0.477
