B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	freestyle	79	0.079
dancer	ballerina	butterfly	Medley_Relay	42	0.042
dancer	ballerina	butterfly	dragonfly	76	0.076
dancer	ballerina	butterfly	breaststroke	70	0.07
dancer	ballerina	butterfly	recordholder_Ian	98	0.098
dancer	ballerina	butterfly	Individual_Medley	58	0.058
dancer	ballerina	butterfly	chrysalides	74	0.074
dancer	ballerina	butterfly	backstroke	88	0.088
dancer	ballerina	NA	NA	415	0.415
dancer	ballet	butterfly	breaststroke	79	0.079
dancer	ballet	butterfly	Individual_Medley	58	0.058
dancer	ballet	butterfly	chrysalides	59	0.059
dancer	ballet	butterfly	backstroke	73	0.073
dancer	ballet	butterfly	freestyle	134	0.134
dancer	ballet	butterfly	recordholder_Ian	81	0.081
dancer	ballet	butterfly	dragonfly	49	0.049
dancer	ballet	butterfly	Medley_Relay	52	0.052
dancer	ballet	NA	NA	415	0.415
ballerina	ballet	freestyle	breaststroke	17	0.017
ballerina	ballet	Medley_Relay	breaststroke	4	0.004
ballerina	ballet	dragonfly	Individual_Medley	6	0.006
ballerina	ballet	dragonfly	chrysalides	26	0.026
ballerina	ballet	breaststroke	backstroke	8	0.008
ballerina	ballet	Medley_Relay	Individual_Medley	3	0.003
ballerina	ballet	recordholder_Ian	chrysalides	14	0.014
ballerina	ballet	Individual_Medley	freestyle	30	0.03
ballerina	ballet	recordholder_Ian	Individual_Medley	7	0.007
ballerina	ballet	freestyle	Individual_Medley	18	0.018
ballerina	ballet	chrysalides	recordholder_Ian	17	0.017
ballerina	ballet	backstroke	recordholder_Ian	20	0.02
ballerina	ballet	chrysalides	backstroke	5	0.005
ballerina	ballet	freestyle	backstroke	15	0.015
ballerina	ballet	chrysalides	dragonfly	25	0.025
ballerina	ballet	breaststroke	recordholder_Ian	19	0.019
ballerina	ballet	Medley_Relay	freestyle	25	0.025
ballerina	ballet	backstroke	freestyle	21	0.021
ballerina	ballet	dragonfly	recordholder_Ian	11	0.011
ballerina	ballet	Individual_Medley	dragonfly	2	0.002
ballerina	ballet	recordholder_Ian	breaststroke	29	0.029
ballerina	ballet	freestyle	Medley_Relay	15	0.015
ballerina	ballet	backstroke	Individual_Medley	15	0.015
ballerina	ballet	freestyle	recordholder_Ian	9	0.009
ballerina	ballet	chrysalides	breaststroke	7	0.007
ballerina	ballet	dragonfly	freestyle	10	0.01
ballerina	ballet	backstroke	chrysalides	7	0.007
ballerina	ballet	Individual_Medley	Medley_Relay	3	0.003
ballerina	ballet	breaststroke	freestyle	18	0.018
ballerina	ballet	chrysalides	Individual_Medley	5	0.005
ballerina	ballet	backstroke	Medley_Relay	10	0.01
ballerina	ballet	recordholder_Ian	backstroke	16	0.016
ballerina	ballet	dragonfly	breaststroke	6	0.006
ballerina	ballet	chrysalides	freestyle	10	0.01
ballerina	ballet	recordholder_Ian	freestyle	20	0.02
ballerina	ballet	recordholder_Ian	dragonfly	7	0.007
ballerina	ballet	Individual_Medley	breaststroke	6	0.006
ballerina	ballet	breaststroke	chrysalides	5	0.005
ballerina	ballet	freestyle	chrysalides	2	0.002
ballerina	ballet	Individual_Medley	chrysalides	4	0.004
ballerina	ballet	dragonfly	Medley_Relay	5	0.005
ballerina	ballet	Individual_Medley	backstroke	8	0.008
ballerina	ballet	breaststroke	dragonfly	7	0.007
ballerina	ballet	breaststroke	Medley_Relay	9	0.009
ballerina	ballet	backstroke	breaststroke	10	0.01
ballerina	ballet	dragonfly	backstroke	12	0.012
ballerina	ballet	Medley_Relay	chrysalides	1	0.001
ballerina	ballet	breaststroke	Individual_Medley	4	0.004
ballerina	ballet	chrysalides	Medley_Relay	5	0.005
ballerina	ballet	Medley_Relay	backstroke	9	0.009
ballerina	ballet	freestyle	dragonfly	3	0.003
ballerina	ballet	recordholder_Ian	Medley_Relay	5	0.005
ballerina	ballet	backstroke	dragonfly	5	0.005
ballerina	ballet	Individual_Medley	recordholder_Ian	5	0.005
ballerina	ballet	NA	NA	415	0.415
