B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	dragonfly	86	0.086
dancer	ballerina	butterfly	recordholder_Ian	124	0.124
dancer	ballerina	butterfly	breaststroke	52	0.052
dancer	ballerina	butterfly	backstroke	59	0.059
dancer	ballerina	butterfly	chrysalides	78	0.078
dancer	ballerina	butterfly	Medley_Relay	22	0.022
dancer	ballerina	butterfly	freestyle	54	0.054
dancer	ballerina	butterfly	Individual_Medley	45	0.045
dancer	ballerina	NA	NA	480	0.48
dancer	choreographer	butterfly	backstroke	80	0.08
dancer	choreographer	butterfly	breaststroke	66	0.066
dancer	choreographer	butterfly	chrysalides	47	0.047
dancer	choreographer	butterfly	Individual_Medley	46	0.046
dancer	choreographer	butterfly	recordholder_Ian	107	0.107
dancer	choreographer	butterfly	freestyle	105	0.105
dancer	choreographer	butterfly	Medley_Relay	34	0.034
dancer	choreographer	butterfly	dragonfly	35	0.035
dancer	choreographer	NA	NA	480	0.48
ballerina	choreographer	dragonfly	backstroke	21	0.021
ballerina	choreographer	recordholder_Ian	breaststroke	25	0.025
ballerina	choreographer	dragonfly	chrysalides	23	0.023
ballerina	choreographer	recordholder_Ian	backstroke	24	0.024
ballerina	choreographer	breaststroke	Individual_Medley	8	0.008
ballerina	choreographer	backstroke	recordholder_Ian	22	0.022
ballerina	choreographer	chrysalides	recordholder_Ian	24	0.024
ballerina	choreographer	dragonfly	recordholder_Ian	9	0.009
ballerina	choreographer	dragonfly	freestyle	12	0.012
ballerina	choreographer	backstroke	freestyle	16	0.016
ballerina	choreographer	recordholder_Ian	chrysalides	13	0.013
ballerina	choreographer	Medley_Relay	breaststroke	4	0.004
ballerina	choreographer	recordholder_Ian	Medley_Relay	9	0.009
ballerina	choreographer	breaststroke	backstroke	4	0.004
ballerina	choreographer	dragonfly	Individual_Medley	5	0.005
ballerina	choreographer	recordholder_Ian	Individual_Medley	10	0.01
ballerina	choreographer	freestyle	Individual_Medley	13	0.013
ballerina	choreographer	backstroke	Individual_Medley	6	0.006
ballerina	choreographer	Individual_Medley	breaststroke	9	0.009
ballerina	choreographer	recordholder_Ian	freestyle	38	0.038
ballerina	choreographer	breaststroke	Medley_Relay	4	0.004
ballerina	choreographer	backstroke	breaststroke	3	0.003
ballerina	choreographer	Medley_Relay	backstroke	6	0.006
ballerina	choreographer	breaststroke	recordholder_Ian	18	0.018
ballerina	choreographer	chrysalides	freestyle	8	0.008
ballerina	choreographer	backstroke	Medley_Relay	6	0.006
ballerina	choreographer	freestyle	backstroke	7	0.007
ballerina	choreographer	breaststroke	freestyle	13	0.013
ballerina	choreographer	chrysalides	Individual_Medley	4	0.004
ballerina	choreographer	freestyle	recordholder_Ian	17	0.017
ballerina	choreographer	Individual_Medley	backstroke	5	0.005
ballerina	choreographer	chrysalides	backstroke	13	0.013
ballerina	choreographer	recordholder_Ian	dragonfly	5	0.005
ballerina	choreographer	breaststroke	dragonfly	4	0.004
ballerina	choreographer	chrysalides	dragonfly	18	0.018
ballerina	choreographer	Individual_Medley	freestyle	13	0.013
ballerina	choreographer	freestyle	Medley_Relay	4	0.004
ballerina	choreographer	freestyle	breaststroke	7	0.007
ballerina	choreographer	Medley_Relay	freestyle	5	0.005
ballerina	choreographer	Medley_Relay	recordholder_Ian	6	0.006
ballerina	choreographer	dragonfly	breaststroke	10	0.01
ballerina	choreographer	dragonfly	Medley_Relay	6	0.006
ballerina	choreographer	backstroke	dragonfly	3	0.003
ballerina	choreographer	Individual_Medley	recordholder_Ian	11	0.011
ballerina	choreographer	chrysalides	breaststroke	8	0.008
ballerina	choreographer	Individual_Medley	chrysalides	4	0.004
ballerina	choreographer	backstroke	chrysalides	3	0.003
ballerina	choreographer	Individual_Medley	Medley_Relay	2	0.002
ballerina	choreographer	chrysalides	Medley_Relay	3	0.003
ballerina	choreographer	Individual_Medley	dragonfly	1	0.001
ballerina	choreographer	freestyle	chrysalides	2	0.002
ballerina	choreographer	Medley_Relay	chrysalides	1	0.001
ballerina	choreographer	freestyle	dragonfly	4	0.004
ballerina	choreographer	breaststroke	chrysalides	1	0.001
ballerina	choreographer	NA	NA	480	0.48
