B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	dragonfly	55	0.055
dancer	dance	butterfly	freestyle	122	0.122
dancer	dance	butterfly	backstroke	79	0.079
dancer	dance	butterfly	Individual_Medley	52	0.052
dancer	dance	butterfly	recordholder_Ian	83	0.083
dancer	dance	butterfly	breaststroke	62	0.062
dancer	dance	butterfly	Medley_Relay	45	0.045
dancer	dance	butterfly	chrysalides	76	0.076
dancer	dance	NA	NA	426	0.426
dancer	ballerina	butterfly	breaststroke	44	0.044
dancer	ballerina	butterfly	Individual_Medley	53	0.053
dancer	ballerina	butterfly	recordholder_Ian	159	0.159
dancer	ballerina	butterfly	Medley_Relay	15	0.015
dancer	ballerina	butterfly	chrysalides	87	0.087
dancer	ballerina	butterfly	backstroke	59	0.059
dancer	ballerina	butterfly	freestyle	58	0.058
dancer	ballerina	butterfly	dragonfly	99	0.099
dancer	ballerina	NA	NA	426	0.426
ballerina	dance	breaststroke	dragonfly	5	0.005
ballerina	dance	Individual_Medley	freestyle	23	0.023
ballerina	dance	recordholder_Ian	backstroke	38	0.038
ballerina	dance	Medley_Relay	Individual_Medley	1	0.001
ballerina	dance	recordholder_Ian	freestyle	40	0.04
ballerina	dance	chrysalides	backstroke	11	0.011
ballerina	dance	backstroke	freestyle	10	0.01
ballerina	dance	backstroke	recordholder_Ian	19	0.019
ballerina	dance	backstroke	dragonfly	4	0.004
ballerina	dance	Individual_Medley	recordholder_Ian	10	0.01
ballerina	dance	freestyle	backstroke	8	0.008
ballerina	dance	chrysalides	Individual_Medley	2	0.002
ballerina	dance	breaststroke	recordholder_Ian	13	0.013
ballerina	dance	backstroke	breaststroke	3	0.003
ballerina	dance	recordholder_Ian	Medley_Relay	8	0.008
ballerina	dance	recordholder_Ian	breaststroke	30	0.03
ballerina	dance	freestyle	chrysalides	6	0.006
ballerina	dance	dragonfly	backstroke	16	0.016
ballerina	dance	backstroke	Individual_Medley	5	0.005
ballerina	dance	Individual_Medley	chrysalides	4	0.004
ballerina	dance	chrysalides	dragonfly	31	0.031
ballerina	dance	dragonfly	breaststroke	10	0.01
ballerina	dance	chrysalides	recordholder_Ian	14	0.014
ballerina	dance	Medley_Relay	breaststroke	2	0.002
ballerina	dance	backstroke	Medley_Relay	10	0.01
ballerina	dance	dragonfly	chrysalides	37	0.037
ballerina	dance	breaststroke	Individual_Medley	5	0.005
ballerina	dance	dragonfly	freestyle	15	0.015
ballerina	dance	Medley_Relay	chrysalides	1	0.001
ballerina	dance	freestyle	recordholder_Ian	19	0.019
ballerina	dance	recordholder_Ian	Individual_Medley	18	0.018
ballerina	dance	breaststroke	freestyle	9	0.009
ballerina	dance	breaststroke	chrysalides	5	0.005
ballerina	dance	Medley_Relay	freestyle	9	0.009
ballerina	dance	backstroke	chrysalides	8	0.008
ballerina	dance	freestyle	Individual_Medley	15	0.015
ballerina	dance	recordholder_Ian	dragonfly	10	0.01
ballerina	dance	dragonfly	recordholder_Ian	8	0.008
ballerina	dance	Individual_Medley	breaststroke	7	0.007
ballerina	dance	chrysalides	freestyle	16	0.016
ballerina	dance	dragonfly	Individual_Medley	6	0.006
ballerina	dance	chrysalides	breaststroke	9	0.009
ballerina	dance	breaststroke	Medley_Relay	6	0.006
ballerina	dance	Individual_Medley	backstroke	4	0.004
ballerina	dance	recordholder_Ian	chrysalides	15	0.015
ballerina	dance	freestyle	Medley_Relay	7	0.007
ballerina	dance	dragonfly	Medley_Relay	7	0.007
ballerina	dance	Individual_Medley	Medley_Relay	3	0.003
ballerina	dance	breaststroke	backstroke	1	0.001
ballerina	dance	chrysalides	Medley_Relay	4	0.004
ballerina	dance	Individual_Medley	dragonfly	2	0.002
ballerina	dance	freestyle	breaststroke	1	0.001
ballerina	dance	freestyle	dragonfly	2	0.002
ballerina	dance	Medley_Relay	dragonfly	1	0.001
ballerina	dance	Medley_Relay	backstroke	1	0.001
ballerina	dance	NA	NA	426	0.426
