B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	breaststroke	36	0.036
dancer	ballerina	butterfly	recordholder_Ian	141	0.141
dancer	ballerina	butterfly	chrysalides	81	0.081
dancer	ballerina	butterfly	freestyle	41	0.041
dancer	ballerina	butterfly	dragonfly	109	0.109
dancer	ballerina	butterfly	Individual_Medley	24	0.024
dancer	ballerina	butterfly	Medley_Relay	17	0.017
dancer	ballerina	butterfly	backstroke	39	0.039
dancer	ballerina	NA	NA	512	0.512
dancer	dancing	butterfly	dragonfly	76	0.076
dancer	dancing	butterfly	chrysalides	64	0.064
dancer	dancing	butterfly	Medley_Relay	38	0.038
dancer	dancing	butterfly	breaststroke	47	0.047
dancer	dancing	butterfly	backstroke	67	0.067
dancer	dancing	butterfly	freestyle	100	0.1
dancer	dancing	butterfly	recordholder_Ian	62	0.062
dancer	dancing	butterfly	Individual_Medley	34	0.034
dancer	dancing	NA	NA	512	0.512
ballerina	dancing	breaststroke	dragonfly	11	0.011
ballerina	dancing	recordholder_Ian	chrysalides	15	0.015
ballerina	dancing	chrysalides	Medley_Relay	9	0.009
ballerina	dancing	chrysalides	dragonfly	35	0.035
ballerina	dancing	chrysalides	breaststroke	7	0.007
ballerina	dancing	chrysalides	backstroke	7	0.007
ballerina	dancing	recordholder_Ian	dragonfly	9	0.009
ballerina	dancing	recordholder_Ian	breaststroke	22	0.022
ballerina	dancing	freestyle	backstroke	4	0.004
ballerina	dancing	dragonfly	breaststroke	10	0.01
ballerina	dancing	Individual_Medley	chrysalides	3	0.003
ballerina	dancing	recordholder_Ian	backstroke	31	0.031
ballerina	dancing	freestyle	Medley_Relay	8	0.008
ballerina	dancing	freestyle	dragonfly	8	0.008
ballerina	dancing	recordholder_Ian	freestyle	44	0.044
ballerina	dancing	dragonfly	chrysalides	34	0.034
ballerina	dancing	dragonfly	recordholder_Ian	10	0.01
ballerina	dancing	Medley_Relay	freestyle	9	0.009
ballerina	dancing	recordholder_Ian	Individual_Medley	11	0.011
ballerina	dancing	dragonfly	freestyle	23	0.023
ballerina	dancing	Medley_Relay	breaststroke	2	0.002
ballerina	dancing	dragonfly	Medley_Relay	5	0.005
ballerina	dancing	breaststroke	recordholder_Ian	7	0.007
ballerina	dancing	chrysalides	Individual_Medley	3	0.003
ballerina	dancing	backstroke	dragonfly	6	0.006
ballerina	dancing	backstroke	Medley_Relay	4	0.004
ballerina	dancing	freestyle	chrysalides	4	0.004
ballerina	dancing	recordholder_Ian	Medley_Relay	9	0.009
ballerina	dancing	freestyle	Individual_Medley	5	0.005
ballerina	dancing	dragonfly	backstroke	21	0.021
ballerina	dancing	Individual_Medley	dragonfly	5	0.005
ballerina	dancing	Individual_Medley	recordholder_Ian	9	0.009
ballerina	dancing	freestyle	recordholder_Ian	10	0.01
ballerina	dancing	chrysalides	recordholder_Ian	13	0.013
ballerina	dancing	Individual_Medley	breaststroke	1	0.001
ballerina	dancing	Medley_Relay	backstroke	2	0.002
ballerina	dancing	breaststroke	chrysalides	4	0.004
ballerina	dancing	Medley_Relay	Individual_Medley	1	0.001
ballerina	dancing	chrysalides	freestyle	7	0.007
ballerina	dancing	dragonfly	Individual_Medley	6	0.006
ballerina	dancing	freestyle	breaststroke	2	0.002
ballerina	dancing	breaststroke	Individual_Medley	4	0.004
ballerina	dancing	backstroke	Individual_Medley	4	0.004
ballerina	dancing	backstroke	recordholder_Ian	13	0.013
ballerina	dancing	backstroke	freestyle	6	0.006
ballerina	dancing	breaststroke	freestyle	6	0.006
ballerina	dancing	breaststroke	Medley_Relay	2	0.002
ballerina	dancing	breaststroke	backstroke	2	0.002
ballerina	dancing	Individual_Medley	Medley_Relay	1	0.001
ballerina	dancing	Individual_Medley	freestyle	5	0.005
ballerina	dancing	Medley_Relay	dragonfly	2	0.002
ballerina	dancing	backstroke	breaststroke	3	0.003
ballerina	dancing	Medley_Relay	chrysalides	1	0.001
ballerina	dancing	backstroke	chrysalides	3	0.003
ballerina	dancing	NA	NA	512	0.512
