B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	breaststroke	35	0.035
dancer	ballerina	butterfly	recordholder_Ian	86	0.086
dancer	ballerina	butterfly	chrysalides	69	0.069
dancer	ballerina	butterfly	freestyle	41	0.041
dancer	ballerina	butterfly	dragonfly	59	0.059
dancer	ballerina	butterfly	backstroke	48	0.048
dancer	ballerina	butterfly	Individual_Medley	35	0.035
dancer	ballerina	butterfly	Medley_Relay	14	0.014
dancer	ballerina	NA	NA	613	0.613
dancer	female_impersonator	butterfly	recordholder_Ian	74	0.074
dancer	female_impersonator	butterfly	chrysalides	43	0.043
dancer	female_impersonator	butterfly	dragonfly	83	0.083
dancer	female_impersonator	butterfly	breaststroke	43	0.043
dancer	female_impersonator	butterfly	backstroke	42	0.042
dancer	female_impersonator	butterfly	Individual_Medley	41	0.041
dancer	female_impersonator	butterfly	freestyle	50	0.05
dancer	female_impersonator	butterfly	Medley_Relay	11	0.011
dancer	female_impersonator	NA	NA	613	0.613
ballerina	female_impersonator	breaststroke	recordholder_Ian	13	0.013
ballerina	female_impersonator	recordholder_Ian	chrysalides	12	0.012
ballerina	female_impersonator	chrysalides	dragonfly	36	0.036
ballerina	female_impersonator	recordholder_Ian	breaststroke	13	0.013
ballerina	female_impersonator	chrysalides	backstroke	4	0.004
ballerina	female_impersonator	breaststroke	backstroke	1	0.001
ballerina	female_impersonator	recordholder_Ian	backstroke	14	0.014
ballerina	female_impersonator	freestyle	recordholder_Ian	13	0.013
ballerina	female_impersonator	dragonfly	backstroke	10	0.01
ballerina	female_impersonator	chrysalides	Individual_Medley	3	0.003
ballerina	female_impersonator	backstroke	freestyle	8	0.008
ballerina	female_impersonator	dragonfly	Individual_Medley	5	0.005
ballerina	female_impersonator	backstroke	Individual_Medley	12	0.012
ballerina	female_impersonator	chrysalides	recordholder_Ian	12	0.012
ballerina	female_impersonator	backstroke	dragonfly	7	0.007
ballerina	female_impersonator	dragonfly	freestyle	3	0.003
ballerina	female_impersonator	breaststroke	dragonfly	6	0.006
ballerina	female_impersonator	freestyle	backstroke	4	0.004
ballerina	female_impersonator	Individual_Medley	dragonfly	7	0.007
ballerina	female_impersonator	Individual_Medley	recordholder_Ian	7	0.007
ballerina	female_impersonator	freestyle	Individual_Medley	9	0.009
ballerina	female_impersonator	Individual_Medley	freestyle	8	0.008
ballerina	female_impersonator	recordholder_Ian	Individual_Medley	6	0.006
ballerina	female_impersonator	Individual_Medley	chrysalides	2	0.002
ballerina	female_impersonator	freestyle	dragonfly	6	0.006
ballerina	female_impersonator	recordholder_Ian	dragonfly	21	0.021
ballerina	female_impersonator	dragonfly	breaststroke	9	0.009
ballerina	female_impersonator	Medley_Relay	breaststroke	3	0.003
ballerina	female_impersonator	Individual_Medley	backstroke	6	0.006
ballerina	female_impersonator	backstroke	recordholder_Ian	16	0.016
ballerina	female_impersonator	Medley_Relay	freestyle	4	0.004
ballerina	female_impersonator	chrysalides	Medley_Relay	3	0.003
ballerina	female_impersonator	dragonfly	chrysalides	22	0.022
ballerina	female_impersonator	breaststroke	Medley_Relay	2	0.002
ballerina	female_impersonator	recordholder_Ian	freestyle	18	0.018
ballerina	female_impersonator	backstroke	Medley_Relay	2	0.002
ballerina	female_impersonator	Individual_Medley	breaststroke	5	0.005
ballerina	female_impersonator	backstroke	breaststroke	2	0.002
ballerina	female_impersonator	breaststroke	chrysalides	4	0.004
ballerina	female_impersonator	breaststroke	freestyle	3	0.003
ballerina	female_impersonator	breaststroke	Individual_Medley	6	0.006
ballerina	female_impersonator	freestyle	breaststroke	6	0.006
ballerina	female_impersonator	chrysalides	freestyle	6	0.006
ballerina	female_impersonator	dragonfly	recordholder_Ian	9	0.009
ballerina	female_impersonator	Medley_Relay	recordholder_Ian	4	0.004
ballerina	female_impersonator	chrysalides	breaststroke	5	0.005
ballerina	female_impersonator	Medley_Relay	backstroke	3	0.003
ballerina	female_impersonator	recordholder_Ian	Medley_Relay	2	0.002
ballerina	female_impersonator	freestyle	Medley_Relay	1	0.001
ballerina	female_impersonator	freestyle	chrysalides	2	0.002
ballerina	female_impersonator	backstroke	chrysalides	1	0.001
ballerina	female_impersonator	dragonfly	Medley_Relay	1	0.001
ballerina	female_impersonator	NA	NA	613	0.613
