B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	freestyle	98	0.098
dancer	ballerina	butterfly	recordholder_Ian	165	0.165
dancer	ballerina	butterfly	backstroke	88	0.088
dancer	ballerina	butterfly	Medley_Relay	22	0.022
dancer	ballerina	butterfly	Individual_Medley	47	0.047
dancer	ballerina	butterfly	breaststroke	77	0.077
dancer	ballerina	butterfly	dragonfly	112	0.112
dancer	ballerina	butterfly	chrysalides	97	0.097
dancer	ballerina	NA	NA	294	0.294
dancer	gymnast	butterfly	Medley_Relay	52	0.052
dancer	gymnast	butterfly	Individual_Medley	164	0.164
dancer	gymnast	butterfly	recordholder_Ian	125	0.125
dancer	gymnast	butterfly	freestyle	136	0.136
dancer	gymnast	butterfly	breaststroke	80	0.08
dancer	gymnast	butterfly	backstroke	70	0.07
dancer	gymnast	butterfly	chrysalides	32	0.032
dancer	gymnast	butterfly	dragonfly	47	0.047
dancer	gymnast	NA	NA	294	0.294
ballerina	gymnast	freestyle	Medley_Relay	19	0.019
ballerina	gymnast	recordholder_Ian	Individual_Medley	56	0.056
ballerina	gymnast	backstroke	recordholder_Ian	30	0.03
ballerina	gymnast	Medley_Relay	freestyle	9	0.009
ballerina	gymnast	backstroke	Individual_Medley	21	0.021
ballerina	gymnast	Individual_Medley	breaststroke	10	0.01
ballerina	gymnast	recordholder_Ian	backstroke	18	0.018
ballerina	gymnast	breaststroke	Medley_Relay	11	0.011
ballerina	gymnast	dragonfly	backstroke	21	0.021
ballerina	gymnast	freestyle	Individual_Medley	26	0.026
ballerina	gymnast	dragonfly	chrysalides	27	0.027
ballerina	gymnast	Medley_Relay	Individual_Medley	3	0.003
ballerina	gymnast	dragonfly	freestyle	22	0.022
ballerina	gymnast	recordholder_Ian	freestyle	51	0.051
ballerina	gymnast	chrysalides	dragonfly	37	0.037
ballerina	gymnast	recordholder_Ian	breaststroke	32	0.032
ballerina	gymnast	chrysalides	Individual_Medley	17	0.017
ballerina	gymnast	dragonfly	Medley_Relay	4	0.004
ballerina	gymnast	chrysalides	recordholder_Ian	21	0.021
ballerina	gymnast	freestyle	recordholder_Ian	28	0.028
ballerina	gymnast	Individual_Medley	freestyle	24	0.024
ballerina	gymnast	Individual_Medley	backstroke	3	0.003
ballerina	gymnast	freestyle	breaststroke	14	0.014
ballerina	gymnast	breaststroke	recordholder_Ian	28	0.028
ballerina	gymnast	backstroke	breaststroke	7	0.007
ballerina	gymnast	breaststroke	Individual_Medley	17	0.017
ballerina	gymnast	dragonfly	recordholder_Ian	9	0.009
ballerina	gymnast	breaststroke	backstroke	8	0.008
ballerina	gymnast	dragonfly	Individual_Medley	24	0.024
ballerina	gymnast	backstroke	freestyle	15	0.015
ballerina	gymnast	chrysalides	backstroke	11	0.011
ballerina	gymnast	breaststroke	freestyle	10	0.01
ballerina	gymnast	Individual_Medley	recordholder_Ian	7	0.007
ballerina	gymnast	recordholder_Ian	Medley_Relay	5	0.005
ballerina	gymnast	backstroke	chrysalides	1	0.001
ballerina	gymnast	backstroke	Medley_Relay	12	0.012
ballerina	gymnast	freestyle	backstroke	7	0.007
ballerina	gymnast	freestyle	dragonfly	3	0.003
ballerina	gymnast	Medley_Relay	breaststroke	6	0.006
ballerina	gymnast	chrysalides	freestyle	5	0.005
ballerina	gymnast	Individual_Medley	dragonfly	1	0.001
ballerina	gymnast	recordholder_Ian	chrysalides	1	0.001
ballerina	gymnast	dragonfly	breaststroke	5	0.005
ballerina	gymnast	chrysalides	breaststroke	6	0.006
ballerina	gymnast	Medley_Relay	recordholder_Ian	2	0.002
ballerina	gymnast	Individual_Medley	Medley_Relay	1	0.001
ballerina	gymnast	backstroke	dragonfly	2	0.002
ballerina	gymnast	breaststroke	dragonfly	2	0.002
ballerina	gymnast	Individual_Medley	chrysalides	1	0.001
ballerina	gymnast	recordholder_Ian	dragonfly	2	0.002
ballerina	gymnast	breaststroke	chrysalides	1	0.001
ballerina	gymnast	freestyle	chrysalides	1	0.001
ballerina	gymnast	Medley_Relay	backstroke	2	0.002
ballerina	gymnast	NA	NA	294	0.294
