B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballerina	butterfly	dragonfly	81	0.081
dancer	ballerina	butterfly	Individual_Medley	35	0.035
dancer	ballerina	butterfly	recordholder_Ian	107	0.107
dancer	ballerina	butterfly	chrysalides	74	0.074
dancer	ballerina	butterfly	freestyle	64	0.064
dancer	ballerina	butterfly	backstroke	60	0.06
dancer	ballerina	butterfly	breaststroke	49	0.049
dancer	ballerina	butterfly	Medley_Relay	18	0.018
dancer	ballerina	NA	NA	512	0.512
dancer	hoofer	butterfly	chrysalides	54	0.054
dancer	hoofer	butterfly	breaststroke	76	0.076
dancer	hoofer	butterfly	freestyle	66	0.066
dancer	hoofer	butterfly	dragonfly	47	0.047
dancer	hoofer	butterfly	backstroke	64	0.064
dancer	hoofer	butterfly	Medley_Relay	23	0.023
dancer	hoofer	butterfly	recordholder_Ian	109	0.109
dancer	hoofer	butterfly	Individual_Medley	49	0.049
dancer	hoofer	NA	NA	512	0.512
ballerina	hoofer	dragonfly	chrysalides	27	0.027
ballerina	hoofer	dragonfly	breaststroke	13	0.013
ballerina	hoofer	dragonfly	freestyle	6	0.006
ballerina	hoofer	Individual_Medley	breaststroke	11	0.011
ballerina	hoofer	recordholder_Ian	dragonfly	8	0.008
ballerina	hoofer	recordholder_Ian	backstroke	20	0.02
ballerina	hoofer	chrysalides	dragonfly	23	0.023
ballerina	hoofer	recordholder_Ian	chrysalides	9	0.009
ballerina	hoofer	freestyle	Medley_Relay	7	0.007
ballerina	hoofer	chrysalides	breaststroke	9	0.009
ballerina	hoofer	chrysalides	recordholder_Ian	21	0.021
ballerina	hoofer	recordholder_Ian	breaststroke	28	0.028
ballerina	hoofer	backstroke	recordholder_Ian	26	0.026
ballerina	hoofer	freestyle	recordholder_Ian	22	0.022
ballerina	hoofer	freestyle	breaststroke	8	0.008
ballerina	hoofer	breaststroke	chrysalides	8	0.008
ballerina	hoofer	dragonfly	backstroke	13	0.013
ballerina	hoofer	chrysalides	Individual_Medley	6	0.006
ballerina	hoofer	backstroke	chrysalides	5	0.005
ballerina	hoofer	Individual_Medley	backstroke	4	0.004
ballerina	hoofer	breaststroke	recordholder_Ian	20	0.02
ballerina	hoofer	Individual_Medley	chrysalides	1	0.001
ballerina	hoofer	recordholder_Ian	Medley_Relay	7	0.007
ballerina	hoofer	freestyle	Individual_Medley	10	0.01
ballerina	hoofer	backstroke	breaststroke	6	0.006
ballerina	hoofer	Individual_Medley	freestyle	13	0.013
ballerina	hoofer	freestyle	backstroke	5	0.005
ballerina	hoofer	Medley_Relay	freestyle	6	0.006
ballerina	hoofer	Medley_Relay	backstroke	4	0.004
ballerina	hoofer	chrysalides	backstroke	11	0.011
ballerina	hoofer	dragonfly	recordholder_Ian	12	0.012
ballerina	hoofer	recordholder_Ian	Individual_Medley	14	0.014
ballerina	hoofer	Individual_Medley	recordholder_Ian	5	0.005
ballerina	hoofer	freestyle	chrysalides	4	0.004
ballerina	hoofer	breaststroke	backstroke	7	0.007
ballerina	hoofer	backstroke	Medley_Relay	4	0.004
ballerina	hoofer	recordholder_Ian	freestyle	21	0.021
ballerina	hoofer	breaststroke	Individual_Medley	5	0.005
ballerina	hoofer	chrysalides	freestyle	4	0.004
ballerina	hoofer	breaststroke	freestyle	5	0.005
ballerina	hoofer	backstroke	Individual_Medley	6	0.006
ballerina	hoofer	dragonfly	Individual_Medley	7	0.007
ballerina	hoofer	freestyle	dragonfly	8	0.008
ballerina	hoofer	Medley_Relay	recordholder_Ian	3	0.003
ballerina	hoofer	backstroke	freestyle	11	0.011
ballerina	hoofer	breaststroke	Medley_Relay	2	0.002
ballerina	hoofer	Medley_Relay	dragonfly	3	0.003
ballerina	hoofer	dragonfly	Medley_Relay	3	0.003
ballerina	hoofer	backstroke	dragonfly	2	0.002
ballerina	hoofer	Individual_Medley	dragonfly	1	0.001
ballerina	hoofer	breaststroke	dragonfly	2	0.002
ballerina	hoofer	Medley_Relay	Individual_Medley	1	0.001
ballerina	hoofer	Medley_Relay	breaststroke	1	0.001
ballerina	hoofer	NA	NA	512	0.512
